generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.57,9.1086,8.5370,148,200,1011
2,294.00,303.40,9.1514,8.4885,149,200,1849
3,294.00,297.38,9.7914,9.3896,87,200,4133
4,294.00,302.21,10.5771,10.0518,115,200,5265
5,294.00,301.38,11.1114,10.4669,141,200,6395
6,294.00,302.14,11.4714,10.8983,169,200,7986
7,294.00,302.08,11.5886,11.2105,130,200,10018
8,294.00,303.41,11.7800,11.5398,169,200,12136
9,294.00,306.86,12.0486,11.7490,200,200,14319
10,294.00,304.58,12.1743,11.8032,200,200,16562
11,294.00,304.03,12.2914,11.8994,200,200,18936
12,294.00,303.90,12.3286,11.9952,200,200,21430
13,294.00,303.83,12.6000,12.1157,200,200,23928
14,294.00,304.78,12.6743,12.2222,200,200,26426
