generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.71,9.1400,8.5281,167,200,1004
2,294.00,304.16,9.1971,8.4813,164,200,1706
3,294.00,304.57,9.8086,9.3837,141,200,3928
4,294.00,306.03,10.8457,10.0931,148,200,5637
5,294.00,309.77,11.3314,10.7758,198,200,7566
6,294.00,310.65,11.4486,10.9546,200,200,9801
7,294.00,301.74,11.7543,11.1935,200,200,12440
8,294.00,301.73,12.0086,11.4919,200,200,15006
9,294.00,302.36,12.1057,11.6950,200,200,17429
10,294.00,304.77,12.2229,11.9238,200,200,19796
11,294.00,305.31,12.4714,12.0606,200,200,22228
12,294.00,305.95,12.5686,12.1656,200,200,24678
13,294.00,305.13,12.5971,12.2809,200,200,27235
14,294.00,305.18,12.6143,12.3821,200,200,29696
