generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.57,9.0057,8.5188,174,200,1289
2,294.00,308.91,9.1000,8.4726,177,200,2318
3,294.00,306.47,9.9543,9.1326,154,200,5416
4,296.00,324.19,10.8571,9.7809,198,200,7852
5,300.00,330.65,10.9771,10.1151,200,200,10339
6,304.00,329.98,11.1200,10.3090,197,200,13184
7,305.00,332.31,11.2371,10.4368,196,200,16222
8,309.00,338.98,11.3714,10.5918,200,200,19386
9,310.00,341.50,11.5686,10.6778,199,200,22975
10,312.00,342.25,11.4857,10.7484,200,200,26352
11,316.00,351.86,11.5971,11.0106,200,200,29728
12,317.00,355.36,11.6629,11.0673,198,200,33120
13,323.00,349.50,11.7114,11.0372,196,200,36668
14,327.00,349.96,11.9114,11.2440,197,200,40254
