generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.38,9.1257,8.5175,151,200,919
2,320.00,346.19,9.1743,8.4285,143,200,1683
3,351.00,422.79,9.7743,9.0072,156,200,5175
4,399.00,449.76,10.0714,9.0329,153,200,8679
5,444.00,489.09,10.0229,9.2079,139,200,12070
6,475.00,506.42,10.3200,9.2933,121,200,15430
7,489.00,521.40,10.2086,9.4234,141,200,18718
8,494.00,526.10,10.0971,9.5080,168,200,21964
9,487.00,526.61,10.3257,9.6309,150,200,25276
10,495.00,533.30,10.2200,9.6210,141,200,28531
11,494.00,532.80,10.2514,9.5606,123,200,31778
12,495.00,537.96,10.6000,9.6682,113,200,35051
13,494.00,529.46,10.4829,9.6249,113,200,38313
14,505.00,532.55,10.6457,9.6112,95,200,41661
