materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",527,3.0,16,8.0,"B01;C01;307",597,OK
95,"GEOMETRIA Y ALGEBRA LINEAL 1",385,3.0,12,8.0,"Actos;C01;B01",545,OK
172,"MATEMATICA DISCRETA 1",375,3.0,24,8.0,"B01;C01",417,OK
78,"FISICA 1",354,3.0,1,8.0,"B01;C01",417,OK
23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",304,4.0,22,8.0,"C12;B01",354,OK
97,"GEOMETRIA Y ALGEBRA LINEAL 2",298,3.5,5,8.0,"307;B01;502;725",443,OK
52,"ECONOMIA",269,4.0,24,11.0,"B01;C01",417,OK
206,"PROGRAMACION 1",182,3.0,22,12.0,"B01;703",243,OK
188,"METODOS NUMERICOS",165,3.0,1,8.0,"307;725;116",206,OK
176,"MATEMATICA INICIAL",116,4.0,23,8.0,"310;B01;116",245,OK
80,"FISICA 3",102,3.0,6,8.0,"C22",102,OK
202,"PROBABILIDAD Y ESTADISTICA",94,3.0,12,8.0,"312",94,OK
173,"MATEMATICA DISCRETA 2",89,3.0,4,8.0,"312",94,OK
24,"CALCULO VECTORIAL",83,3.0,5,12.0,"C01;116;Hall",300,OK
181,"MECANICA NEWTONIANA",82,4.0,2,8.0,"727;C11;B01;725",288,OK
159,"LOGICA",81,4.0,1,11.0,"A11;305;C01;722",264,OK
207,"PROGRAMACION 3",78,3.0,9,8.0,"502;705;311;C22",171,OK
1,"PROGRAMACION 2",77,3.0,2,8.0,"312;116",100,OK
215,"REDES DE COMPUTADORAS",74,3.0,15,8.0,"116;B11;C11;722",91,OK
79,"FISICA 2",65,3.0,3,8.0,"B01;C01;102;116",448,OK
201,"PRINCIPIOS DE QUIMICA GENERAL",60,4.0,7,8.0,"725;31;C22;C21",182,OK
208,"PROGRAMACION 4",55,3.0,21,8.0,"601;309;116",82,OK
12,"ARQUITECTURA DE COMPUTADORAS",54,3.0,22,15.0,"116;B01;502",249,OK
142,"INT. A LA INVESTIGACION DE OPERACIONES",45,4.0,1,11.0,"B11",50,OK
66,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",44,3.0,1,15.0,"B11",50,OK
82,"FLUIDODINAMICA",39,4.0,22,8.0,"B11",50,OK
158,"LEGISLACION Y RELACIONES INDUSTRIALES",36,2.0,4,8.0,"B21",39,OK
61,"ELECTROTECNICA I",34,2.5,14,8.0,"305",35,OK
69,"ENERGIA 1- COMBUSTION",33,3.0,4,16.0,"310;501",78,OK
262,"TRANSFERENCIA DE CALOR Y MASA 1",32,4.0,2,11.5,"B22",32,OK
245,"TEORIA DE CIRCUITOS",30,3.0,19,8.0,"B22;502;309",68,OK
261,"TRANSFERENCIA DE CALOR 2",30,4.0,11,12.0,"B22",32,OK
77,"FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",27,4.0,23,8.0,"311",29,OK
81,"FISICA TERMICA",27,3.5,25,8.0,"722;B01",233,OK
250,"TEORIA DE LENGUAJES",27,4.0,12,8.0,"115;703;C21",85,OK
118,"INGENIERIA LEGAL",26,4.0,9,11.0,"311",29,OK
127,"INT. A LA CIENCIA DE MATERIALES",25,1.5,3,8.0,"C21",25,OK
228,"SEÑALES Y SISTEMAS",25,3.5,21,8.0,"C21",25,OK
285,"TOPOGRAFIA ALTIMETRICA",25,3.0,13,8.0,"C22;B01;B22;502",377,OK
263,"TRANSFERENCIA DE CALOR Y MASA 2",24,4.0,4,8.0,"703;A11",45,OK
165,"MAQUINAS PARA FLUIDOS I",21,3.0,24,8.0,"C21;B21;C11",89,OK
37,"COMPUTACION 1",20,3.0,2,12.0,"305;727",55,OK
278,"TOPOGRAFIA PLANIMETRICA",20,3.0,1,8.0,"727;309",36,OK
107,"HIDROLOGIA E HIDRAULICA APLICADAS",19,4.0,10,8.0,"727;115;722;310",86,OK
41,"CONTROL DE CALIDAD",18,4.0,15,8.0,"727",20,OK
115,"INGENIERIA DE LAS REACCIONES QUIMICAS 2",18,2.0,2,18.0,"727",20,OK
223,"RESISTENCIA DE MATERIALES 1",18,4.0,20,8.0,"601;727",80,OK
0,"ELECTRONICA FUNDAMENTAL",17,3.5,2,8.0,"C21;B22;B11;A11",132,OK
50,"DISEÑO LOGICO",17,4.0,1,14.5,"601;C11",85,OK
102,"GESTION DE MANTENIMIENTO",17,4.0,3,8.0,"727",20,OK
114,"INGENIERIA DE LAS REACCIONES QUIMICAS 1",17,4.0,7,8.0,"116;102;722",41,OK
260,"TRANSFERENCIA DE CALOR 1",17,4.0,1,15.0,"C21;722;A11",60,OK
42,"COSTOS",16,4.0,1,11.0,"310;312;B21",149,OK
56,"ELECTROMAGNETISMO",16,4.0,14,12.0,"310",16,OK
144,"INT. A LA MECANICA DE SUELOS",16,3.5,2,8.0,"310;722",26,OK
182,"MEDIDAS ELECTRICAS",16,4.0,2,16.0,"310",16,OK
234,"SISTEMAS Y CONTROL",16,4.0,25,8.0,"310",16,OK
60,"ELECTROTECNICA",15,3.0,2,15.0,"705;727;703",60,OK
94,"GEOLOGIA DE INGENIERIA",15,4.0,2,11.5,"722;A11;116",41,OK
137,"INT. A LA INGENIERIA BIOQUIMICA",15,4.0,24,15.0,"727;703;B01;B11",313,OK
138,"INT. A LA INGENIERIA DE PROCESOS",15,4.0,23,12.0,"310",16,OK
178,"MECANICA APLICADA (ING.QUÍM)",15,3.0,23,8.0,"705",20,OK
233,"SISTEMAS OPERATIVOS",15,4.0,16,8.0,"309;310;727",52,OK
253,"TERMODINAMICA APL. A LA ING.DE PROCESOS",15,4.0,14,16.0,"310",16,OK
62,"ELECTROTECNICA II",14,3.0,20,8.0,"725",20,OK
139,"INT. A LA INGENIERIA DE SOFTWARE",14,3.0,11,8.0,"309;725",36,OK
279,"ESTRUCTURAS DE MADERA 1",14,3.5,19,8.0,"722;B01",233,OK
39,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",13,3.0,24,8.0,"310",16,OK
84,"FUNCIONES DE VARIABLE COMPLEJA",13,3.0,22,8.0,"310;722;703",46,OK
109,"HORMIGON ESTRUCTURAL 1",13,3.5,1,11.0,"C11;725;116;Hall",151,OK
57,"ELECTRONICA AVANZADA 1",12,3.0,4,8.0,"B22;305;B23;116",174,OK
129,"INT. A LA CONSTRUCCION",12,4.0,22,11.0,"310",16,OK
152,"INT. A LOS MICROPROCESADORES",12,4.0,15,12.0,"310",16,OK
177,"MATERIALES Y ENSAYOS",12,4.0,15,8.0,"310;309;B21",71,OK
210,"PROYECTO",12,3.0,25,16.0,"310",16,OK
284,"TEORÍA Y ANÁLISIS DE ERRORES",12,4.0,23,16.0,"310",16,OK
21,"BASES DE DATOS PARA INGENIERIA",11,3.0,12,8.0,"310;A12;725;C12",286,OK
