dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
25,0,"ELECTRONICA FUNDAMENTAL",11.0,14.5,727,20
25,0,"ELECTRONICA FUNDAMENTAL",11.0,14.5,722,10
23,1,"PROGRAMACION 2",11.0,14.0,312,94
16,2,"ADMINISTRACION DE INFRAESTRUCTURAS",8.0,12.0,B01,223
1,3,"ADMINISTRACION DE OPERACIONES",8.0,10.5,B21,39
1,3,"ADMINISTRACION DE OPERACIONES",8.0,10.5,C11,25
5,4,"AGRIMENSURA LEGAL 1",12.0,16.0,116,6
7,5,"AGRIMENSURA LEGAL 2",12.0,16.0,116,6
25,6,"AGRIMENSURA LEGAL 3",11.0,15.0,116,6
25,6,"AGRIMENSURA LEGAL 3",11.0,15.0,C21,25
11,7,"AGRIMENSURA LEGAL 4",8.0,12.0,116,6
9,8,"ALISTAMIENTO NAVAL",8.0,12.0,A01,145
11,9,"ANALISIS DE ALIMENTOS",8.0,12.0,A01,145
3,10,"ANTENAS Y PROPAGACION",8.0,12.0,B21,39
3,10,"ANTENAS Y PROPAGACION",8.0,12.0,722,10
15,11,"APLICACIONES DEL ALGEBRA LINEAL",8.0,11.0,A01,145
1,12,"ARQUITECTURA DE COMPUTADORAS",18.0,21.0,502,20
1,12,"ARQUITECTURA DE COMPUTADORAS",18.0,21.0,727,20
1,12,"ARQUITECTURA DE COMPUTADORAS",18.0,21.0,B01,223
11,13,"ASPECTOS BASICOS DE REDES DE COMPUT",8.0,11.0,A22,124
10,14,"ASTRONOMIA GEODESICA",8.0,12.0,116,6
10,14,"ASTRONOMIA GEODESICA",8.0,12.0,309,16
8,15,"AUTOMATAS PROGRAMABLES",12.0,16.0,310,16
8,15,"AUTOMATAS PROGRAMABLES",12.0,16.0,502,20
3,16,"AVALUACIONES 1",8.0,12.0,310,16
5,17,"AVALUACIONES 2",8.0,12.0,C01,194
2,18,"AVALUACIONES 3",8.0,12.0,310,16
2,18,"AVALUACIONES 3",8.0,12.0,502,20
15,19,"BASES DE DATOS I",8.0,12.0,C01,194
21,20,"BASES DE DATOS II",8.0,12.0,307,180
21,21,"BASES DE DATOS PARA INGENIERIA",8.0,11.0,310,16
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,A22,124
