generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,301.18,8.9543,8.5358,77,100,255
2,295.00,307.51,8.9857,8.4794,78,100,485
3,296.00,322.22,9.8171,9.1762,96,100,1654
4,300.00,329.81,10.1400,9.4411,99,100,3035
5,309.00,332.90,10.3943,9.7413,100,100,4356
6,315.00,339.76,10.9771,9.9424,99,100,5679
7,319.00,349.04,10.9457,10.2454,100,100,7033
8,321.00,347.61,11.1829,10.0591,100,100,8405
9,327.00,346.13,11.0343,10.2874,100,100,9780
10,330.00,354.73,11.3857,10.4368,100,100,11188
11,333.00,355.30,11.3343,10.4458,100,100,12619
12,339.00,360.32,11.2771,10.5092,100,100,14042
13,342.00,368.23,11.2886,10.5369,100,100,15457
14,349.00,379.96,11.2686,10.5790,99,100,16876
15,349.00,375.13,11.5943,10.9284,99,100,18300
16,353.00,377.64,11.8629,11.0328,100,100,19742
17,356.00,378.02,11.7771,10.8722,99,100,21175
18,358.00,386.01,11.7743,10.9242,99,100,22594
19,362.00,387.91,11.7343,10.9697,98,100,24006
20,362.00,392.83,11.7114,10.9606,98,100,25445
21,362.00,392.33,11.9114,11.0300,100,100,26896
22,365.00,406.98,12.1343,11.3820,98,100,28263
23,372.00,405.94,12.0886,11.4801,100,100,29646
24,371.00,410.48,12.3229,11.5397,100,100,30959
25,376.00,413.65,12.3571,11.5779,100,100,32287
26,381.00,418.01,12.2714,11.6388,100,100,33620
