generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,303.34,8.9200,8.5031,79,100,268
2,295.00,309.13,9.1286,8.5125,83,100,524
3,296.00,304.83,9.5343,8.9612,42,100,1568
4,306.00,331.24,10.2486,9.7363,72,100,2331
5,314.00,335.60,10.3657,9.9370,60,100,3015
6,321.00,343.32,10.6371,10.1196,62,100,3860
7,327.00,353.44,10.8857,10.2347,85,100,4860
8,331.00,359.42,11.1029,10.4443,99,100,6002
9,340.00,362.74,11.1543,10.5478,100,100,7176
10,344.00,364.21,11.0314,10.5234,100,100,8405
11,347.00,371.35,11.0714,10.5042,100,100,9656
12,349.00,373.19,11.3686,10.6261,100,100,10998
13,354.00,371.44,11.4400,10.7463,100,100,12342
14,356.00,378.65,11.6229,10.9047,100,100,13698
15,353.00,383.84,11.4057,10.9877,100,100,15028
16,356.00,379.97,11.4971,10.9790,100,100,16328
17,356.00,380.62,11.4943,11.0751,100,100,17620
18,359.00,379.00,11.7171,11.0503,100,100,18949
19,363.00,382.40,11.7457,11.0356,100,100,20309
20,363.00,387.76,11.8600,11.1206,100,100,21661
21,366.00,387.78,11.8629,11.1634,100,100,23009
22,368.00,387.47,11.7600,11.1295,100,100,24363
23,371.00,388.67,11.6829,11.0452,100,100,25699
24,374.00,395.13,11.9343,11.1567,100,100,27036
25,376.00,400.74,12.0343,11.3349,100,100,28335
26,373.00,404.82,12.1657,11.5235,100,100,29627
