generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,305.03,8.9600,8.5069,79,100,222
2,294.00,307.78,8.9914,8.4395,80,100,411
3,294.00,296.20,9.9143,9.6814,54,100,917
4,294.00,298.97,10.8200,10.3261,71,100,1117
5,294.00,300.66,11.3657,10.7484,87,100,1296
6,294.00,309.57,11.6171,11.3104,82,100,1536
7,294.00,305.14,11.9200,11.3920,80,100,1849
8,294.00,305.89,12.0657,11.4214,63,100,2195
9,295.00,305.99,12.0771,11.5740,67,100,2552
10,296.00,307.02,12.1543,11.6879,63,100,2944
11,297.00,307.33,12.3543,11.9222,85,100,3403
12,297.00,310.24,12.4486,12.0210,100,100,3950
13,298.00,310.64,12.4714,12.1246,100,100,4563
14,299.00,312.71,12.5429,12.2881,100,100,5198
15,299.00,312.03,12.6343,12.3649,100,100,5815
16,299.00,309.71,12.7114,12.4578,100,100,6437
17,299.00,307.10,12.7914,12.5114,100,100,7098
18,299.00,306.96,12.9400,12.6002,100,100,7780
19,299.00,307.82,13.0000,12.7331,100,100,8554
20,299.00,308.59,13.0829,12.7973,100,100,9364
21,299.00,309.56,13.1771,12.8749,100,100,10183
22,299.00,309.03,13.1829,12.8661,100,100,11035
23,299.00,312.16,13.2286,12.9836,100,100,11936
24,299.00,311.64,13.2286,12.9581,100,100,12842
25,299.00,313.36,13.2429,12.9610,100,100,13762
26,299.00,312.04,13.3086,13.0397,100,100,14709
