generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,301.89,8.9543,8.5594,84,100,239
2,294.00,303.45,9.1286,8.5059,86,100,430
3,294.00,303.94,9.9314,9.6857,100,100,1323
4,294.00,301.89,10.2800,10.0906,100,100,2050
5,294.00,299.76,10.9743,10.4427,100,100,2778
6,295.00,302.23,11.1771,10.8473,100,100,3510
7,295.00,306.01,11.5229,11.1233,100,100,4292
8,295.00,308.19,11.5000,11.1900,100,100,5069
9,295.00,300.47,11.8086,11.2033,100,100,5859
10,295.00,302.75,11.8914,11.5169,100,100,6654
11,295.00,305.21,12.2200,11.6574,100,100,7471
12,295.00,307.25,12.2971,11.8765,100,100,8332
13,296.00,308.76,12.3457,11.9499,100,100,9230
14,296.00,311.48,12.4771,12.0445,100,100,10083
15,296.00,315.67,12.6086,12.2132,100,100,10944
16,297.00,315.62,12.6486,12.2387,100,100,11797
17,295.00,320.01,12.7771,12.3236,100,100,12660
18,295.00,313.97,12.8057,12.2571,100,100,13543
19,295.00,317.28,12.8400,12.3705,100,100,14412
20,295.00,318.41,12.9943,12.4237,100,100,15301
21,295.00,316.14,12.9114,12.3189,100,100,16204
22,296.00,317.15,12.9200,12.3819,100,100,17100
23,297.00,318.76,12.9457,12.4213,100,100,18020
24,298.00,322.52,13.0000,12.4067,100,100,18953
25,298.00,336.63,13.0400,12.5784,100,100,19893
26,300.00,324.30,13.0286,12.2912,100,100,20826
