generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,299.55,8.6029,8.5102,42,50,384
2,294.00,298.04,8.9257,8.4456,46,50,695
3,294.00,295.28,9.5086,9.2126,50,50,1924
4,294.00,295.00,9.8257,9.6533,50,50,3016
5,294.00,294.98,10.1400,9.9381,50,50,4120
6,294.00,294.54,10.3600,10.0819,50,50,5216
7,294.00,294.78,10.5257,10.3221,50,50,6265
8,294.00,295.14,10.5743,10.4641,50,50,7342
9,294.00,294.86,10.6029,10.5584,50,50,8406
10,294.00,294.48,10.6771,10.5836,50,50,9479
11,294.00,294.28,10.6657,10.6331,50,50,10555
12,294.00,294.00,10.7143,10.6674,50,50,11644
13,294.00,294.12,10.7886,10.7529,50,50,12722
14,294.00,294.76,10.8314,10.7930,50,50,13799
15,294.00,294.24,10.8686,10.8331,50,50,14905
16,294.00,294.58,10.8800,10.8674,50,50,16033
17,294.00,294.28,10.9057,10.8683,50,50,17080
18,294.00,294.30,10.9171,10.8869,50,50,18232
19,294.00,294.78,10.9543,10.9421,50,50,19312
20,294.00,294.30,10.9829,10.9483,50,50,20494
21,294.00,294.56,11.0029,10.9735,50,50,21702
22,294.00,294.58,11.0257,10.9940,50,50,22878
23,294.00,294.76,11.0657,10.9978,50,50,24037
24,294.00,294.48,11.0771,11.0590,50,50,25184
25,294.00,294.18,11.1000,11.0693,50,50,26359
26,294.00,294.22,11.1257,11.0971,50,50,27520
27,294.00,294.66,11.2029,11.1490,50,50,28611
28,294.00,294.42,11.1743,11.1710,50,50,29616
29,294.00,294.32,11.2000,11.1753,50,50,30727
30,294.00,294.54,11.2171,11.2064,50,50,31859
31,294.00,294.28,11.2400,11.2106,50,50,32928
32,294.00,294.16,11.2571,11.2227,50,50,33967
33,294.00,294.96,11.2514,11.2459,50,50,35115
34,294.00,294.10,11.2629,11.2474,50,50,36224
35,294.00,294.18,11.3143,11.2591,50,50,37439
36,294.00,294.00,11.3143,11.3047,50,50,38579
37,294.00,294.00,11.3543,11.3109,50,50,39822
38,294.00,294.08,11.3971,11.3478,50,50,41004
39,294.00,294.00,11.4371,11.4047,50,50,42398
40,294.00,294.00,11.4657,11.4513,50,50,43652
41,294.00,294.00,11.4771,11.4652,50,50,44816
42,294.00,294.24,11.5571,11.5022,50,50,45980
43,294.00,294.02,11.5600,11.5572,50,50,47184
44,294.00,294.02,11.5714,11.5609,50,50,48428
45,294.00,294.08,11.6057,11.5719,50,50,49753
46,294.00,294.04,11.6314,11.6149,50,50,50916
47,294.00,294.00,11.6343,11.6318,50,50,52037
48,294.00,294.06,11.6629,11.6592,50,50,53115
49,294.00,294.10,11.6800,11.6645,50,50,54179
50,294.00,294.26,11.6829,11.6734,50,50,55273
51,294.00,294.02,11.6914,11.6746,50,50,56328
