generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,306.22,9.0914,8.5503,36,50,319
2,294.00,304.53,9.1286,8.4833,40,50,619
3,294.00,298.28,9.7257,9.3838,50,50,1490
4,294.00,297.82,9.8800,9.6514,50,50,2391
5,294.00,298.96,10.0543,9.7475,50,50,3154
6,294.00,299.38,10.1600,9.8994,50,50,3925
7,294.00,299.48,10.2343,10.0290,50,50,4694
8,294.00,299.82,10.3143,10.0903,50,50,5432
9,294.00,299.76,10.3314,10.1068,50,50,6135
10,294.00,304.72,10.6086,10.2859,50,50,6928
11,294.00,301.84,10.7914,10.4555,50,50,7730
12,294.00,302.98,10.8743,10.5331,50,50,8513
13,294.00,297.98,11.2029,10.7737,50,50,9469
14,294.00,297.68,11.2514,11.0062,50,50,10400
15,294.00,298.62,11.3886,11.1587,50,50,11253
16,294.00,297.92,11.4686,11.2106,50,50,12135
17,294.00,299.02,11.4914,11.3001,50,50,12940
18,294.00,298.24,11.5000,11.3246,50,50,13747
19,294.00,297.66,11.5857,11.3588,50,50,14572
20,294.00,297.70,11.6286,11.4710,50,50,15461
21,294.00,297.22,11.7514,11.5165,50,50,16288
22,294.00,297.34,11.8286,11.6217,50,50,17768
23,294.00,297.40,11.8714,11.6729,50,50,19614
24,294.00,299.00,11.8943,11.7721,50,50,20950
25,294.00,299.86,11.9571,11.8211,50,50,22497
26,294.00,299.82,11.9571,11.7891,50,50,24078
27,294.00,300.14,12.0200,11.8965,50,50,25681
28,294.00,301.18,12.1286,11.9881,50,50,27004
29,294.00,301.76,12.1829,12.0423,50,50,28516
30,294.00,302.06,12.2457,12.1073,50,50,30009
31,294.00,302.08,12.2629,12.1081,50,50,31535
32,294.00,301.36,12.2886,12.0925,50,50,32935
33,294.00,302.00,12.2943,12.2163,50,50,33905
34,294.00,298.36,12.3257,12.2387,50,50,34780
35,294.00,297.24,12.4543,12.3018,50,50,35783
36,294.00,296.10,12.4829,12.4039,50,50,36638
37,294.00,296.56,12.6657,12.4562,50,50,37483
38,294.00,296.60,12.6829,12.5118,50,50,38269
39,294.00,297.02,12.8257,12.6118,50,50,39065
40,294.00,299.04,12.8771,12.7106,50,50,39848
41,294.00,298.82,12.9057,12.7442,50,50,40619
42,294.00,298.32,12.9114,12.7453,50,50,41351
43,294.00,298.56,13.0657,12.7827,50,50,42054
44,294.00,299.78,13.0914,12.8836,50,50,42769
45,294.00,298.78,13.1371,12.9102,50,50,43465
46,294.00,298.06,13.1429,12.9405,50,50,44142
47,294.00,299.98,13.2143,13.0705,50,50,44842
48,294.00,297.84,13.2686,13.1329,50,50,45543
49,294.00,298.38,13.2771,13.1739,50,50,46231
50,294.00,298.52,13.2914,13.1692,50,50,47008
51,294.00,299.02,13.3114,13.2506,50,50,47913
