INSTANCIA,TAM,POB,CRU,MUT,HV,PARETO_FILE
promedio_2024,286,200,0.80,0.100,0.232486,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.246198,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.233239,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.241301,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.250603,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.247124,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.239368,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.237052,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.242527,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.231660,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.228900,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.242069,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.243002,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.232092,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.243569,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.236977,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.243785,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.216473,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.252905,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.239271,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.248422,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.238532,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.232655,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.252358,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.245612,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.233763,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.237034,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.240075,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.237982,output/promedio_2024_pareto_front.csv
promedio_2024,286,200,0.80,0.100,0.231861,output/promedio_2024_pareto_front.csv
