materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",527,3.0,1,8.0,"A12;C12;312;C01",538,OK
95,"GEOMETRIA Y ALGEBRA LINEAL 1",385,3.0,24,8.0,"B01;C01;116;311",452,OK
172,"MATEMATICA DISCRETA 1",375,3.0,17,8.0,"B01;C01",417,OK
78,"FISICA 1",354,3.0,1,8.0,"B01;C11;A01",393,OK
23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",304,4.0,7,8.0,"307;31;B01",438,OK
97,"GEOMETRIA Y ALGEBRA LINEAL 2",298,3.5,2,8.0,"C01;B01;310",433,OK
52,"ECONOMIA",269,4.0,2,11.5,"B01;307;311",432,OK
206,"PROGRAMACION 1",182,3.0,18,8.0,"310;B11;309;B01",305,OK
188,"METODOS NUMERICOS",165,3.0,11,8.0,"307;B21",219,OK
176,"MATEMATICA INICIAL",116,4.0,1,11.0,"A12",119,OK
80,"FISICA 3",102,3.0,2,8.0,"C22",102,OK
202,"PROBABILIDAD Y ESTADISTICA",94,3.0,23,12.0,"B23;722",111,OK
173,"MATEMATICA DISCRETA 2",89,3.0,4,8.0,"312",94,OK
24,"CALCULO VECTORIAL",83,3.0,5,8.0,"312",94,OK
181,"MECANICA NEWTONIANA",82,4.0,1,11.0,"A22;C01;116;309",340,OK
159,"LOGICA",81,4.0,5,16.0,"116;B01",229,OK
207,"PROGRAMACION 3",78,3.0,1,14.0,"B01",223,OK
1,"PROGRAMACION 2",77,3.0,3,8.0,"116;C21;601",91,OK
215,"REDES DE COMPUTADORAS",74,3.0,6,12.0,"A11;310;B01",264,OK
79,"FISICA 2",65,3.0,10,8.0,"Piso",70,OK
201,"PRINCIPIOS DE QUIMICA GENERAL",60,4.0,17,8.0,"601;305;31",130,OK
208,"PROGRAMACION 4",55,3.0,9,8.0,"601;116",66,OK
12,"ARQUITECTURA DE COMPUTADORAS",54,3.0,11,13.5,"601;703",80,OK
142,"INT. A LA INVESTIGACION DE OPERACIONES",45,4.0,9,8.0,"705;B01",243,OK
66,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",44,3.0,1,12.0,"301",76,OK
82,"FLUIDODINAMICA",39,4.0,1,8.0,"B21",39,OK
158,"LEGISLACION Y RELACIONES INDUSTRIALES",36,2.0,1,11.0,"722;C12;705",161,OK
61,"ELECTROTECNICA I",34,2.5,3,8.0,"502;B01;703",263,OK
69,"ENERGIA 1- COMBUSTION",33,3.0,14,8.0,"305",35,OK
262,"TRANSFERENCIA DE CALOR Y MASA 1",32,4.0,21,8.0,"B22",32,OK
245,"TEORIA DE CIRCUITOS",30,3.0,20,8.0,"116;722;B01",239,OK
261,"TRANSFERENCIA DE CALOR 2",30,4.0,9,8.0,"C11;502;B22",77,OK
77,"FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",27,4.0,2,8.0,"Piso",70,OK
81,"FISICA TERMICA",27,3.5,23,8.0,"310;727;705;B23",157,OK
250,"TEORIA DE LENGUAJES",27,4.0,16,8.0,"311",29,OK
118,"INGENIERIA LEGAL",26,4.0,2,8.0,"C21;116",31,OK
127,"INT. A LA CIENCIA DE MATERIALES",25,1.5,17,11.5,"C21",25,OK
228,"SEÑALES Y SISTEMAS",25,3.5,17,8.0,"C21",25,OK
285,"TOPOGRAFIA ALTIMETRICA",25,3.0,22,16.0,"C21;502",45,OK
263,"TRANSFERENCIA DE CALOR Y MASA 2",24,4.0,10,8.0,"A11",25,OK
165,"MAQUINAS PARA FLUIDOS I",21,3.0,21,8.0,"C21",25,OK
37,"COMPUTACION 1",20,3.0,11,12.0,"727",20,OK
278,"TOPOGRAFIA PLANIMETRICA",20,3.0,2,16.0,"727",20,OK
107,"HIDROLOGIA E HIDRAULICA APLICADAS",19,4.0,6,15.0,"727;309",36,OK
41,"CONTROL DE CALIDAD",18,4.0,23,11.5,"727;309",36,OK
115,"INGENIERIA DE LAS REACCIONES QUIMICAS 2",18,2.0,5,8.0,"305;309",51,OK
223,"RESISTENCIA DE MATERIALES 1",18,4.0,22,12.0,"116;722;305",51,OK
0,"ELECTRONICA FUNDAMENTAL",17,3.5,1,11.0,"312",94,OK
50,"DISEÑO LOGICO",17,4.0,5,10.0,"309;B01",239,OK
102,"GESTION DE MANTENIMIENTO",17,4.0,14,8.0,"722;309;116",32,OK
114,"INGENIERIA DE LAS REACCIONES QUIMICAS 1",17,4.0,6,8.0,"Piso;B01;303;C01",563,OK
260,"TRANSFERENCIA DE CALOR 1",17,4.0,19,12.0,"727",20,OK
42,"COSTOS",16,4.0,5,8.0,"116;303;725",102,OK
56,"ELECTROMAGNETISMO",16,4.0,1,8.0,"725",20,OK
144,"INT. A LA MECANICA DE SUELOS",16,3.5,12,12.0,"116;310",22,OK
182,"MEDIDAS ELECTRICAS",16,4.0,14,12.0,"722;705",30,OK
234,"SISTEMAS Y CONTROL",16,4.0,9,8.0,"310",16,OK
60,"ELECTROTECNICA",15,3.0,7,16.0,"310",16,OK
94,"GEOLOGIA DE INGENIERIA",15,4.0,4,11.0,"116;B12;725",167,OK
137,"INT. A LA INGENIERIA BIOQUIMICA",15,4.0,22,16.0,"116;309;C12",153,OK
138,"INT. A LA INGENIERIA DE PROCESOS",15,4.0,2,8.0,"102",25,OK
178,"MECANICA APLICADA (ING.QUÍM)",15,3.0,1,12.0,"310",16,OK
233,"SISTEMAS OPERATIVOS",15,4.0,2,11.5,"310",16,OK
253,"TERMODINAMICA APL. A LA ING.DE PROCESOS",15,4.0,3,8.0,"Actos;309;705",164,OK
62,"ELECTROTECNICA II",14,3.0,18,16.0,"310",16,OK
139,"INT. A LA INGENIERIA DE SOFTWARE",14,3.0,5,12.0,"310",16,OK
279,"ESTRUCTURAS DE MADERA 1",14,3.5,1,8.0,"B11;305",85,OK
39,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",13,3.0,21,8.0,"310",16,OK
84,"FUNCIONES DE VARIABLE COMPLEJA",13,3.0,1,16.0,"725;722;502",50,OK
109,"HORMIGON ESTRUCTURAL 1",13,3.5,24,11.0,"116;B01",229,OK
57,"ELECTRONICA AVANZADA 1",12,3.0,5,15.0,"310",16,OK
129,"INT. A LA CONSTRUCCION",12,4.0,3,16.0,"310",16,OK
152,"INT. A LOS MICROPROCESADORES",12,4.0,19,8.0,"727;309",36,OK
177,"MATERIALES Y ENSAYOS",12,4.0,16,8.0,"310;309",32,OK
210,"PROYECTO",12,3.0,22,12.0,"310",16,OK
284,"TEORÍA Y ANÁLISIS DE ERRORES",12,4.0,1,8.0,"C21",25,OK
21,"BASES DE DATOS PARA INGENIERIA",11,3.0,23,11.5,"310",16,OK
26,"CAMINOS Y CALLES 1",11,4.0,16,16.0,"310",16,OK
34,"COMPORTAMIENTO MECANICO DE MATERIALES 1",11,3.0,17,12.0,"310",16,OK
85,"FUNDAMENTOS DE BASES DE DATOS",11,3.0,15,12.0,"310",16,OK
124,"INSTRUMENTACION INDUSTRIAL",11,4.0,2,8.0,"305",35,OK
148,"INT. A LAS ECUACIONES DIFERENCIALES",11,3.0,22,15.0,"310",16,OK
143,"INT. A LA MECANICA DE LOS FLUIDOS",10,4.0,11,16.0,"722",10,OK
146,"INT. A LA OPTICA",10,3.5,7,8.0,"722",10,OK
203,"PROCEDIMIENTOS CONST. OBRAS VIALES Y SUELO",10,1.5,5,16.0,"102;722",35,OK
