generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,301.15,8.9971,8.5124,167,200,1044
2,321.00,345.47,9.3114,8.4648,159,200,1881
3,294.00,369.27,9.8371,9.0074,172,200,5872
4,326.00,401.39,9.9114,9.1936,183,200,9913
5,357.00,416.68,10.1571,9.2064,184,200,14107
6,386.00,440.54,10.4229,9.3049,177,200,17994
7,407.00,455.26,10.2314,9.3554,163,200,21814
8,420.00,468.36,10.2686,9.4348,151,200,25557
9,446.00,476.99,10.2686,9.4761,138,200,29274
10,453.00,480.43,10.4343,9.4862,130,200,33010
11,456.00,485.12,10.5371,9.5158,129,200,36761
12,461.00,491.26,10.7343,9.6208,119,200,40473
13,467.00,493.36,10.5600,9.7742,106,200,44325
14,470.00,500.78,10.5086,9.8181,104,200,47975
