generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,294.00,9.3029,6.1445,83,100,3728
2,294.00,300.50,8.8629,5.3749,44,100,7600
3,294.00,294.98,9.3029,8.3374,99,100,51924
4,294.00,294.09,9.5514,9.2361,100,100,93065
5,294.00,296.13,9.9429,9.5974,100,100,126868
6,294.00,296.55,10.3743,9.7613,100,100,163527
7,294.00,297.71,10.3771,9.8576,100,100,198669
8,294.00,295.60,10.4229,9.7641,100,100,234074
9,294.00,296.14,10.5000,9.8202,100,100,279792
10,294.00,297.22,10.5629,9.9177,100,100,322176
11,294.00,297.18,10.7171,9.9575,100,100,356969
