generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.95,8.9429,8.5248,294.000000,302.953488,-8.942857,-8.524751,86,100,672
2,294.00,305.19,9.1971,8.4901,294.000000,305.191011,-9.197143,-8.490080,89,100,1749
3,294.00,298.46,9.1971,8.6156,294.000000,298.456522,-9.197143,-8.615559,92,100,2141
4,294.00,302.61,9.1971,8.6961,294.000000,302.607143,-9.197143,-8.696088,84,100,2652
5,294.00,306.73,9.2314,8.8042,294.000000,306.728395,-9.231429,-8.804162,81,100,3014
6,294.00,303.10,9.2314,8.9116,294.000000,303.102941,-9.231429,-8.911555,68,100,3309
7,294.00,300.55,9.2314,9.0041,294.000000,300.554054,-9.231429,-9.004131,74,100,3579
8,294.00,298.42,9.2943,9.0686,294.000000,298.418919,-9.294286,-9.068649,74,100,3819
9,294.00,298.14,9.4514,9.1350,294.000000,298.136986,-9.451429,-9.134951,73,100,4049
10,294.00,298.55,9.6686,9.2162,294.000000,298.547945,-9.668571,-9.216164,73,100,4263
11,294.00,297.72,9.6686,9.2741,294.000000,297.723077,-9.668571,-9.274066,65,100,4474
12,294.00,298.03,9.7400,9.3281,294.000000,298.032787,-9.740000,-9.328056,61,100,4700
13,294.00,298.32,9.7400,9.3860,294.000000,298.316667,-9.740000,-9.386048,60,100,4950
14,294.00,297.57,9.7429,9.4882,294.000000,297.567164,-9.742857,-9.488188,67,100,5211
15,294.00,298.43,9.9486,9.5342,294.000000,298.426667,-9.948571,-9.534210,75,100,5469
16,294.00,299.63,10.4571,9.5775,294.000000,299.625000,-10.457143,-9.577500,72,100,5738
17,294.00,298.87,10.4571,9.6437,294.000000,298.866667,-10.457143,-9.643733,75,100,6010
18,294.00,298.61,10.4657,9.7141,294.000000,298.609195,-10.465714,-9.714122,87,100,6260
19,294.00,298.62,10.4657,9.7533,294.000000,298.621053,-10.465714,-9.753263,95,100,6519
20,294.00,297.82,10.5200,9.7519,294.000000,297.820000,-10.520000,-9.751914,100,100,6759
21,294.00,298.47,10.6057,9.8845,294.000000,298.470000,-10.605714,-9.884457,100,100,7007
22,294.00,298.57,10.6114,9.9583,294.000000,298.570000,-10.611429,-9.958286,100,100,7228
23,294.00,298.68,10.6114,10.0267,294.000000,298.680000,-10.611429,-10.026657,100,100,7431
24,294.00,300.13,10.6800,10.2217,294.000000,300.130000,-10.680000,-10.221714,100,100,7620
25,294.00,300.45,10.6800,10.2792,294.000000,300.450000,-10.680000,-10.279229,100,100,7800
26,294.00,299.28,10.6800,10.2394,294.000000,299.280000,-10.680000,-10.239400,100,100,7992
27,294.00,298.89,10.6800,10.2401,294.000000,298.890000,-10.680000,-10.240114,100,100,8172
28,294.00,298.67,10.6800,10.2534,294.000000,298.670000,-10.680000,-10.253371,100,100,8354
29,294.00,298.85,10.6800,10.3034,294.000000,298.850000,-10.680000,-10.303371,100,100,8528
30,294.00,298.38,10.7543,10.3029,294.000000,298.380000,-10.754286,-10.302857,100,100,8695
31,294.00,298.26,10.7543,10.3169,294.000000,298.260000,-10.754286,-10.316943,100,100,8862
32,294.00,298.63,10.7543,10.3746,294.000000,298.630000,-10.754286,-10.374629,100,100,9028
33,294.00,298.36,10.7543,10.3796,294.000000,298.360000,-10.754286,-10.379600,100,100,9185
34,294.00,299.18,10.7543,10.4428,294.000000,299.180000,-10.754286,-10.442771,100,100,9346
35,294.00,298.90,10.8971,10.4505,294.000000,298.900000,-10.897143,-10.450543,100,100,9499
36,294.00,298.78,10.8971,10.4823,294.000000,298.780000,-10.897143,-10.482343,100,100,9652
37,294.00,298.89,10.9000,10.5340,294.000000,298.890000,-10.900000,-10.533971,100,100,9804
38,294.00,298.30,10.9429,10.5666,294.000000,298.300000,-10.942857,-10.566629,100,100,9959
39,294.00,298.54,10.9257,10.6340,294.000000,298.540000,-10.925714,-10.633971,100,100,10116
