generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,299.77,8.9943,8.5410,294.000000,299.770115,-8.994286,-8.540985,87,100,551
2,294.00,301.13,8.9200,8.5081,294.000000,301.125000,-8.920000,-8.508107,80,100,962
3,294.00,296.58,8.9200,8.5966,294.000000,296.580000,-8.920000,-8.596571,100,100,1176
4,294.00,298.16,8.9000,8.6374,294.000000,298.160000,-8.900000,-8.637400,100,100,1615
5,294.00,301.97,9.1771,8.7469,294.000000,301.970000,-9.177143,-8.746943,100,100,2063
6,294.00,300.75,9.4257,8.8423,294.000000,300.750000,-9.425714,-8.842286,100,100,2996
7,294.00,298.48,9.5000,8.9752,294.000000,298.480000,-9.500000,-8.975229,100,100,4323
8,294.00,297.74,9.5743,9.1093,294.000000,297.740000,-9.574286,-9.109343,100,100,4904
9,294.00,297.63,9.7114,9.2751,294.000000,297.630000,-9.711429,-9.275143,100,100,5420
10,294.00,298.26,9.7486,9.4035,294.000000,298.260000,-9.748571,-9.403486,100,100,5794
11,294.00,298.93,9.8743,9.4546,294.000000,298.930000,-9.874286,-9.454600,100,100,6158
12,294.00,299.24,10.0657,9.5472,294.000000,299.240000,-10.065714,-9.547229,100,100,6429
13,294.00,298.62,10.0657,9.6019,294.000000,298.620000,-10.065714,-9.601943,100,100,6688
14,294.00,298.40,10.0657,9.6541,294.000000,298.400000,-10.065714,-9.654114,100,100,6949
15,294.00,298.68,10.0657,9.6771,294.000000,298.680000,-10.065714,-9.677143,100,100,7214
16,294.00,299.16,10.0657,9.7245,294.000000,299.160000,-10.065714,-9.724543,100,100,7497
17,294.00,298.97,10.0657,9.7507,294.000000,298.970000,-10.065714,-9.750714,100,100,7783
18,294.00,298.77,10.1000,9.7755,294.000000,298.770000,-10.100000,-9.775457,100,100,8073
19,294.00,299.26,10.1000,9.8247,294.000000,299.260000,-10.100000,-9.824743,100,100,8358
20,294.00,299.21,10.1743,9.8291,294.000000,299.210000,-10.174286,-9.829086,100,100,8628
21,294.00,299.37,10.1743,9.8688,294.000000,299.370000,-10.174286,-9.868829,100,100,9012
22,294.00,299.34,10.2114,9.8893,294.000000,299.340000,-10.211429,-9.889314,100,100,9315
23,294.00,300.02,10.2114,9.9523,294.000000,300.020000,-10.211429,-9.952314,100,100,9630
24,294.00,300.45,10.2800,10.0299,294.000000,300.450000,-10.280000,-10.029914,100,100,9942
25,294.00,300.78,10.3971,10.0716,294.000000,300.780000,-10.397143,-10.071629,100,100,10283
26,294.00,300.35,10.5800,10.1242,294.000000,300.350000,-10.580000,-10.124229,100,100,10592
27,294.00,299.81,10.6429,10.1684,294.000000,299.810000,-10.642857,-10.168429,100,100,10940
28,294.00,300.31,10.7629,10.2268,294.000000,300.310000,-10.762857,-10.226771,100,100,11266
29,294.00,300.42,10.7229,10.2759,294.000000,300.420000,-10.722857,-10.275886,100,100,11548
30,294.00,299.98,10.9171,10.2931,294.000000,299.980000,-10.917143,-10.293057,100,100,11831
31,294.00,300.16,10.9171,10.3391,294.000000,300.160000,-10.917143,-10.339086,100,100,12116
32,294.00,300.37,11.1000,10.3949,294.000000,300.370000,-11.100000,-10.394914,100,100,12404
33,294.00,300.03,11.1000,10.4026,294.000000,300.030000,-11.100000,-10.402629,100,100,12699
34,294.00,299.95,11.0457,10.4227,294.000000,299.950000,-11.045714,-10.422714,100,100,12979
35,294.00,301.25,11.0400,10.5012,294.000000,301.250000,-11.040000,-10.501200,100,100,13299
36,294.00,302.00,11.0400,10.5593,294.000000,302.000000,-11.040000,-10.559343,100,100,13640
37,294.00,302.37,11.1343,10.6104,294.000000,302.370000,-11.134286,-10.610429,100,100,13934
38,294.00,303.10,11.2086,10.6375,294.000000,303.100000,-11.208571,-10.637457,100,100,14255
39,294.00,303.63,11.1657,10.6828,294.000000,303.630000,-11.165714,-10.682829,100,100,14568
40,294.00,302.96,11.1971,10.7035,294.000000,302.960000,-11.197143,-10.703486,100,100,14845
41,294.00,302.63,11.2200,10.7136,294.000000,302.630000,-11.220000,-10.713571,100,100,15162
42,294.00,302.46,11.2143,10.7255,294.000000,302.460000,-11.214286,-10.725457,100,100,15467
43,294.00,302.72,11.2143,10.7639,294.000000,302.720000,-11.214286,-10.763886,100,100,15774
44,294.00,303.14,11.3143,10.8113,294.000000,303.140000,-11.314286,-10.811314,100,100,16089
