generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,301.61,8.8400,8.5103,294.000000,301.610390,-8.840000,-8.510315,77,100,964
2,294.00,302.27,8.8514,8.4713,294.000000,302.271605,-8.851429,-8.471287,81,100,1562
3,294.00,297.40,8.8514,8.5877,294.000000,297.395349,-8.851429,-8.587708,86,100,1801
4,294.00,301.49,9.2543,8.6825,294.000000,301.492958,-9.254286,-8.682535,71,100,2161
5,294.00,303.23,9.2857,8.8165,294.000000,303.228070,-9.285714,-8.816541,57,100,2446
6,294.00,301.83,9.3314,8.8992,294.000000,301.828125,-9.331429,-8.899241,64,100,2706
7,294.00,300.47,9.3771,9.0405,294.000000,300.466667,-9.377143,-9.040524,60,100,2968
8,294.00,300.12,9.4343,9.1533,294.000000,300.120690,-9.434286,-9.153350,58,100,3183
9,294.00,299.51,9.5400,9.2548,294.000000,299.508475,-9.540000,-9.254818,59,100,3405
10,294.00,299.35,9.5400,9.2980,294.000000,299.350877,-9.540000,-9.298045,57,100,3609
11,294.00,298.92,9.7914,9.3511,294.000000,298.923077,-9.791429,-9.351121,65,100,3825
12,294.00,297.67,9.7914,9.3935,294.000000,297.666667,-9.791429,-9.393484,57,100,4041
13,294.00,297.60,9.8743,9.4549,294.000000,297.603175,-9.874286,-9.454875,63,100,4259
14,294.00,297.23,9.8857,9.5146,294.000000,297.225806,-9.885714,-9.514562,62,100,4470
15,294.00,297.33,10.1600,9.6058,294.000000,297.325000,-10.160000,-9.605821,80,100,4663
16,294.00,297.62,10.1629,9.6806,294.000000,297.621951,-10.162857,-9.680557,82,100,4864
17,294.00,297.36,10.1886,9.7088,294.000000,297.359551,-10.188571,-9.708764,89,100,5087
18,294.00,297.30,10.2457,9.7780,294.000000,297.298851,-10.245714,-9.777964,87,100,5305
19,294.00,297.88,10.3829,9.8521,294.000000,297.882979,-10.382857,-9.852097,94,100,5523
20,294.00,298.02,10.4886,9.8926,294.000000,298.020000,-10.488571,-9.892600,100,100,5735
21,294.00,299.10,10.4886,9.9877,294.000000,299.100000,-10.488571,-9.987714,100,100,5936
22,294.00,299.79,10.4886,10.0523,294.000000,299.790000,-10.488571,-10.052314,100,100,6122
23,294.00,299.85,10.4457,10.1164,294.000000,299.850000,-10.445714,-10.116400,100,100,6309
24,294.00,299.87,10.4514,10.1467,294.000000,299.870000,-10.451429,-10.146743,100,100,6492
25,294.00,300.08,10.5000,10.2001,294.000000,300.080000,-10.500000,-10.200114,100,100,6683
26,294.00,299.59,10.5771,10.2565,294.000000,299.590000,-10.577143,-10.256543,100,100,6853
27,294.00,300.42,10.6714,10.2965,294.000000,300.420000,-10.671429,-10.296457,100,100,7017
28,294.00,299.84,10.6714,10.3239,294.000000,299.840000,-10.671429,-10.323914,100,100,7173
29,294.00,299.23,10.7400,10.3140,294.000000,299.230000,-10.740000,-10.313971,100,100,7347
30,294.00,298.20,10.7400,10.2822,294.000000,298.200000,-10.740000,-10.282200,100,100,7518
31,294.00,299.12,10.8057,10.4231,294.000000,299.120000,-10.805714,-10.423057,100,100,7723
32,294.00,298.84,10.8057,10.4807,294.000000,298.840000,-10.805714,-10.480743,100,100,7870
33,294.00,299.13,10.9029,10.5559,294.000000,299.130000,-10.902857,-10.555857,100,100,8031
34,294.00,298.97,10.9457,10.6005,294.000000,298.970000,-10.945714,-10.600457,100,100,8215
35,294.00,298.61,10.9400,10.6169,294.000000,298.610000,-10.940000,-10.616886,100,100,8409
36,294.00,298.90,10.9400,10.6433,294.000000,298.900000,-10.940000,-10.643314,100,100,8612
37,294.00,298.70,10.9029,10.6593,294.000000,298.700000,-10.902857,-10.659286,100,100,8840
38,294.00,298.34,10.9543,10.6710,294.000000,298.340000,-10.954286,-10.670971,100,100,9071
39,294.00,298.10,10.9543,10.6808,294.000000,298.100000,-10.954286,-10.680829,100,100,9302
40,294.00,298.44,10.9543,10.7222,294.000000,298.440000,-10.954286,-10.722200,100,100,9535
41,294.00,298.21,10.9543,10.7292,294.000000,298.210000,-10.954286,-10.729200,100,100,9785
42,294.00,298.21,10.9686,10.7493,294.000000,298.210000,-10.968571,-10.749257,100,100,10074
43,294.00,298.77,11.0286,10.7996,294.000000,298.770000,-11.028571,-10.799629,100,100,10315
44,294.00,299.12,11.1229,10.8384,294.000000,299.120000,-11.122857,-10.838371,100,100,10553
