generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,301.18,8.9543,8.5358,294.000000,301.181818,-8.954286,-8.535807,77,100,1235
2,294.00,303.29,9.1057,8.5013,294.000000,303.293333,-9.105714,-8.501295,75,100,2122
3,294.00,297.50,9.1057,8.6207,294.000000,297.500000,-9.105714,-8.620682,88,100,2735
4,294.00,302.14,9.1057,8.7106,294.000000,302.140845,-9.105714,-8.710624,71,100,3721
5,294.00,303.27,9.4971,8.8684,294.000000,303.271429,-9.497143,-8.868449,70,100,4622
6,294.00,304.61,9.4600,9.0059,294.000000,304.614286,-9.460000,-9.005878,70,100,5091
7,294.00,303.16,9.8229,9.1256,294.000000,303.162162,-9.822857,-9.125560,74,100,5818
8,294.00,305.50,9.6971,9.2585,294.000000,305.500000,-9.697143,-9.258496,76,100,6086
9,294.00,301.78,9.7857,9.2600,294.000000,301.779412,-9.785714,-9.259958,68,100,6371
10,294.00,301.26,9.8229,9.3122,294.000000,301.264706,-9.822857,-9.312185,68,100,6594
11,294.00,301.33,9.8629,9.3718,294.000000,301.327869,-9.862857,-9.371803,61,100,6897
12,294.00,302.63,9.9543,9.4504,294.000000,302.628571,-9.954286,-9.450408,70,100,7154
13,294.00,303.20,10.0629,9.5134,294.000000,303.202381,-10.062857,-9.513401,84,100,7323
14,294.00,302.37,10.0829,9.5530,294.000000,302.367816,-10.082857,-9.553038,87,100,7515
15,294.00,300.85,10.2600,9.5411,294.000000,300.852273,-10.260000,-9.541136,88,100,7662
16,294.00,301.35,10.2600,9.6209,294.000000,301.352941,-10.260000,-9.620908,85,100,7796
17,294.00,303.16,10.2600,9.7456,294.000000,303.161290,-10.260000,-9.745561,93,100,7902
18,294.00,302.14,10.4171,9.7816,294.000000,302.136842,-10.417143,-9.781564,95,100,8127
19,294.00,301.61,10.4171,9.8284,294.000000,301.610000,-10.417143,-9.828400,100,100,8282
20,294.00,301.25,10.4171,9.8678,294.000000,301.250000,-10.417143,-9.867800,100,100,8431
21,294.00,300.33,10.5600,9.9245,294.000000,300.330000,-10.560000,-9.924486,100,100,8610
22,294.00,299.24,10.5600,9.9503,294.000000,299.240000,-10.560000,-9.950257,100,100,8718
23,294.00,298.95,10.6571,9.9996,294.000000,298.950000,-10.657143,-9.999571,100,100,8820
24,294.00,299.08,10.6571,10.0646,294.000000,299.080000,-10.657143,-10.064629,100,100,8975
25,294.00,299.87,10.6571,10.1773,294.000000,299.870000,-10.657143,-10.177343,100,100,9138
26,294.00,299.13,10.6571,10.2018,294.000000,299.130000,-10.657143,-10.201800,100,100,9288
27,294.00,299.08,10.7800,10.2853,294.000000,299.080808,-10.780000,-10.285339,99,100,9536
28,294.00,298.82,10.8229,10.3060,294.000000,298.824742,-10.822857,-10.306038,97,100,9814
29,294.00,299.21,10.8229,10.3813,294.000000,299.208333,-10.822857,-10.381310,96,100,9927
30,294.00,299.45,10.8543,10.4338,294.000000,299.445652,-10.854286,-10.433758,92,100,10076
31,294.00,299.05,10.8543,10.4627,294.000000,299.045455,-10.854286,-10.462662,88,100,10246
32,294.00,299.26,10.9686,10.5247,294.000000,299.258065,-10.968571,-10.524670,93,100,10439
33,294.00,298.27,10.9857,10.5093,294.000000,298.272727,-10.985714,-10.509286,88,100,10577
34,294.00,297.65,11.0686,10.4913,294.000000,297.647727,-11.068571,-10.491266,88,100,10714
35,294.00,297.13,11.0686,10.5201,294.000000,297.125000,-11.068571,-10.520071,80,100,10887
36,294.00,296.26,11.1086,10.5170,294.000000,296.257143,-11.108571,-10.517020,70,100,11029
37,294.00,297.04,11.1886,10.6550,294.000000,297.042254,-11.188571,-10.655010,71,100,11203
38,294.00,297.41,11.1886,10.7456,294.000000,297.409091,-11.188571,-10.745628,66,100,11479
39,294.00,297.59,11.1886,10.7788,294.000000,297.592105,-11.188571,-10.778759,76,100,11905
40,294.00,297.92,11.2343,10.8528,294.000000,297.916667,-11.234286,-10.852778,72,100,12195
41,294.00,298.06,11.2343,10.8794,294.000000,298.062500,-11.234286,-10.879393,80,100,12405
42,294.00,298.33,11.2800,10.9352,294.000000,298.328767,-11.280000,-10.935225,73,100,12610
