materia_id,materia_nombre,inscriptos,duracion_horas,dia,salones,capacidad_total,estado
90,"GEODESIA 2",1,4.0,1,"C12;311;Hall",260,OK
92,"GEOESTADISTICA APLICADA",1,4.0,0,"B01;305",258,OK
93,"GEOFISICA",1,4.0,0,"B01",223,OK
104,"HIDRAULICA Y NEUMATICA",1,4.0,1,"310;Actos;C22",246,OK
105,"HIDRODINAMICA NAVAL",1,4.0,17,"B01;309;115",279,OK
106,"HIDROLOGIA AVANZADA II",1,4.0,0,"B01;C11",248,OK
108,"HIGIENE Y SERV. DE PLANTAS PROC. DE ALIMENTOS",1,4.0,0,"Piso;B01",293,OK
112,"INGENIERIA AMBIENTAL PARA LA INDUSTRIA DE PROCESOS",1,4.0,2,"502",20,OK
116,"INGENIERIA DE LOS PROCESOS ELECTROQUIMICOS",1,4.0,0,"B01",223,OK
119,"INGLES CONVERSACIONAL (ACT.COMPL.2)",1,4.0,17,"B01;115;703",283,OK
121,"INGLES TECNICO 1 (ACT.COMPL.1)",1,4.0,1,"A21",72,OK
123,"INSTALACIONES GENERALES DE GASES COMBUSTIBLES",1,4.0,0,"B01",223,OK
128,"INT. A LA COMBUSTION",1,4.0,0,"Piso;B01",293,OK
130,"INT. A LA CORROSION DEL HORMIGON ARMADO",1,4.0,0,"B01;Hall",323,OK
132,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.",1,4.0,18,"B01;A22;311",376,OK
136,"INT. A LA GEODESIA Y SIST. DE POS. GLOBAL",1,4.0,2,"305",35,OK
145,"INT. AL ANALISIS RURAL",1,4.0,3,"305",35,OK
150,"INT. AL CONTROL INDUSTRIAL",1,4.0,18,"705;B01;301",319,OK
154,"INT. AL SISTEMA CLIMATICO",1,4.0,2,"Actos;Hall",228,OK
155,"INT. AL TRANSPORTE",1,4.0,0,"B01;Hall",323,OK
157,"LEGISLACION TERRITORIAL",1,4.0,0,"B01;A11",248,OK
161,"MANTENIMIENTO DE BUQUES",1,4.0,2,"B01;B21;C22;C11",389,OK
167,"MAQUINAS Y EQUIPOS PARA TRANSPORTE",1,4.0,2,"Hall",100,OK
168,"MATEMATICA",1,4.0,18,"B01;Hall;502",343,OK
174,"MATEMATICA DISCRETA Y LOGICA 1",1,4.0,1,"722;31;A12",164,OK
175,"MATEMATICA DISCRETA Y LOGICA 2",1,4.0,0,"B01",223,OK
180,"MECANICA ESTRUCTURAL",1,4.0,2,"Piso",70,OK
183,"MEDIDAS ELECTRICAS EN INGENIERIA DE PROCESOS",1,4.0,2,"115",40,OK
187,"METEOROLOGIA DINAMICA Y SINOPTICA",1,4.0,1,"307;305",215,OK
189,"MODULO TALLER EXTENSION ING.AMBIENTAL 1",1,4.0,1,"B21",39,OK
190,"MODULO TALLER EXTENSION ING.AMBIENTAL 2",1,4.0,19,"Piso;B01;C22",395,OK
191,"MOTORES DE COMB. INT. Y TURBINAS DE GAS",1,4.0,0,"B01",223,OK
194,"OPTICA",1,4.0,19,"B01;305;C21",283,OK
196,"ORDENAMIENTO TERRITORIAL 2",1,4.0,3,"B12",141,OK
200,"PRINCIPIOS DE PROGRAMACION",1,4.0,1,"C22;A11",127,OK
205,"PRODUCCION CARTOGRAFICA",1,4.0,19,"B01;B22;A21",327,OK
212,"PROYECTO DE INVERSION",1,4.0,2,"102",25,OK
220,"REFRIGERACION INDUSTRIAL",1,4.0,1,"A22",124,OK
221,"RELACIONES PERSONALES Y LABORALES",1,4.0,2,"502;A21",92,OK
222,"REPRESENTACION GRAFICA PARA INDUSTRIAS DE PROC.",1,4.0,2,"B01;B21;B22;B23",395,OK
226,"SEGURIDAD INDUSTRIAL",1,4.0,0,"B01;C21",248,OK
230,"SISTEMAS DE INFORMACION GEOGR. AVANZADO",1,4.0,20,"B01;501;C22",387,OK
236,"TALLER DE CARTOGRAFIA",1,4.0,0,"B01;B12",364,OK
239,"TECNOLOGIA DEL HORMIGON",1,4.0,0,"B01;31",258,OK
240,"TECNOLOGIA DE SERVICIOS AUDIOVISUALES",1,4.0,1,"Actos",128,OK
241,"TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES",1,4.0,0,"B01",223,OK
243,"TECNOLOGIA Y SERV. INDUSTRIALES 2",1,4.0,0,"B01;307",403,OK
248,"TEORIA DE INSTRUMENTAL",1,4.0,2,"501",62,OK
249,"TEORIA DEL BUQUE",1,4.0,0,"B01;B11",273,OK
251,"TEORIA DE MAQUINAS Y MECANISMOS",1,4.0,0,"B01",223,OK
252,"TEORIA DE RESTRICCIONES",1,4.0,1,"601;C21",85,OK
255,"TOPOGRAFIA 1",1,4.0,0,"705;B01",243,OK
256,"TOPOGRAFIA 2",1,4.0,2,"A01",145,OK
258,"TOPOMETRIA",1,4.0,2,"C22",102,OK
265,"TRANSPORTE DE ENERGIA ELECTRICA",1,4.0,0,"B01;C11",248,OK
266,"TRANSPORTE FERROVIARIO",1,4.0,20,"B01;C12;502",374,OK
268,"TRANSPORTE INDUSTRIAL",1,4.0,2,"102",25,OK
277,"TALLER DE CALIDAD DE DATOS GEOGRAFICOS",1,4.0,2,"A01",145,OK
280,"GEODESIA ASTRONÓMICA",1,4.0,20,"B01;B11;102",298,OK
281,"GEODESIA FÍSICA",1,4.0,0,"B01;115",263,OK
282,"HIDROGENO VERDE: PRODUCCIÓN Y USOS",1,4.0,21,"B01;Piso;A22",417,OK
283,"MICROBIOLOGIA GENERAL",1,4.0,3,"B23",101,OK
