generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.71,5.1886,4.7851,80,100,358
2,294.00,313.75,5.7429,4.6386,72,100,629
3,294.00,317.91,6.5229,5.5768,100,100,1483
4,294.00,316.81,6.5457,5.8173,100,100,2117
5,294.00,317.25,6.6429,6.0023,100,100,2748
6,294.00,309.00,6.6429,5.8946,100,100,3347
7,294.00,313.99,6.6429,6.0932,100,100,3925
8,294.00,305.87,6.6771,5.9641,100,100,4482
9,294.00,311.89,6.7286,5.9521,100,100,5035
10,294.00,323.36,6.7400,6.3024,100,100,5593
11,294.00,316.50,6.7400,6.2373,100,100,6153
