generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,306.07,8.9000,8.5140,46,50,321
2,294.00,307.43,8.9314,8.4984,46,50,610
3,294.00,297.70,9.6771,9.3471,50,50,1395
4,294.00,300.00,10.3800,10.0482,50,50,1674
5,294.00,302.20,10.7314,10.4241,50,50,1942
6,294.00,300.04,10.9800,10.7249,50,50,2257
7,294.00,299.00,11.2857,11.0870,50,50,2565
8,294.00,299.28,11.4200,11.2994,50,50,2932
9,294.00,300.68,11.6857,11.4050,50,50,3306
10,294.00,302.50,11.6943,11.4663,50,50,3721
11,294.00,300.12,11.6857,11.4699,50,50,4117
12,294.00,300.46,11.7800,11.5754,50,50,4515
13,294.00,302.26,11.9171,11.6450,50,50,4970
14,294.00,299.50,11.9743,11.6889,50,50,5366
15,294.00,297.50,12.0657,11.8471,50,50,5792
16,294.00,296.24,12.1571,11.8591,50,50,6226
17,294.00,297.54,12.2314,12.0828,50,50,6653
18,294.00,299.12,12.2514,12.1249,50,50,7077
19,294.00,296.24,12.3629,12.0560,50,50,7497
20,294.00,296.52,12.4200,12.2562,50,50,7939
21,294.00,296.76,12.4714,12.2953,50,50,8403
22,294.00,296.94,12.5057,12.3292,50,50,8958
23,294.00,299.06,12.5657,12.4314,50,50,9409
24,294.00,297.96,12.5600,12.4236,50,50,9889
25,294.00,296.66,12.6514,12.5313,50,50,10355
26,294.00,296.88,12.7457,12.5803,50,50,10803
27,294.00,297.20,12.7629,12.5980,50,50,11249
28,294.00,297.84,12.7914,12.6486,50,50,11719
29,294.00,297.00,12.8743,12.6291,50,50,12186
30,294.00,297.90,12.8743,12.6974,50,50,12653
31,294.00,297.96,12.9057,12.6787,50,50,13095
32,294.00,297.74,12.9343,12.7186,50,50,13533
33,294.00,297.80,12.9400,12.7738,50,50,13994
34,294.00,298.50,13.0000,12.8157,50,50,14436
35,294.00,298.04,13.0457,12.8271,50,50,14901
36,294.00,297.86,13.0600,12.8194,50,50,15368
37,294.00,300.58,13.0771,12.9489,50,50,15832
38,294.00,298.78,13.0657,12.8917,50,50,16298
39,294.00,297.94,13.0771,12.8942,50,50,16776
40,294.00,298.78,13.0771,12.9382,50,50,17246
41,294.00,299.84,13.2629,12.9851,50,50,17725
42,294.00,302.20,13.2829,13.0827,50,50,18199
43,294.00,302.52,13.3286,13.1143,50,50,18690
44,294.00,302.84,13.3857,13.1706,50,50,19187
45,294.00,300.60,13.3514,13.1177,50,50,19707
46,294.00,303.12,13.3514,13.2218,50,50,20229
47,294.00,299.64,13.4657,13.1650,50,50,20758
48,294.00,298.72,13.4800,13.2529,50,50,21294
49,294.00,299.04,13.4829,13.2630,50,50,21829
50,294.00,299.49,13.5000,13.2977,49,50,22361
51,294.00,300.18,13.5057,13.3386,50,50,22915
