materia_id,materia_nombre,inscriptos,duracion_horas,dia,salones,capacidad_total,estado
22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",527,3.0,1,"B01;C01;307",597,OK
95,"GEOMETRIA Y ALGEBRA LINEAL 1",385,3.0,1,"B01;C01",417,OK
172,"MATEMATICA DISCRETA 1",375,3.0,1,"B01;C01",417,OK
78,"FISICA 1",354,3.0,1,"B01;C01",417,OK
23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",304,4.0,2,"B01;C01",417,OK
97,"GEOMETRIA Y ALGEBRA LINEAL 2",298,3.5,2,"B01;C01",417,OK
52,"ECONOMIA",269,4.0,2,"B01;C01",417,OK
206,"PROGRAMACION 1",182,3.0,3,"B01",223,OK
188,"METODOS NUMERICOS",165,3.0,3,"B01",223,OK
176,"MATEMATICA INICIAL",116,4.0,1,"A22",124,OK
80,"FISICA 3",102,3.0,1,"C22",102,OK
202,"PROBABILIDAD Y ESTADISTICA",94,3.0,3,"B01",223,OK
173,"MATEMATICA DISCRETA 2",89,3.0,1,"C22",102,OK
24,"CALCULO VECTORIAL",83,3.0,1,"312",94,OK
181,"MECANICA NEWTONIANA",82,4.0,1,"Hall",100,OK
159,"LOGICA",81,4.0,1,"A01",145,OK
207,"PROGRAMACION 3",78,3.0,1,"Hall",100,OK
1,"PROGRAMACION 2",77,3.0,3,"B01",223,OK
215,"REDES DE COMPUTADORAS",74,3.0,1,"303",76,OK
79,"FISICA 2",65,3.0,3,"C01",194,OK
201,"PRINCIPIOS DE QUIMICA GENERAL",60,4.0,1,"303",76,OK
208,"PROGRAMACION 4",55,3.0,1,"A01",145,OK
12,"ARQUITECTURA DE COMPUTADORAS",54,3.0,1,"A21",72,OK
142,"INT. A LA INVESTIGACION DE OPERACIONES",45,4.0,1,"312",94,OK
66,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",44,3.0,1,"501",62,OK
82,"FLUIDODINAMICA",39,4.0,1,"601",60,OK
158,"LEGISLACION Y RELACIONES INDUSTRIALES",36,2.0,1,"B21",39,OK
61,"ELECTROTECNICA I",34,2.5,1,"305",35,OK
69,"ENERGIA 1- COMBUSTION",33,3.0,4,"B01",223,OK
262,"TRANSFERENCIA DE CALOR Y MASA 1",32,4.0,4,"B01",223,OK
245,"TEORIA DE CIRCUITOS",30,3.0,1,"305",35,OK
261,"TRANSFERENCIA DE CALOR 2",30,4.0,1,"B22",32,OK
77,"FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",27,4.0,1,"B22",32,OK
81,"FISICA TERMICA",27,3.5,1,"115",40,OK
250,"TEORIA DE LENGUAJES",27,4.0,1,"305",35,OK
118,"INGENIERIA LEGAL",26,4.0,1,"31",35,OK
127,"INT. A LA CIENCIA DE MATERIALES",25,1.5,1,"C21",25,OK
228,"SEÑALES Y SISTEMAS",25,3.5,1,"C11",25,OK
285,"TOPOGRAFIA ALTIMETRICA",25,3.0,1,"C21",25,OK
263,"TRANSFERENCIA DE CALOR Y MASA 2",24,4.0,1,"102",25,OK
165,"MAQUINAS PARA FLUIDOS I",21,3.0,1,"Actos",128,OK
37,"COMPUTACION 1",20,3.0,1,"727",20,OK
278,"TOPOGRAFIA PLANIMETRICA",20,3.0,4,"B01",223,OK
107,"HIDROLOGIA E HIDRAULICA APLICADAS",19,4.0,1,"705",20,OK
41,"CONTROL DE CALIDAD",18,4.0,1,"C21",25,OK
115,"INGENIERIA DE LAS REACCIONES QUIMICAS 2",18,2.0,1,"C11",25,OK
223,"RESISTENCIA DE MATERIALES 1",18,4.0,3,"C01",194,OK
0,"ELECTRONICA FUNDAMENTAL",17,3.5,1,"727",20,OK
50,"DISEÑO LOGICO",17,4.0,1,"C21",25,OK
102,"GESTION DE MANTENIMIENTO",17,4.0,1,"727",20,OK
114,"INGENIERIA DE LAS REACCIONES QUIMICAS 1",17,4.0,1,"A11",25,OK
260,"TRANSFERENCIA DE CALOR 1",17,4.0,1,"725",20,OK
42,"COSTOS",16,4.0,1,"310",16,OK
56,"ELECTROMAGNETISMO",16,4.0,1,"310",16,OK
144,"INT. A LA MECANICA DE SUELOS",16,3.5,1,"310",16,OK
182,"MEDIDAS ELECTRICAS",16,4.0,2,"310",16,OK
234,"SISTEMAS Y CONTROL",16,4.0,2,"310",16,OK
60,"ELECTROTECNICA",15,3.0,2,"310",16,OK
94,"GEOLOGIA DE INGENIERIA",15,4.0,3,"310",16,OK
137,"INT. A LA INGENIERIA BIOQUIMICA",15,4.0,1,"703",20,OK
138,"INT. A LA INGENIERIA DE PROCESOS",15,4.0,3,"310",16,OK
178,"MECANICA APLICADA (ING.QUÍM)",15,3.0,3,"310",16,OK
233,"SISTEMAS OPERATIVOS",15,4.0,4,"310",16,OK
253,"TERMODINAMICA APL. A LA ING.DE PROCESOS",15,4.0,4,"310",16,OK
62,"ELECTROTECNICA II",14,3.0,4,"310",16,OK
139,"INT. A LA INGENIERIA DE SOFTWARE",14,3.0,5,"310",16,OK
279,"ESTRUCTURAS DE MADERA 1",14,3.5,5,"310",16,OK
