generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,303.74,8.8457,8.5136,42,50,302
2,294.00,303.78,9.1286,8.4946,45,50,596
3,294.00,304.38,9.5486,9.3363,50,50,1567
4,294.00,305.72,9.9029,9.6619,50,50,2532
5,294.00,304.20,10.1086,9.7536,50,50,3394
6,294.00,299.06,10.4600,10.1315,50,50,4247
7,294.00,299.74,10.6686,10.2895,50,50,5103
8,294.00,299.96,10.8314,10.5199,50,50,5922
9,294.00,301.76,10.9971,10.6903,50,50,6765
10,294.00,301.04,11.2314,10.8032,50,50,7646
11,294.00,301.18,11.2829,10.9157,50,50,8472
12,294.00,300.68,11.3086,11.0109,50,50,9274
13,294.00,301.48,11.5314,11.1954,50,50,10061
14,294.00,300.32,11.5771,11.2421,50,50,10849
15,294.00,300.08,11.6314,11.3147,50,50,11633
16,294.00,303.78,11.5829,11.4049,50,50,12416
17,294.00,302.00,11.6286,11.4114,50,50,13236
18,294.00,299.86,11.6571,11.3614,50,50,14030
19,294.00,299.10,11.7257,11.4828,50,50,14798
20,294.00,298.02,11.7600,11.4465,50,50,15607
21,294.00,297.82,11.7686,11.4974,50,50,16379
22,294.00,298.04,11.8171,11.5581,50,50,17159
23,294.00,297.36,11.9771,11.6790,50,50,17917
24,294.00,297.92,12.0257,11.8435,50,50,18698
25,294.00,297.28,12.0800,11.8572,50,50,19470
26,294.00,296.80,12.1400,11.9241,50,50,20252
27,294.00,296.76,12.1714,12.0224,50,50,21032
28,294.00,296.98,12.2229,12.1155,50,50,21893
29,294.00,296.36,12.2829,12.0936,50,50,22708
30,294.00,296.94,12.4486,12.1870,50,50,23512
31,294.00,297.10,12.4629,12.2523,50,50,24325
32,294.00,296.84,12.4943,12.2469,50,50,25096
33,294.00,298.22,12.5657,12.4233,50,50,25858
34,294.00,297.72,12.6514,12.4334,50,50,26630
35,294.00,296.64,12.6171,12.4199,50,50,27396
36,294.00,299.00,12.6857,12.5166,50,50,28168
37,294.00,299.00,12.6743,12.5139,50,50,28949
38,294.00,297.04,12.6657,12.4815,50,50,29723
39,294.00,298.40,12.6886,12.5415,50,50,30495
40,294.00,299.02,12.7000,12.5538,50,50,31255
41,294.00,297.22,12.7114,12.5146,50,50,32039
42,294.00,298.02,12.7229,12.5325,50,50,32800
43,294.00,299.18,12.7457,12.5734,50,50,33560
44,294.00,298.46,12.7771,12.5609,50,50,34329
45,294.00,298.00,12.7514,12.5163,50,50,35094
46,294.00,298.92,12.7886,12.6239,50,50,35875
47,294.00,297.48,12.8514,12.6350,50,50,36661
48,294.00,300.28,12.8600,12.6771,50,50,37436
49,294.00,298.86,12.8800,12.6405,50,50,38305
50,294.00,299.98,12.9029,12.7017,50,50,39253
51,294.00,298.08,12.9343,12.6461,50,50,40014
