generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,301.13,5.3114,4.6912,76,100,672
2,294.00,313.91,5.5371,4.5373,69,100,1264
3,294.00,314.10,6.0971,5.4916,98,100,2784
4,294.00,311.87,6.2086,5.6673,100,100,3769
5,294.00,310.55,6.5714,5.7735,100,100,4687
6,294.00,305.36,6.5743,5.7535,100,100,5611
7,294.00,311.56,6.6029,5.9212,100,100,6467
8,294.00,314.13,6.9571,6.0655,100,100,7261
9,294.00,321.83,7.0657,6.2959,100,100,8033
10,294.00,317.44,7.0657,6.2204,100,100,8744
11,294.00,315.05,7.0800,6.2801,100,100,9400
