generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,300.34,5.2486,4.6184,76,100,830
2,294.00,311.38,5.5771,4.6684,74,100,1288
3,294.00,310.58,6.3171,5.5841,100,100,2277
4,294.00,306.63,6.5143,5.5829,100,100,2917
5,294.00,318.64,6.5857,6.1793,100,100,3551
6,294.00,302.12,6.5857,5.5847,100,100,4147
7,294.00,307.73,6.6514,5.8598,100,100,4759
8,294.00,312.86,6.7371,6.1617,100,100,5374
9,294.00,309.58,6.7400,6.0078,100,100,5968
10,294.00,310.94,6.7400,6.2113,100,100,6556
11,294.00,305.90,6.7400,6.0058,100,100,7147
