generacion,mejor_asignaciones,promedio_asignaciones,desv_std_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,desv_std_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,desv_std_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.84,10.948599,8.8971,8.5125,294.000000,302.844156,10.948599,-8.897143,-8.512505,0.169796,77,100,1346
2,294.00,303.67,11.058919,9.0771,8.4781,294.000000,303.671053,11.058919,-9.077143,-8.478120,0.201174,76,100,2309
3,294.00,299.54,9.469117,9.0771,8.6051,294.000000,299.539326,9.469117,-9.077143,-8.605072,0.106536,89,100,2743
4,294.00,300.89,9.812719,9.0800,8.6670,294.000000,300.891566,9.812719,-9.080000,-8.666954,0.127430,83,100,3363
5,294.00,303.41,10.526060,9.1457,8.8047,294.000000,303.405063,10.526060,-9.145714,-8.804738,0.134996,79,100,3915
6,294.00,303.87,10.998586,9.4800,8.9390,294.000000,303.866667,10.998586,-9.480000,-8.939048,0.131568,75,100,4326
7,294.00,304.85,11.641819,9.4800,9.0432,294.000000,304.851351,11.641819,-9.480000,-9.043243,0.114453,74,100,4673
8,294.00,303.91,10.947270,9.4800,9.1223,294.000000,303.910448,10.947270,-9.480000,-9.122303,0.102381,67,100,4988
9,294.00,303.06,11.526972,9.4800,9.2146,294.000000,303.062500,11.526972,-9.480000,-9.214554,0.109973,64,100,5278
10,294.00,300.85,9.259531,9.5400,9.2912,294.000000,300.850746,9.259531,-9.540000,-9.291173,0.102992,67,100,5490
11,294.00,298.25,6.552508,9.5714,9.3242,294.000000,298.254237,6.552508,-9.571429,-9.324213,0.110778,59,100,5704
12,294.00,299.74,8.804955,9.5714,9.4081,294.000000,299.736842,8.804955,-9.571429,-9.408070,0.084878,57,100,5829
13,294.00,300.08,9.098870,9.5400,9.4209,294.000000,300.084746,9.098870,-9.540000,-9.420872,0.059280,59,100,5959
14,294.00,298.18,6.638290,9.6257,9.4727,294.000000,298.176471,6.638290,-9.625714,-9.472717,0.053636,51,100,6101
15,294.00,296.19,1.863859,9.8886,9.5216,294.000000,296.191489,1.863859,-9.888571,-9.521581,0.075095,47,100,6247
16,294.00,296.75,4.657741,9.9914,9.5399,294.000000,296.754717,4.657741,-9.991429,-9.539946,0.098358,53,100,6419
17,294.00,297.35,5.419982,9.9914,9.5807,294.000000,297.351852,5.419982,-9.991429,-9.580741,0.114670,54,100,6630
18,294.00,297.25,5.958937,10.0714,9.6465,294.000000,297.250000,5.958937,-10.071429,-9.646480,0.141918,56,100,6810
19,294.00,299.60,9.698360,10.2514,9.7469,294.000000,299.600000,9.698360,-10.251429,-9.746909,0.156345,55,100,6981
20,294.00,304.29,13.095154,10.2514,9.8487,294.000000,304.293103,13.095154,-10.251429,-9.848719,0.158840,58,100,7157
