materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
84,"FUNDAMENTOS DE BASES DE DATOS",8,3.0,1,12.0,"722",10,OK
90,"GEODESIA 3",8,4.0,19,8.0,"722",10,OK
112,"INGENIERIA BIOQUIMICA",8,4.0,4,8.0,"A22",124,OK
121,"INSTALACIONES ELECTRICAS",8,4.0,6,8.0,"312",94,OK
163,"MAQUINAS PARA FLUIDOS",8,4.0,5,8.0,"727",20,OK
221,"RESISTENCIA DE MATERIALES 1",8,4.0,21,8.0,"Hall",100,OK
232,"SISTEMAS Y CONTROL",8,4.0,18,8.0,"722",10,OK
258,"TRANSFERENCIA DE CALOR 1",8,4.0,4,8.0,"305",35,OK
4,"AGRIMENSURA LEGAL 1",7,4.0,23,8.0,"B01",223,OK
9,"ANTENAS Y PROPAGACION",7,4.0,21,8.0,"722",10,OK
56,"ELECTRONICA AVANZADA 1",7,3.0,23,12.0,"722",10,OK
69,"ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS",7,4.0,21,8.0,"A21",72,OK
71,"ESTRUCTURAS DE ACERO",7,2.0,1,15.5,"B01",223,OK
130,"INT. A LA ELECTROTECNIA",7,3.0,22,8.0,"722",10,OK
177,"MECANICA APLICADA (ING.QUÍM)",7,3.0,1,15.0,"722",10,OK
257,"TRANSFERENCIA DE CALOR",7,4.0,7,12.0,"722",10,OK
273,"GEODESIA GEOMETRICA",7,2.0,23,15.0,"722",10,OK
3,"ADMINISTRACION DE OPERACIONES",6,2.5,20,8.0,"307",180,OK
42,"COSTOS PARA INGENIERIA",6,4.0,1,15.5,"310",16,OK
100,"GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.",6,4.0,9,8.0,"B22",32,OK
102,"HIDRAULICA FLUVIAL Y MARITIMA",6,4.0,11,8.0,"310",16,OK
128,"INT. A LA CONSTRUCCION",6,4.0,11,8.0,"31",35,OK
137,"INT. A LA INGENIERIA DE PROCESOS",6,4.0,21,8.0,"116",6,OK
272,"CALCULO Y AJUSTE DE LAS OBSERVACIONES",6,4.0,11,8.0,"501",62,OK
45,"DISEÑO CATASTRAL",5,4.0,11,8.0,"116",6,OK
87,"GENERADORES DE VAPOR",5,4.0,12,8.0,"B21",39,OK
152,"INT. A LOS SIST. DE PROT. DE SIST. ELECT. DE POT.",5,4.0,15,8.0,"A22",124,OK
191,"MOTORES DE COMBUSTION INTERNA",5,3.0,24,8.0,"116",6,OK
196,"PATOLOGIA DE LAS ESTRUCTURAS",5,2.0,10,8.0,"B01",223,OK
44,"DISEÑO ASISTIDO POR COMPUTADOR",4,4.0,9,8.0,"501",62,OK
106,"HIDROLOGIA E HIDRAULICA APLICADAS",4,4.0,22,8.0,"C22",102,OK
142,"INT. A LA MECANICA DE LOS FLUIDOS",4,4.0,11,12.0,"311",29,OK
216,"REDES ELECTRICAS",4,3.0,22,8.0,"115",40,OK
223,"SEGURIDAD EN LA CONSTRUCCION",4,4.0,17,8.0,"703",20,OK
229,"SISTEMAS DE REFERENCIA EN GEODESIA",4,4.0,25,11.0,"307",180,OK
233,"SUBESTACIONES EN MEDIA TENSION",4,4.0,23,8.0,"307",180,OK
271,"VIBRACIONES Y ONDAS",4,4.0,21,8.0,"601",60,OK
6,"AGRIMENSURA LEGAL 3",3,4.0,7,12.0,"116",6,OK
37,"COMUNICACIONES DIGITALES",3,4.0,19,8.0,"116",6,OK
54,"ELASTICIDAD",3,4.0,4,8.0,"502",20,OK
74,"ESTRUCTURAS DE MADERA",3,4.0,6,8.0,"C12",131,OK
119,"INGLES TECNICO",3,4.0,13,8.0,"B22",32,OK
133,"INT. A LA EVALUACION Y GESTION AMBIENTAL",3,4.0,7,8.0,"116",6,OK
155,"LABORATORIO DE TECNOLOGIA DEL HORMIGON",3,4.0,3,8.0,"116",6,OK
162,"MAQUINAS ELECTRICAS",3,2.5,14,8.0,"C01",194,OK
165,"MAQUINAS PARA FLUIDOS II",3,4.0,19,8.0,"310",16,OK
214,"REDES DE DATOS 1",3,2.0,4,8.0,"102",25,OK
225,"SEÑALES ALEATORIAS Y MODULACION",3,4.0,1,8.0,"Hall",100,OK
227,"SISTEMAS DE CONDUCCION EN ING.SANITARIA",3,4.0,19,12.0,"116",6,OK
235,"TALLER DE DATOS ESPAC.Y SIST.DE INF.GEO.",3,4.0,8,8.0,"116",6,OK
240,"TECNOLOGIA Y SERV. INDUSTRIALES 1",3,4.0,21,8.0,"Piso",70,OK
255,"TOPOGRAFIA 3",3,4.0,16,8.0,"A12",119,OK
270,"TRATAMIENTO DE EFLUENTES Y RESIDUOS SOLIDOS",3,4.0,5,8.0,"102",25,OK
12,"ASPECTOS BASICOS DE REDES DE COMPUT",2,3.0,24,14.0,"116",6,OK
40,"CONTROL DE CALIDAD",2,4.0,24,12.0,"310",16,OK
61,"ELECTROTECNICA II",2,3.0,24,8.0,"A22",124,OK
139,"INT. A LA INGENIERIA NAVAL",2,4.0,25,8.0,"116",6,OK
148,"INT. A LA TERMODINAMICA",2,3.0,8,8.0,"B12",141,OK
169,"MATEMATICA 2",2,3.0,24,11.0,"116",6,OK
185,"MET. COMPUT.APLIC.AL CALCULO ESTRUCTURAL",2,4.0,24,8.0,"Actos",128,OK
192,"OBRAS HIDRAULICAS",2,4.0,10,8.0,"116",6,OK
197,"PLANEAMIENTO ESTRATEGICO Y ESTRATEGIA COMPETITIVA",2,4.0,25,8.0,"703",20,OK
198,"POTABILIZACION DE AGUAS",2,4.0,17,8.0,"31",35,OK
202,"PROCEDIMIENTOS CONST. OBRAS VIALES Y SUELO",2,1.5,24,8.0,"502",20,OK
211,"PUENTES",2,4.0,23,8.0,"703;705",40,OK
212,"REDES DE ACCESO",2,4.0,16,8.0,"309",16,OK
215,"REDES DE DATOS 2",2,4.0,9,8.0,"A21",72,OK
269,"TRATAMIENTO DE EFLUENTES",2,4.0,11,8.0,"Actos",128,OK
2,"ADMINISTRACION DE INFRAESTRUCTURAS",1,4.0,21,12.0,"722",10,OK
5,"AGRIMENSURA LEGAL 2",1,4.0,25,8.0,"310",16,OK
7,"AGRIMENSURA LEGAL 4",1,4.0,10,16.0,"116",6,OK
8,"ALISTAMIENTO NAVAL",1,4.0,1,8.0,"116",6,OK
10,"APLICACIONES DEL ALGEBRA LINEAL",1,3.0,24,17.0,"116",6,OK
11,"ARQUITECTURA DE COMPUTADORAS",1,3.0,15,8.0,"B01",223,OK
13,"ASTRONOMIA GEODESICA",1,4.0,20,8.0,"C11",25,OK
14,"AUTOMATAS PROGRAMABLES",1,4.0,5,8.0,"116",6,OK
15,"AVALUACIONES 1",1,4.0,19,16.0,"116",6,OK
16,"AVALUACIONES 2",1,4.0,22,8.0,"116",6,OK
18,"BASES DE DATOS I",1,4.0,16,8.0,"C21",25,OK
19,"BASES DE DATOS II",1,4.0,16,8.0,"A21",72,OK
20,"BASES DE DATOS PARA INGENIERIA",1,3.0,8,8.0,"C01",194,OK
24,"CALIDAD DE AGUAS",1,4.0,16,8.0,"116",6,OK
26,"CAPTURA DE DATOS POR PERCEPCION REMOTA",1,4.0,4,8.0,"703",20,OK
27,"CARTOGRAFIA MATEMATICA",1,4.0,1,8.0,"725",20,OK
28,"CARTOGRAFÍA TEMÁTICA",1,4.0,13,8.0,"116",6,OK
29,"CARTOGRAFÍA TEMÁTICA (ÁREA)",1,4.0,14,12.0,"116",6,OK
30,"CATASTRO",1,4.0,17,8.0,"116",6,OK
31,"COMERCIALIZACION",1,4.0,2,8.0,"725",20,OK
32,"COMPL.ARQUITECTURA DE COMPUTADORAS",1,4.0,8,8.0,"B01",223,OK
34,"COMPORTAMIENTO MECANICO DE MATERIALES 2",1,3.5,19,8.0,"301",76,OK
38,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",1,3.0,15,8.0,"C01",194,OK
39,"CONTABILIDAD (ACT.COMPL.4)",1,4.0,20,12.0,"116",6,OK
43,"DINAMICA DE MAQUINAS Y VIBRACION",1,4.0,12,8.0,"116",6,OK
46,"DISEÑO DE PROCESOS QUIMICOS",1,4.0,11,12.0,"310",16,OK
47,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",1,4.0,13,8.0,"301",76,OK
50,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",1,4.0,18,8.0,"116",6,OK
52,"ECONOMÍA (AREA)",1,4.0,21,8.0,"C11",25,OK
53,"EJERCICIOS DE INGENIERIA SANITARIA",1,4.0,20,16.0,"116",6,OK
57,"ELECTRONICA AVANZADA 2",1,3.0,24,11.5,"727",20,OK
62,"ELEMENTOS DE GESTION LOGISTICA",1,4.0,21,8.0,"C12",131,OK
63,"ELEMENTOS DE INGENIERIA AMBIENTAL",1,4.0,1,8.0,"305",35,OK
64,"ELEMENTOS DE MAQUINAS",1,4.0,14,8.0,"116",6,OK
66,"ELEMENTOS DE NAVEGACION",1,4.0,17,12.0,"116",6,OK
67,"ELEMENTOS DE TOPOGRAFIA",1,4.0,2,8.0,"116",6,OK
70,"ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION",1,4.0,6,8.0,"116",6,OK
72,"ESTRUCTURAS DE BUQUES",1,4.0,23,12.0,"116",6,OK
73,"ESTRUCTURAS DE DATOS Y ALGORITMOS",1,4.0,9,8.0,"301",76,OK
75,"ESTUDIO DEL TRABAJO",1,4.0,12,16.0,"116",6,OK
82,"FOTOGRAMETRIA",1,4.0,11,16.0,"116",6,OK
85,"FUNDAMENTOS DE ROBOTICA INDUSTRIAL",1,4.0,24,8.0,"C01",194,OK
86,"FUND. DE LA PROD. DE CELULOSA Y PAPEL",1,3.0,20,8.0,"B01",223,OK
88,"GEODESIA 1",1,4.0,1,12.0,"311",29,OK
89,"GEODESIA 2",1,4.0,22,11.0,"705;725",40,OK
91,"GEOESTADISTICA APLICADA",1,4.0,5,16.0,"116",6,OK
92,"GEOFISICA",1,4.0,10,12.0,"116",6,OK
