dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
2,6,10.5,45,45,V,V,253,45,V,165,V,V,V,218,V,V,245,V,V,V,V,V,192,242,V,120,V,V,V,V,V,V,V,229,V,V,131,41,0,161,117
2,7,11.0,45,45,V,V,253,45,V,165,V,V,V,218,V,V,245,V,V,V,V,V,V,242,V,V,V,V,V,V,V,V,V,229,V,V,131,41,0,161,117
2,8,11.5,45,45,V,V,253,45,V,165,V,V,V,218,V,V,245,V,V,V,V,V,V,242,V,V,V,V,V,V,V,V,V,229,V,V,131,41,V,161,117
2,9,12.0,87,87,87,V,V,V,V,V,V,V,V,V,V,V,258,V,V,V,V,V,V,180,V,V,V,V,V,V,V,V,V,V,V,V,233,65,V,91,96
2,10,12.5,87,87,87,V,V,V,V,V,V,V,V,V,V,V,258,V,V,V,V,V,V,180,V,V,V,V,V,V,V,V,V,V,V,V,233,65,V,91,96
2,11,13.0,87,87,87,V,V,V,V,V,V,V,V,V,V,V,258,V,V,V,V,V,V,180,V,V,V,V,V,V,V,V,V,V,V,V,233,65,V,91,96
2,12,13.5,87,87,87,V,V,V,V,V,V,V,V,V,V,V,258,V,V,V,V,V,V,180,V,V,V,V,V,V,V,V,V,V,V,V,233,65,V,91,96
2,13,14.0,87,87,87,V,V,V,V,V,V,V,V,V,V,V,258,V,V,V,V,V,V,180,V,V,V,V,V,V,V,V,V,V,V,V,233,V,V,91,96
2,14,14.5,87,87,87,V,V,V,V,V,V,V,V,V,V,V,258,V,V,V,V,V,V,180,V,V,V,V,V,V,V,V,V,V,V,V,233,V,V,91,96
2,15,15.0,71,71,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,180,V,V,V,V,V,V,V,V,V,V,V,V,233,V,V,91,96
2,16,15.5,71,71,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,180,V,V,V,V,V,V,V,V,V,V,V,V,233,V,V,91,96
2,17,16.0,71,71,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,72,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,85
