generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
55,294.00,306.10,11.7029,11.3100,294.000000,306.100000,-11.702857,-11.310000,100,100,12699
56,294.00,305.80,11.7371,11.3402,294.000000,305.800000,-11.737143,-11.340200,100,100,12821
57,294.00,305.61,11.7371,11.3559,294.000000,305.610000,-11.737143,-11.355943,100,100,13021
58,294.00,305.36,11.8029,11.3817,294.000000,305.360000,-11.802857,-11.381714,100,100,13252
59,294.00,306.13,11.8429,11.4644,294.000000,306.130000,-11.842857,-11.464371,100,100,13389
60,294.00,305.52,11.8543,11.4759,294.000000,305.520000,-11.854286,-11.475943,100,100,13590
61,294.00,304.58,11.8686,11.4895,294.000000,304.580000,-11.868571,-11.489457,100,100,13729
62,294.00,302.69,11.9629,11.4795,294.000000,302.690000,-11.962857,-11.479457,100,100,13887
63,294.00,304.16,12.0029,11.5697,294.000000,304.160000,-12.002857,-11.569657,100,100,14172
64,294.00,302.36,12.1314,11.5667,294.000000,302.360000,-12.131429,-11.566714,100,100,14333
65,294.00,301.25,12.1314,11.5768,294.000000,301.250000,-12.131429,-11.576829,100,100,14455
66,294.00,300.65,12.1914,11.5958,294.000000,300.650000,-12.191429,-11.595829,100,100,14591
67,294.00,300.93,12.2229,11.6706,294.000000,300.930000,-12.222857,-11.670629,100,100,14746
68,294.00,302.87,12.2371,11.7760,294.000000,302.870000,-12.237143,-11.776000,100,100,14886
69,294.00,304.56,12.3171,11.8863,294.000000,304.560000,-12.317143,-11.886286,100,100,15036
70,294.00,303.78,12.3171,11.8718,294.000000,303.780000,-12.317143,-11.871800,100,100,15162
71,294.00,305.68,12.3371,11.9577,294.000000,305.680000,-12.337143,-11.957686,100,100,15284
72,294.00,304.98,12.3371,11.9611,294.000000,304.980000,-12.337143,-11.961086,100,100,15404
73,294.00,305.86,12.3371,12.0059,294.000000,305.860000,-12.337143,-12.005914,100,100,15520
74,294.00,305.19,12.3600,11.9972,294.000000,305.190000,-12.360000,-11.997171,100,100,15637
75,294.00,303.79,12.3800,11.9524,294.000000,303.790000,-12.380000,-11.952400,100,100,15758
76,294.00,304.41,12.3800,11.9801,294.000000,304.410000,-12.380000,-11.980057,100,100,15878
77,294.00,304.26,12.3800,11.9829,294.000000,304.260000,-12.380000,-11.982914,100,100,16001
78,294.00,303.95,12.3943,11.9837,294.000000,303.950000,-12.394286,-11.983714,100,100,16120
79,294.00,304.46,12.4171,12.0202,294.000000,304.460000,-12.417143,-12.020229,100,100,16242
80,294.00,303.10,12.4486,11.9949,294.000000,303.100000,-12.448571,-11.994857,100,100,16358
81,294.00,303.45,12.4629,12.0129,294.000000,303.450000,-12.462857,-12.012857,100,100,16477
82,294.00,304.15,12.4629,12.0468,294.000000,304.150000,-12.462857,-12.046771,100,100,16600
83,294.00,304.01,12.4629,12.0506,294.000000,304.010000,-12.462857,-12.050629,100,100,16728
84,294.00,303.96,12.4629,12.0589,294.000000,303.960000,-12.462857,-12.058943,100,100,16854
85,294.00,303.52,12.4629,12.0561,294.000000,303.520000,-12.462857,-12.056086,100,100,16977
86,294.00,304.43,12.4829,12.0937,294.000000,304.430000,-12.482857,-12.093686,100,100,17103
87,294.00,303.74,12.5029,12.0757,294.000000,303.740000,-12.502857,-12.075657,100,100,17229
88,294.00,303.48,12.5200,12.0866,294.000000,303.480000,-12.520000,-12.086600,100,100,17373
89,294.00,303.71,12.5371,12.1229,294.000000,303.710000,-12.537143,-12.122886,100,100,17569
90,294.00,303.59,12.5743,12.1409,294.000000,303.590000,-12.574286,-12.140943,100,100,17762
91,294.00,303.42,12.5743,12.1627,294.000000,303.420000,-12.574286,-12.162714,100,100,17891
92,294.00,303.61,12.5743,12.1898,294.000000,303.610000,-12.574286,-12.189800,100,100,18020
93,294.00,304.13,12.6086,12.2069,294.000000,304.130000,-12.608571,-12.206914,100,100,18141
94,294.00,303.25,12.6086,12.1805,294.000000,303.250000,-12.608571,-12.180486,100,100,18267
95,294.00,304.30,12.6086,12.2454,294.000000,304.300000,-12.608571,-12.245371,100,100,18392
96,294.00,304.18,12.6543,12.2507,294.000000,304.180000,-12.654286,-12.250657,100,100,18512
97,294.00,304.40,12.6543,12.2588,294.000000,304.400000,-12.654286,-12.258771,100,100,18631
98,294.00,304.03,12.6543,12.2553,294.000000,304.030000,-12.654286,-12.255286,100,100,18759
99,294.00,304.66,12.6543,12.2740,294.000000,304.660000,-12.654286,-12.274029,100,100,18882
100,294.00,304.29,12.6543,12.2814,294.000000,304.290000,-12.654286,-12.281429,100,100,19000
101,294.00,303.23,12.6543,12.2530,294.000000,303.230000,-12.654286,-12.253000,100,100,19131
102,294.00,303.60,12.6543,12.2803,294.000000,303.600000,-12.654286,-12.280314,100,100,19269
103,294.00,304.64,12.6486,12.3319,294.000000,304.640000,-12.648571,-12.331857,100,100,19428
104,294.00,304.79,12.6800,12.3339,294.000000,304.790000,-12.680000,-12.333943,100,100,19562
105,294.00,305.42,12.6800,12.3547,294.000000,305.420000,-12.680000,-12.354714,100,100,19686
106,294.00,305.14,12.6600,12.3636,294.000000,305.140000,-12.660000,-12.363600,100,100,19814
107,294.00,303.85,12.6771,12.3215,294.000000,303.850000,-12.677143,-12.321457,100,100,19950
108,294.00,304.16,12.6771,12.3299,294.000000,304.160000,-12.677143,-12.329857,100,100,20076
109,294.00,304.90,12.7086,12.3554,294.000000,304.900000,-12.708571,-12.355371,100,100,20203
110,294.00,305.41,12.7086,12.3666,294.000000,305.410000,-12.708571,-12.366571,100,100,20335
111,294.00,306.82,12.7171,12.4166,294.000000,306.820000,-12.717143,-12.416629,100,100,20480
112,294.00,307.21,12.7086,12.4335,294.000000,307.210000,-12.708571,-12.433457,100,100,20609
113,294.00,306.39,12.7086,12.4201,294.000000,306.390000,-12.708571,-12.420057,100,100,20733
114,294.00,306.70,12.7086,12.4257,294.000000,306.700000,-12.708571,-12.425686,100,100,20859
115,294.00,304.34,12.6886,12.3821,294.000000,304.340000,-12.688571,-12.382057,100,100,20992
116,294.00,305.31,12.7829,12.4079,294.000000,305.310000,-12.782857,-12.407914,100,100,21131
117,294.00,304.47,12.7829,12.3941,294.000000,304.470000,-12.782857,-12.394057,100,100,21270
118,294.00,304.36,12.7829,12.4158,294.000000,304.360000,-12.782857,-12.415800,100,100,21399
119,294.00,305.75,12.8086,12.4733,294.000000,305.750000,-12.808571,-12.473343,100,100,21529
120,294.00,305.16,12.7686,12.4781,294.000000,305.160000,-12.768571,-12.478057,100,100,21662
121,294.00,305.57,12.7943,12.4807,294.000000,305.570000,-12.794286,-12.480714,100,100,21793
122,294.00,305.03,12.7943,12.4756,294.000000,305.030000,-12.794286,-12.475629,100,100,21924
123,294.00,304.38,12.8086,12.4724,294.000000,304.380000,-12.808571,-12.472400,100,100,22056
124,294.00,304.07,12.8086,12.4645,294.000000,304.070000,-12.808571,-12.464514,100,100,22191
125,294.00,304.12,12.8143,12.4756,294.000000,304.120000,-12.814286,-12.475571,100,100,22330
126,294.00,304.50,12.8143,12.4831,294.000000,304.500000,-12.814286,-12.483086,100,100,22461
127,294.00,304.18,12.8143,12.4803,294.000000,304.180000,-12.814286,-12.480286,100,100,22600
128,294.00,304.66,12.8143,12.5196,294.000000,304.660000,-12.814286,-12.519571,100,100,22745
129,294.00,305.50,12.8143,12.5462,294.000000,305.500000,-12.814286,-12.546229,100,100,22876
130,294.00,305.03,12.8314,12.5264,294.000000,305.030000,-12.831429,-12.526371,100,100,23013
131,294.00,305.40,12.8314,12.5395,294.000000,305.400000,-12.831429,-12.539457,100,100,23147
132,294.00,304.64,12.8314,12.5224,294.000000,304.640000,-12.831429,-12.522429,100,100,23300
133,294.00,304.52,12.8171,12.5153,294.000000,304.520000,-12.817143,-12.515286,100,100,23429
134,294.00,304.57,12.8314,12.5269,294.000000,304.570000,-12.831429,-12.526943,100,100,23573
135,294.00,304.79,12.8314,12.5293,294.000000,304.790000,-12.831429,-12.529343,100,100,23725
136,294.00,305.21,12.8457,12.5347,294.000000,305.210000,-12.845714,-12.534714,100,100,23876
137,294.00,305.22,12.8657,12.5426,294.000000,305.220000,-12.865714,-12.542571,100,100,24020
138,294.00,304.66,12.8657,12.5117,294.000000,304.660000,-12.865714,-12.511714,100,100,24168
139,294.00,304.78,12.8486,12.5287,294.000000,304.780000,-12.848571,-12.528686,100,100,24305
140,294.00,305.11,12.8543,12.5537,294.000000,305.110000,-12.854286,-12.553657,100,100,24440
141,294.00,307.05,12.8743,12.6075,294.000000,307.050000,-12.874286,-12.607457,100,100,24573
142,294.00,306.90,12.8971,12.5964,294.000000,306.900000,-12.897143,-12.596400,100,100,24718
143,294.00,306.20,12.8971,12.5781,294.000000,306.200000,-12.897143,-12.578057,100,100,24856
144,294.00,306.19,12.9343,12.5944,294.000000,306.190000,-12.934286,-12.594371,100,100,25018
145,294.00,306.74,12.9343,12.6222,294.000000,306.740000,-12.934286,-12.622229,100,100,25184
146,294.00,306.55,12.9600,12.6289,294.000000,306.550000,-12.960000,-12.628943,100,100,25405
147,294.00,307.07,12.9714,12.6356,294.000000,307.070000,-12.971429,-12.635629,100,100,25594
148,294.00,306.21,12.9800,12.6286,294.000000,306.210000,-12.980000,-12.628629,100,100,25783
149,294.00,307.28,12.9800,12.6529,294.000000,307.280000,-12.980000,-12.652886,100,100,25965
150,294.00,307.10,12.9486,12.6329,294.000000,307.100000,-12.948571,-12.632943,100,100,26229
151,294.00,307.61,12.9829,12.6543,294.000000,307.610000,-12.982857,-12.654314,100,100,26482
152,294.00,308.45,12.9714,12.6783,294.000000,308.450000,-12.971429,-12.678286,100,100,26631
153,294.00,307.45,12.9714,12.6763,294.000000,307.450000,-12.971429,-12.676343,100,100,26779
154,294.00,307.18,12.9771,12.6645,294.000000,307.180000,-12.977143,-12.664457,100,100,26938
155,294.00,305.89,12.9771,12.6603,294.000000,305.890000,-12.977143,-12.660257,100,100,27095
156,294.00,305.14,12.9771,12.6421,294.000000,305.140000,-12.977143,-12.642114,100,100,27244
157,294.00,306.10,12.9771,12.6680,294.000000,306.100000,-12.977143,-12.668029,100,100,27419
158,294.00,306.12,13.0143,12.6919,294.000000,306.120000,-13.014286,-12.691914,100,100,27568
159,294.00,306.09,13.0143,12.7009,294.000000,306.090000,-13.014286,-12.700857,100,100,27709
160,294.00,305.17,13.0143,12.6635,294.000000,305.170000,-13.014286,-12.663486,100,100,27853
161,294.00,305.37,13.0143,12.6683,294.000000,305.370000,-13.014286,-12.668343,100,100,27997
162,294.00,306.93,12.9971,12.7148,294.000000,306.930000,-12.997143,-12.714800,100,100,28135
163,294.00,307.10,13.0114,12.7327,294.000000,307.100000,-13.011429,-12.732657,100,100,28285
164,294.00,309.07,13.0114,12.7637,294.000000,309.070000,-13.011429,-12.763714,100,100,28420
165,294.00,308.95,13.0114,12.7714,294.000000,308.950000,-13.011429,-12.771371,100,100,28574
166,294.00,308.58,13.0114,12.7625,294.000000,308.580000,-13.011429,-12.762486,100,100,28758
167,294.00,308.62,13.0114,12.7689,294.000000,308.620000,-13.011429,-12.768886,100,100,28930
168,294.00,307.26,13.0600,12.7618,294.000000,307.260000,-13.060000,-12.761771,100,100,29081
169,294.00,306.94,13.0600,12.7905,294.000000,306.940000,-13.060000,-12.790543,100,100,29219
170,294.00,305.94,13.0600,12.7854,294.000000,305.940000,-13.060000,-12.785400,100,100,29354
171,294.00,305.50,13.0600,12.7695,294.000000,305.500000,-13.060000,-12.769457,100,100,29495
172,294.00,305.54,13.0600,12.7607,294.000000,305.540000,-13.060000,-12.760657,100,100,29630
173,294.00,305.69,13.0486,12.7743,294.000000,305.690000,-13.048571,-12.774286,100,100,29761
174,294.00,306.41,13.0486,12.7855,294.000000,306.410000,-13.048571,-12.785543,100,100,29896
175,294.00,305.77,13.0486,12.7838,294.000000,305.770000,-13.048571,-12.783800,100,100,30036
176,294.00,306.83,13.0486,12.7958,294.000000,306.830000,-13.048571,-12.795771,100,100,30171
177,294.00,306.42,13.0514,12.8137,294.000000,306.420000,-13.051429,-12.813657,100,100,30316
178,294.00,306.62,13.0514,12.8229,294.000000,306.620000,-13.051429,-12.822857,100,100,30455
179,294.00,304.26,13.0514,12.7993,294.000000,304.260000,-13.051429,-12.799286,100,100,30593
180,294.00,302.73,13.1057,12.7697,294.000000,302.730000,-13.105714,-12.769657,100,100,30720
181,294.00,302.17,13.1057,12.7664,294.000000,302.170000,-13.105714,-12.766400,100,100,30855
182,294.00,303.40,13.1057,12.8106,294.000000,303.400000,-13.105714,-12.810571,100,100,30992
183,294.00,303.18,13.1114,12.8324,294.000000,303.180000,-13.111429,-12.832400,100,100,31129
184,294.00,301.96,13.1114,12.8582,294.000000,301.960000,-13.111429,-12.858200,100,100,31257
185,294.00,300.21,13.1371,12.8119,294.000000,300.210000,-13.137143,-12.811943,100,100,31378
186,294.00,299.21,13.1371,12.8114,294.000000,299.210000,-13.137143,-12.811400,100,100,31505
187,294.00,298.85,13.1371,12.8154,294.000000,298.850000,-13.137143,-12.815429,100,100,31627
188,294.00,299.00,13.1371,12.8261,294.000000,299.000000,-13.137143,-12.826114,100,100,31750
189,294.00,299.05,13.1371,12.8401,294.000000,299.050000,-13.137143,-12.840114,100,100,31877
190,294.00,298.89,13.1371,12.8458,294.000000,298.890000,-13.137143,-12.845800,100,100,32003
191,294.00,299.02,13.1514,12.8642,294.000000,299.020000,-13.151429,-12.864229,100,100,32129
192,294.00,299.03,13.1514,12.8791,294.000000,299.030000,-13.151429,-12.879114,100,100,32252
