generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.16,9.0686,8.5352,294.000000,302.158537,-9.068571,-8.535226,82,100,569
2,294.00,301.47,8.9057,8.4658,294.000000,301.468354,-8.905714,-8.465787,79,100,978
3,294.00,299.69,9.0686,8.6121,294.000000,299.687500,-9.068571,-8.612113,96,100,1189
4,294.00,303.05,9.0686,8.6760,294.000000,303.053763,-9.068571,-8.676006,93,100,1636
5,294.00,305.38,9.0943,8.7949,294.000000,305.383721,-9.094286,-8.794884,86,100,2005
6,294.00,307.79,9.1800,8.9268,294.000000,307.794521,-9.180000,-8.926771,73,100,2355
7,294.00,303.94,9.2600,8.9499,294.000000,303.942029,-9.260000,-8.949896,69,100,2700
8,294.00,303.44,9.2600,9.0061,294.000000,303.437500,-9.260000,-9.006116,64,100,3056
9,294.00,300.75,9.2600,9.0381,294.000000,300.753846,-9.260000,-9.038110,65,100,3387
10,294.00,302.32,9.2971,9.1186,294.000000,302.320000,-9.297143,-9.118571,50,100,3820
11,294.00,296.88,9.4743,9.1837,294.000000,296.883721,-9.474286,-9.183654,43,100,4135
12,294.00,296.02,9.4743,9.2119,294.000000,296.021739,-9.474286,-9.211863,46,100,4464
13,294.00,296.33,9.4743,9.2242,294.000000,296.326531,-9.474286,-9.224198,49,100,4784
14,294.00,296.21,9.6171,9.2683,294.000000,296.210526,-9.617143,-9.268321,57,100,5079
15,294.00,295.78,9.7486,9.3429,294.000000,295.780000,-9.748571,-9.342857,50,100,5385
16,294.00,295.96,9.7486,9.3915,294.000000,295.955882,-9.748571,-9.391471,68,100,5669
17,294.00,296.46,9.8286,9.4508,294.000000,296.458333,-9.828571,-9.450754,72,100,5958
18,294.00,296.71,9.8286,9.5168,294.000000,296.708861,-9.828571,-9.516781,79,100,6237
19,294.00,297.37,9.9571,9.5911,294.000000,297.371795,-9.957143,-9.591062,78,100,6512
20,294.00,297.93,10.0286,9.6344,294.000000,297.928571,-10.028571,-9.634354,84,100,6786
21,294.00,300.37,10.0229,9.7151,294.000000,300.372093,-10.022857,-9.715150,86,100,7049
22,294.00,301.48,10.1000,9.7772,294.000000,301.482759,-10.100000,-9.777176,87,100,7316
23,294.00,301.35,10.1114,9.7898,294.000000,301.351648,-10.111429,-9.789765,91,100,7580
24,294.00,300.23,10.1114,9.7986,294.000000,300.228261,-10.111429,-9.798634,92,100,7852
25,294.00,299.61,10.1429,9.8168,294.000000,299.608247,-10.142857,-9.816848,97,100,8124
26,294.00,298.58,10.2371,9.8417,294.000000,298.581633,-10.237143,-9.841662,98,100,8411
27,294.00,299.53,10.2371,9.9126,294.000000,299.530612,-10.237143,-9.912566,98,100,8710
28,294.00,299.49,10.3429,9.9449,294.000000,299.490000,-10.342857,-9.944943,100,100,9212
29,294.00,299.25,10.3829,9.9928,294.000000,299.250000,-10.382857,-9.992771,100,100,9703
30,294.00,298.50,10.3829,9.9983,294.000000,298.500000,-10.382857,-9.998314,100,100,10041
31,294.00,298.02,10.3829,10.0102,294.000000,298.020202,-10.382857,-10.010245,99,100,10309
32,294.00,298.37,10.4229,10.0427,294.000000,298.370000,-10.422857,-10.042743,100,100,10606
33,294.00,298.78,10.4229,10.1121,294.000000,298.780000,-10.422857,-10.112114,100,100,10897
34,294.00,298.15,10.4800,10.1295,294.000000,298.150000,-10.480000,-10.129543,100,100,11189
