generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.88,9.2657,8.5549,294.000000,302.883117,-9.265714,-8.554879,77,100,826
2,294.00,302.52,8.7914,8.4704,294.000000,302.519481,-8.791429,-8.470390,77,100,1432
3,294.00,299.24,9.2657,8.6062,294.000000,299.244444,-9.265714,-8.606222,90,100,1647
4,294.00,302.40,9.2657,8.6709,294.000000,302.395062,-9.265714,-8.670935,81,100,2324
5,294.00,304.87,9.2657,8.7677,294.000000,304.868852,-9.265714,-8.767728,61,100,2670
6,294.00,303.02,9.2657,8.8593,294.000000,303.018519,-9.265714,-8.859312,54,100,2894
7,294.00,303.71,9.7629,8.9460,294.000000,303.706897,-9.762857,-8.945961,58,100,3151
8,294.00,304.02,9.7629,9.0257,294.000000,304.019608,-9.762857,-9.025658,51,100,3400
9,294.00,304.34,9.7629,9.0649,294.000000,304.338983,-9.762857,-9.064939,59,100,3721
10,294.00,302.22,9.7943,9.1535,294.000000,302.222222,-9.794286,-9.153460,45,100,3960
11,294.00,301.80,9.7800,9.2310,294.000000,301.803571,-9.780000,-9.231020,56,100,4195
12,294.00,302.54,9.8714,9.2967,294.000000,302.538462,-9.871429,-9.296747,65,100,4459
13,294.00,302.26,9.8857,9.3778,294.000000,302.259740,-9.885714,-9.377774,77,100,4763
14,294.00,302.46,9.8857,9.4331,294.000000,302.458333,-9.885714,-9.433135,72,100,5050
15,294.00,301.03,9.9514,9.4886,294.000000,301.026316,-9.951429,-9.488647,76,100,5341
16,294.00,301.16,9.9229,9.5923,294.000000,301.164384,-9.922857,-9.592290,73,100,5712
17,294.00,300.83,9.9514,9.6456,294.000000,300.831325,-9.951429,-9.645577,83,100,6074
18,294.00,299.01,10.0114,9.6984,294.000000,299.013699,-10.011429,-9.698434,73,100,6395
19,294.00,299.42,10.1543,9.7609,294.000000,299.417910,-10.154286,-9.760896,67,100,6796
20,294.00,298.89,10.1543,9.8129,294.000000,298.887097,-10.154286,-9.812949,62,100,7563
21,294.00,299.03,10.1543,9.8681,294.000000,299.034483,-10.154286,-9.868128,58,100,8631
22,294.00,299.86,10.1486,9.8911,294.000000,299.862745,-10.148571,-9.891148,51,100,9346
23,294.00,301.00,10.1771,9.9078,294.000000,301.000000,-10.177143,-9.907833,58,100,10048
24,294.00,298.33,10.2029,9.9362,294.000000,298.333333,-10.202857,-9.936190,39,100,10608
25,294.00,298.60,10.2029,9.9550,294.000000,298.595745,-10.202857,-9.955015,47,100,10914
26,294.00,298.90,10.2971,9.9719,294.000000,298.901961,-10.297143,-9.971933,51,100,11200
27,294.00,298.58,10.2971,9.9848,294.000000,298.578947,-10.297143,-9.984812,57,100,11454
28,294.00,298.04,10.2029,10.0045,294.000000,298.037037,-10.202857,-10.004497,54,100,11726
29,294.00,297.73,10.2029,10.0676,294.000000,297.725490,-10.202857,-10.067619,51,100,11977
30,294.00,297.38,10.2400,10.0736,294.000000,297.377358,-10.240000,-10.073585,53,100,12262
31,294.00,297.25,10.3857,10.1060,294.000000,297.250000,-10.385714,-10.106044,52,100,12518
32,294.00,297.16,10.3857,10.1183,294.000000,297.156863,-10.385714,-10.118319,51,100,12759
33,294.00,298.16,10.4829,10.1631,294.000000,298.156863,-10.482857,-10.163137,51,100,13007
34,294.00,300.04,10.5886,10.2330,294.000000,300.040000,-10.588571,-10.233029,50,100,13249
35,294.00,301.49,10.8000,10.2738,294.000000,301.491525,-10.800000,-10.273753,59,100,13478
36,294.00,302.53,10.8486,10.3331,294.000000,302.530303,-10.848571,-10.333117,66,100,13706
37,294.00,302.60,10.8486,10.3663,294.000000,302.600000,-10.848571,-10.366286,65,100,13930
38,294.00,302.38,10.8543,10.3997,294.000000,302.376812,-10.854286,-10.399669,69,100,14177
39,294.00,304.62,10.8543,10.5114,294.000000,304.616438,-10.854286,-10.511389,73,100,14417
40,294.00,304.03,10.8543,10.5322,294.000000,304.027778,-10.854286,-10.532183,72,100,14667
41,294.00,304.12,10.8971,10.5498,294.000000,304.123288,-10.897143,-10.549785,73,100,14925
42,294.00,303.87,11.0800,10.5575,294.000000,303.865672,-11.080000,-10.557484,67,100,15193
43,294.00,304.95,11.0686,10.6058,294.000000,304.945205,-11.068571,-10.605793,73,100,15438
44,294.00,304.21,11.0686,10.5939,294.000000,304.210526,-11.068571,-10.593947,76,100,15677
45,294.00,304.14,11.0686,10.6028,294.000000,304.138462,-11.068571,-10.602769,65,100,15902
46,294.00,302.10,11.0686,10.5718,294.000000,302.101449,-11.068571,-10.571801,69,100,16126
47,294.00,304.81,11.0143,10.6609,294.000000,304.809524,-11.014286,-10.660907,63,100,16350
48,294.00,304.18,11.0486,10.6869,294.000000,304.177419,-11.048571,-10.686866,62,100,16574
49,294.00,303.65,11.1543,10.7032,294.000000,303.650000,-11.154286,-10.703238,60,100,16787
50,294.00,303.45,11.1543,10.7446,294.000000,303.450000,-11.154286,-10.744619,60,100,17036
51,294.00,301.24,11.2143,10.7162,294.000000,301.242424,-11.214286,-10.716190,66,100,17306
52,294.00,300.38,11.2143,10.7409,294.000000,300.382353,-11.214286,-10.740924,68,100,17554
53,294.00,301.05,11.2143,10.8020,294.000000,301.048387,-11.214286,-10.802028,62,100,17780
54,294.00,301.51,11.2571,10.8322,294.000000,301.507246,-11.257143,-10.832215,69,100,18009
55,294.00,301.34,11.2886,10.8661,294.000000,301.338462,-11.288571,-10.866066,65,100,18220
56,294.00,300.34,11.2886,10.8668,294.000000,300.338235,-11.288571,-10.866765,68,100,18441
57,294.00,300.50,11.2886,10.8969,294.000000,300.500000,-11.288571,-10.896912,62,100,18654
58,294.00,300.32,11.3543,10.9112,294.000000,300.319444,-11.354286,-10.911151,72,100,18868
59,294.00,299.36,11.3543,10.9311,294.000000,299.360000,-11.354286,-10.931086,75,100,19086
60,294.00,298.79,11.3686,10.9279,294.000000,298.790123,-11.368571,-10.927866,81,100,19296
61,294.00,297.99,11.4200,10.9061,294.000000,297.987654,-11.420000,-10.906102,81,100,19498
62,294.00,297.96,11.4200,10.9536,294.000000,297.964286,-11.420000,-10.953639,84,100,19708
63,294.00,297.73,11.4829,10.9940,294.000000,297.729167,-11.482857,-10.994048,96,100,19908
64,294.00,297.92,11.4829,11.0558,294.000000,297.919192,-11.482857,-11.055786,99,100,20125
65,294.00,297.66,11.5086,11.0762,294.000000,297.660000,-11.508571,-11.076171,100,100,20338
66,294.00,298.34,11.5857,11.2129,294.000000,298.340000,-11.585714,-11.212914,100,100,20560
67,294.00,298.35,11.6829,11.2203,294.000000,298.350000,-11.682857,-11.220314,100,100,20775
68,294.00,297.74,11.6829,11.2509,294.000000,297.740000,-11.682857,-11.250886,100,100,21001
69,294.00,298.55,11.6514,11.3089,294.000000,298.550000,-11.651429,-11.308914,100,100,21222
70,294.00,298.29,11.6514,11.3196,294.000000,298.290000,-11.651429,-11.319629,100,100,21443
71,294.00,299.00,11.6514,11.3571,294.000000,299.000000,-11.651429,-11.357143,100,100,21672
72,294.00,298.89,11.6514,11.3614,294.000000,298.890000,-11.651429,-11.361400,100,100,21892
73,294.00,299.62,11.6514,11.3878,294.000000,299.620000,-11.651429,-11.387771,100,100,22140
74,294.00,298.89,11.6800,11.3593,294.000000,298.890000,-11.680000,-11.359343,100,100,22367
75,294.00,299.86,11.6800,11.3905,294.000000,299.860000,-11.680000,-11.390486,100,100,22591
76,294.00,299.69,11.7114,11.3911,294.000000,299.690000,-11.711429,-11.391143,100,100,22809
77,294.00,299.06,11.7114,11.3750,294.000000,299.060000,-11.711429,-11.375029,100,100,23024
78,294.00,299.23,11.7114,11.4136,294.000000,299.230000,-11.711429,-11.413629,100,100,23260
79,294.00,298.54,11.7714,11.4273,294.000000,298.540000,-11.771429,-11.427343,100,100,23484
80,294.00,297.91,11.7714,11.4519,294.000000,297.910000,-11.771429,-11.451857,100,100,23710
81,294.00,297.37,11.7714,11.4431,294.000000,297.370000,-11.771429,-11.443086,100,100,23936
82,294.00,297.49,11.7714,11.4602,294.000000,297.490000,-11.771429,-11.460229,100,100,24165
83,294.00,297.37,11.7429,11.4732,294.000000,297.370000,-11.742857,-11.473200,100,100,24385
84,294.00,297.31,11.8229,11.4793,294.000000,297.310000,-11.822857,-11.479286,100,100,24612
85,294.00,297.37,11.9000,11.5004,294.000000,297.370000,-11.900000,-11.500371,100,100,24834
86,294.00,297.62,11.9000,11.5496,294.000000,297.620000,-11.900000,-11.549629,100,100,25057
87,294.00,297.81,11.8800,11.5584,294.000000,297.810000,-11.880000,-11.558371,100,100,25291
88,294.00,297.78,11.8800,11.5803,294.000000,297.780000,-11.880000,-11.580314,100,100,25514
89,294.00,297.85,11.8800,11.5978,294.000000,297.850000,-11.880000,-11.597800,100,100,25740
90,294.00,297.10,11.8800,11.5639,294.000000,297.100000,-11.880000,-11.563914,100,100,25968
91,294.00,296.98,11.8800,11.5683,294.000000,296.980000,-11.880000,-11.568257,100,100,26192
