generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.06,8.8257,8.5261,294.000000,302.060976,-8.825714,-8.526063,82,100,601
2,294.00,303.39,8.8314,8.4481,294.000000,303.387500,-8.831429,-8.448143,80,100,1073
3,294.00,297.48,8.8314,8.5848,294.000000,297.477778,-8.831429,-8.584794,90,100,1255
4,294.00,300.19,9.2343,8.6382,294.000000,300.185185,-9.234286,-8.638201,81,100,1667
5,294.00,302.77,9.2343,8.7568,294.000000,302.768116,-9.234286,-8.756812,69,100,2008
6,294.00,299.66,9.2514,8.8449,294.000000,299.656716,-9.251429,-8.844904,67,100,2274
7,294.00,300.50,9.4286,8.9937,294.000000,300.500000,-9.428571,-8.993695,58,100,2495
8,294.00,299.26,9.4343,9.0975,294.000000,299.258621,-9.434286,-9.097537,58,100,2710
9,294.00,298.41,9.9114,9.1949,294.000000,298.406780,-9.911429,-9.194867,59,100,2949
10,294.00,296.70,9.7771,9.3037,294.000000,296.703125,-9.777143,-9.303705,64,100,3112
11,294.00,297.67,10.0371,9.4271,294.000000,297.666667,-10.037143,-9.427063,72,100,3288
12,294.00,297.06,10.2086,9.5290,294.000000,297.061728,-10.208571,-9.529030,81,100,3504
13,294.00,296.79,10.2086,9.6562,294.000000,296.792683,-10.208571,-9.656167,82,100,3703
14,294.00,297.02,10.2771,9.7825,294.000000,297.024390,-10.277143,-9.782509,82,100,3898
15,294.00,297.90,10.3657,9.9030,294.000000,297.900000,-10.365714,-9.903048,90,100,4142
16,294.00,299.03,10.3657,10.0319,294.000000,299.033708,-10.365714,-10.031942,89,100,4412
17,294.00,299.13,10.4429,10.1049,294.000000,299.125000,-10.442857,-10.104870,88,100,4666
18,294.00,298.38,10.4429,10.1457,294.000000,298.377778,-10.442857,-10.145746,90,100,5229
19,294.00,297.77,10.4429,10.1873,294.000000,297.774194,-10.442857,-10.187312,93,100,5498
20,294.00,297.81,10.4771,10.2478,294.000000,297.813187,-10.477143,-10.247849,91,100,5990
21,294.00,296.97,10.6343,10.2903,294.000000,296.965116,-10.634286,-10.290299,86,100,6290
22,294.00,296.61,10.6343,10.3666,294.000000,296.607143,-10.634286,-10.366633,84,100,6539
23,294.00,297.15,10.7057,10.4179,294.000000,297.146341,-10.705714,-10.417875,82,100,6757
24,294.00,299.33,10.7314,10.4947,294.000000,299.333333,-10.731429,-10.494728,84,100,6956
25,294.00,301.00,10.8143,10.5708,294.000000,301.000000,-10.814286,-10.570782,84,100,7251
26,294.00,300.11,10.9857,10.6301,294.000000,300.106667,-10.985714,-10.630133,75,100,7466
27,294.00,300.32,11.0686,10.6815,294.000000,300.316456,-11.068571,-10.681519,79,100,7745
28,294.00,299.71,11.0686,10.7262,294.000000,299.709302,-11.068571,-10.726213,86,100,8032
29,294.00,299.53,11.0686,10.7761,294.000000,299.525641,-11.068571,-10.776117,78,100,8318
30,294.00,299.90,11.1000,10.8234,294.000000,299.904762,-11.100000,-10.823435,84,100,8727
31,294.00,299.37,11.1743,10.8617,294.000000,299.370370,-11.174286,-10.861728,81,100,8975
32,294.00,299.91,11.1743,10.9013,294.000000,299.911392,-11.174286,-10.901302,79,100,9252
33,294.00,300.52,11.2800,10.9504,294.000000,300.518519,-11.280000,-10.950406,81,100,9513
34,294.00,299.68,11.2800,10.9659,294.000000,299.675325,-11.280000,-10.965937,77,100,9757
35,294.00,300.13,11.2800,10.9930,294.000000,300.133333,-11.280000,-10.992952,75,100,10027
36,294.00,301.82,11.4000,11.0550,294.000000,301.821918,-11.400000,-11.054990,73,100,10285
37,294.00,302.94,11.4000,11.1057,294.000000,302.939024,-11.400000,-11.105749,82,100,10518
38,294.00,303.13,11.3743,11.1263,294.000000,303.127907,-11.374286,-11.126279,86,100,10750
