generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,301.61,8.8400,8.5103,77,100,504
2,294.00,301.41,9.0343,8.4782,78,100,951
3,294.00,302.98,10.2429,9.7900,82,100,1820
4,294.00,304.92,10.8571,10.4588,100,100,2313
5,294.00,305.32,11.1714,10.8293,100,100,2819
6,294.00,301.73,11.4457,11.1087,100,100,3393
7,294.00,299.49,11.8343,11.3702,100,100,4019
8,294.00,301.13,12.0314,11.7755,100,100,4723
9,294.00,299.40,12.1743,11.8907,100,100,5542
10,294.00,297.83,12.3029,11.9913,100,100,6374
11,294.00,298.00,12.4029,12.1329,100,100,7221
12,294.00,298.12,12.6143,12.2667,100,100,8105
13,294.00,299.63,12.6943,12.4583,100,100,8963
14,294.00,298.87,12.7600,12.4705,100,100,9879
15,294.00,299.27,12.7486,12.5247,100,100,10774
16,294.00,299.41,12.8543,12.6174,100,100,11662
17,294.00,299.11,12.9600,12.6792,100,100,12551
18,294.00,298.41,12.9629,12.6959,100,100,13450
19,294.00,299.18,13.0000,12.8677,100,100,14343
20,294.00,298.23,13.0457,12.9025,100,100,15262
21,294.00,298.05,13.1086,12.9653,100,100,16184
22,294.00,298.52,13.1514,13.0328,100,100,17140
23,294.00,299.22,13.2143,13.0638,100,100,18068
24,294.00,298.56,13.2743,13.0809,100,100,19001
25,294.00,297.73,13.2971,13.1127,100,100,19911
26,294.00,298.68,13.3514,13.1933,100,100,20805
27,294.00,300.42,13.4171,13.2863,100,100,21730
28,294.00,301.84,13.4257,13.3300,100,100,22686
29,294.00,297.09,13.4743,13.3039,100,100,23611
30,294.00,296.77,13.4743,13.3241,100,100,24532
31,294.00,297.24,13.4886,13.3396,100,100,25439
32,294.00,297.51,13.5457,13.3901,100,100,26338
33,294.00,299.07,13.5714,13.4383,100,100,27236
34,294.00,299.11,13.6257,13.4622,100,100,28139
35,294.00,298.90,13.6400,13.4781,100,100,29037
36,294.00,298.78,13.6514,13.4760,100,100,29936
37,294.00,299.84,13.6800,13.5267,100,100,30852
38,294.00,301.10,13.7600,13.5707,100,100,31776
39,294.00,300.86,13.8057,13.5565,100,100,32703
40,294.00,302.09,13.8171,13.6025,100,100,33639
41,294.00,302.92,13.8114,13.6228,100,100,34565
42,294.00,301.30,13.8371,13.5751,100,100,35501
43,294.00,299.68,13.8371,13.5580,100,100,36457
44,294.00,300.18,13.8457,13.5762,100,100,37395
45,294.00,303.00,13.8714,13.6951,100,100,38343
46,294.00,301.44,13.8800,13.6663,100,100,39328
47,294.00,302.86,13.8829,13.7031,100,100,40255
48,294.00,301.49,13.9371,13.6772,100,100,41172
49,294.00,300.58,13.9057,13.6329,100,100,42099
50,294.00,301.11,13.9429,13.7123,100,100,43021
51,294.00,299.94,13.9343,13.7043,100,100,43936
52,294.00,300.60,13.9486,13.7093,100,100,44853
53,294.00,301.89,13.9629,13.7579,100,100,45779
54,294.00,301.47,13.9743,13.7406,100,100,46693
55,294.00,301.23,13.9657,13.7176,100,100,47596
56,294.00,301.08,13.9971,13.7310,100,100,48495
57,294.00,302.92,14.0343,13.8094,100,100,49412
58,294.00,301.52,14.0029,13.7432,100,100,50315
59,294.00,302.57,14.0086,13.7872,100,100,51224
60,294.00,300.21,14.0057,13.6990,100,100,52157
61,294.00,303.78,14.0914,13.8235,100,100,53101
62,294.00,302.49,14.0771,13.7926,100,100,54046
63,294.00,300.27,14.1629,13.7399,100,100,54999
64,294.00,299.53,14.1429,13.7698,100,100,55922
65,294.00,298.68,14.2343,13.7855,100,100,56843
66,294.00,299.29,14.2343,13.9115,100,100,57758
67,294.00,299.38,14.3000,13.9549,100,100,58656
68,294.00,300.02,14.2943,14.0178,100,100,59545
69,294.00,303.68,14.2914,14.0873,100,100,60442
70,294.00,305.98,14.3143,14.1241,100,100,61323
71,294.00,305.84,14.3171,14.1362,100,100,62224
72,294.00,303.97,14.3629,14.1197,100,100,63134
73,294.00,304.92,14.3629,14.1591,100,100,64047
74,294.00,306.92,14.3800,14.1952,100,100,64963
75,294.00,304.35,14.3829,14.1802,100,100,65863
76,294.00,303.61,14.3829,14.2048,100,100,66749
77,294.00,302.49,14.3943,14.2032,100,100,67648
78,294.00,305.29,14.3857,14.2584,100,100,68560
79,294.00,300.56,14.4000,14.2785,100,100,69497
80,294.00,301.34,14.4286,14.3025,100,100,70427
81,294.00,301.38,14.4314,14.3011,100,100,71338
82,294.00,299.61,14.4571,14.3173,100,100,72267
83,294.00,298.66,14.5057,14.3366,100,100,73174
84,294.00,301.69,14.5543,14.4232,100,100,74083
85,294.00,301.22,14.5943,14.4387,100,100,74997
86,294.00,300.36,14.5914,14.4369,100,100,75967
87,294.00,301.18,14.5971,14.4661,100,100,76962
88,294.00,301.88,14.6000,14.4910,100,100,78005
89,294.00,300.36,14.6029,14.4784,100,100,79035
90,294.00,301.28,14.6371,14.5002,100,100,80053
91,294.00,300.32,14.6629,14.5031,100,100,81093
92,294.00,301.61,14.6657,14.5223,100,100,82112
93,294.00,302.24,14.6600,14.5357,100,100,83139
94,294.00,300.76,14.6657,14.5146,100,100,84176
95,294.00,300.91,14.6657,14.5345,100,100,85183
96,294.00,301.18,14.6914,14.5426,100,100,86215
97,294.00,301.62,14.6743,14.5516,100,100,87238
98,294.00,301.25,14.6686,14.5723,100,100,88235
99,294.00,300.24,14.6829,14.5465,100,100,89246
100,294.00,300.70,14.7057,14.5581,100,100,90263
101,294.00,300.15,14.6943,14.5725,100,100,91286
