generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,303.61,8.7943,8.5065,38,50,365
2,329.00,357.20,9.3800,8.3836,35,50,723
3,367.00,423.85,9.5457,8.9786,48,50,2137
4,430.00,456.32,9.5400,8.7481,34,50,3322
5,466.00,498.10,10.0543,9.3615,40,50,4520
6,489.00,511.44,9.8886,9.1960,36,50,5959
7,504.00,528.07,9.8857,9.4712,15,50,7326
8,506.00,529.60,10.2029,9.5454,25,50,8532
9,518.00,534.85,9.9943,9.4530,26,50,9708
10,514.00,534.00,10.4000,9.5361,16,50,10845
11,525.00,541.72,10.1171,9.5797,25,50,11926
12,523.00,543.94,9.9743,9.5868,16,50,12967
13,512.00,534.25,10.3829,9.5716,32,50,13998
14,512.00,533.30,10.4600,9.5567,47,50,15041
15,513.00,543.36,10.2029,9.8025,25,50,15975
16,508.00,529.10,10.1086,9.4182,21,50,16853
17,519.00,559.00,10.1971,9.8318,16,50,17704
18,513.00,535.50,10.2257,9.6830,20,50,18702
19,509.00,545.54,10.4229,9.7540,26,50,19830
20,525.00,551.77,10.2886,9.6033,13,50,20651
21,511.00,537.05,10.2771,9.8129,22,50,21450
22,509.00,531.45,10.0914,9.5284,22,50,22251
23,507.00,540.63,10.3229,9.7237,32,50,23066
24,509.00,548.41,10.6200,9.8750,32,50,23866
25,514.00,528.55,9.9800,9.7281,11,50,24611
26,503.00,526.38,10.2971,9.6752,21,50,25453
27,514.00,533.74,10.1057,9.5788,19,50,26688
28,517.00,541.85,10.1000,9.7061,20,50,27677
29,516.00,529.85,10.0171,9.6699,13,50,28736
30,520.00,525.00,9.7371,9.1409,10,50,29800
31,503.00,553.84,9.9886,9.6370,19,50,30848
32,507.00,537.55,10.3371,9.8465,29,50,31781
33,515.00,543.14,10.2829,9.7993,28,50,32693
34,518.00,527.60,10.0743,9.4935,15,50,33611
35,516.00,534.81,9.7486,9.4204,16,50,34540
36,525.00,542.50,10.1857,9.8197,20,50,35469
37,514.00,536.90,10.2029,9.7850,20,50,36402
38,519.00,528.00,10.0971,9.7264,8,50,37337
39,508.00,531.93,10.5200,9.7101,42,50,38251
40,497.00,541.13,10.3571,9.7431,40,50,39170
41,518.00,542.83,10.2571,9.7754,29,50,40145
42,492.00,520.83,10.1114,9.2250,12,50,41186
43,508.00,530.19,10.1000,9.4316,16,50,42089
44,494.00,526.15,10.1457,9.5480,27,50,42947
45,498.00,534.31,10.2400,9.7561,29,50,43787
46,507.00,526.72,10.1257,9.6104,29,50,44646
47,500.00,533.93,10.2829,9.6679,40,50,45510
48,509.00,529.77,10.1514,9.4462,26,50,46324
49,508.00,532.81,10.2714,9.5534,26,50,47130
50,504.00,529.37,10.5714,9.6805,35,50,47923
51,520.00,542.25,10.2771,9.7656,20,50,48736
