generacion,mejor_asignaciones,promedio_asignaciones,desv_std_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,desv_std_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,desv_std_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,288.00,296.17,10.602356,8.3262,7.9604,288.000000,296.173333,10.602356,-8.326220,-7.960407,0.157795,75,100,664
2,288.00,297.90,9.709710,8.9146,7.8378,288.000000,297.904110,9.709710,-8.914634,-7.837788,0.277475,73,100,1229
3,288.00,296.77,9.665635,9.8262,9.2257,288.000000,296.768116,9.665635,-9.826220,-9.225698,0.311757,69,100,2109
4,288.00,299.57,9.252302,10.8201,10.2860,288.000000,299.570000,9.252302,-10.820122,-10.285976,0.279414,100,100,2645
5,288.00,300.12,8.515022,11.1128,10.5581,288.000000,300.120000,8.515022,-11.112805,-10.558110,0.289193,100,100,3227
6,288.00,296.75,6.623254,11.3750,10.8113,288.000000,296.750000,6.623254,-11.375000,-10.811341,0.313713,100,100,3813
7,288.00,297.95,7.628073,11.6189,11.2577,288.000000,297.950000,7.628073,-11.618902,-11.257713,0.287151,100,100,4420
8,288.00,299.17,8.204944,11.9360,11.5711,288.000000,299.170000,8.204944,-11.935976,-11.571128,0.291250,100,100,4990
9,288.00,295.32,5.137859,12.0366,11.6234,288.000000,295.320000,5.137859,-12.036585,-11.623354,0.256150,100,100,5562
10,288.00,295.21,5.383855,12.1128,11.7216,288.000000,295.210000,5.383855,-12.112805,-11.721646,0.243652,100,100,6145
11,288.00,295.42,5.124802,12.2805,11.8907,288.000000,295.420000,5.124802,-12.280488,-11.890671,0.296906,100,100,6730
12,288.00,294.66,3.771525,12.3628,11.9582,288.000000,294.660000,3.771525,-12.362805,-11.958232,0.270364,100,100,7302
13,288.00,296.16,5.287192,12.5549,12.1412,288.000000,296.160000,5.287192,-12.554878,-12.141189,0.314957,100,100,7894
14,288.00,296.35,6.200605,12.6037,12.1886,288.000000,296.350000,6.200605,-12.603659,-12.188598,0.325340,100,100,8498
15,288.00,294.90,5.831809,12.6433,12.2746,288.000000,294.900000,5.831809,-12.643293,-12.274604,0.304858,100,100,9123
16,288.00,293.80,4.123106,12.7409,12.4066,288.000000,293.800000,4.123106,-12.740854,-12.406585,0.287095,100,100,9745
17,288.00,293.55,3.424544,12.8293,12.5748,288.000000,293.550000,3.424544,-12.829268,-12.574817,0.225509,100,100,10322
18,288.00,292.98,3.042959,12.9390,12.6358,288.000000,292.980000,3.042959,-12.939024,-12.635823,0.213755,100,100,10878
19,288.00,292.68,2.979530,12.9573,12.7325,288.000000,292.680000,2.979530,-12.957317,-12.732470,0.211130,100,100,11438
20,288.00,294.98,4.814520,13.0305,12.8460,288.000000,294.980000,4.814520,-13.030488,-12.846037,0.200079,100,100,12222
21,288.00,293.84,4.496043,13.0823,12.8778,288.000000,293.840000,4.496043,-13.082317,-12.877835,0.154565,100,100,12864
22,288.00,292.81,2.766568,13.1220,12.9212,288.000000,292.810000,2.766568,-13.121951,-12.921220,0.153846,100,100,13456
23,288.00,292.30,3.287856,13.1585,12.9396,288.000000,292.300000,3.287856,-13.158537,-12.939604,0.158156,100,100,14051
24,288.00,294.13,4.947029,13.3476,13.0669,288.000000,294.130000,4.947029,-13.347561,-13.066860,0.158945,100,100,14634
25,288.00,296.65,5.675165,13.3963,13.1813,288.000000,296.650000,5.675165,-13.396341,-13.181311,0.190238,100,100,15219
26,288.00,298.09,7.300815,13.4909,13.2205,288.000000,298.090000,7.300815,-13.490854,-13.220549,0.220150,100,100,15793
