generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.28,9.0743,8.5181,80,100,1437
2,294.00,304.96,9.0086,8.4557,79,100,2411
3,294.00,311.11,10.2629,9.8310,88,100,4195
4,294.00,300.74,10.6771,10.3532,66,100,5339
5,294.00,300.44,11.1057,10.7269,57,100,6633
6,294.00,302.56,11.4400,11.0861,73,100,8227
7,294.00,299.93,11.8457,11.2703,70,100,10322
8,294.00,304.75,12.1857,11.8027,89,100,12359
9,294.00,301.58,12.1629,11.9245,84,100,14484
10,294.00,303.09,12.3543,12.0994,69,100,16163
11,294.00,302.64,12.5971,12.2840,84,100,17693
12,294.00,305.35,12.6543,12.4230,94,100,20778
13,294.00,305.48,12.7743,12.5068,100,100,22975
14,294.00,306.12,12.8514,12.5483,100,100,25023
15,294.00,299.41,12.8857,12.6479,100,100,26260
16,294.00,299.36,12.9371,12.7714,100,100,27273
17,294.00,301.33,13.1371,12.9194,100,100,28216
18,294.00,298.17,13.2114,12.9749,100,100,29133
19,294.00,299.56,13.4429,13.1364,100,100,30056
20,294.00,299.92,13.5771,13.2835,100,100,30986
21,294.00,301.85,13.6314,13.3747,100,100,31905
22,294.00,299.71,13.6486,13.3511,100,100,32893
23,294.00,299.88,13.6429,13.3866,100,100,33915
24,294.00,300.20,13.7143,13.4271,100,100,34921
25,294.00,299.85,13.7314,13.4538,100,100,36046
26,294.00,301.45,13.7400,13.5054,100,100,37162
