generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,303.29,9.0771,8.5255,84,100,887
2,294.00,302.46,8.9514,8.4410,90,100,1843
3,294.00,296.72,9.6200,9.2382,94,100,5556
4,294.00,299.34,10.1857,9.8167,87,100,7998
5,294.00,303.55,10.6343,10.3412,100,100,10722
6,294.00,300.36,11.0343,10.6743,100,100,12712
7,294.00,298.75,11.2829,10.8357,100,100,14874
8,294.00,299.32,11.5057,11.1099,100,100,18282
9,294.00,301.11,11.5743,11.2996,100,100,20743
10,294.00,303.98,11.8057,11.4489,100,100,23650
11,294.00,307.94,11.8143,11.5581,100,100,25360
12,294.00,304.71,11.9171,11.6171,100,100,27192
13,294.00,305.09,11.9914,11.8125,100,100,28838
14,294.00,300.94,12.0686,11.8799,100,100,30448
15,294.00,300.74,12.2057,11.9784,100,100,32073
16,294.00,300.73,12.2486,12.0416,100,100,33634
17,294.00,299.43,12.3200,12.0731,100,100,35105
18,294.00,299.39,12.3200,12.0738,100,100,36632
19,294.00,298.59,12.3257,12.1311,100,100,38227
20,294.00,298.09,12.6000,12.2576,100,100,39828
21,294.00,299.29,12.6686,12.3964,100,100,41431
22,294.00,300.14,12.6914,12.4441,100,100,42970
23,294.00,299.91,12.7229,12.4856,100,100,44614
24,294.00,297.96,12.8914,12.5226,100,100,46208
25,294.00,297.76,12.9171,12.5934,100,100,47825
26,294.00,297.23,13.0057,12.6897,100,100,49460
