generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,305.54,8.9543,8.4990,82,100,792
2,294.00,307.35,9.2714,8.5001,83,100,1476
3,294.00,301.95,9.9857,9.6416,78,100,2973
4,294.00,299.71,10.6971,10.3589,100,100,3854
5,294.00,297.64,10.9200,10.6999,100,100,4411
6,294.00,298.21,11.4200,11.1403,100,100,4940
7,294.00,299.27,11.7057,11.4387,100,100,5558
8,294.00,298.43,11.9800,11.5631,100,100,6421
9,294.00,299.87,12.0543,11.8070,100,100,7183
10,294.00,299.29,12.1886,11.8613,100,100,8104
11,294.00,299.11,12.3229,11.9708,100,100,9075
12,294.00,299.30,12.4943,12.1306,100,100,9802
13,294.00,299.60,12.5971,12.3333,100,100,10519
14,294.00,299.67,12.6771,12.4521,100,100,11214
15,294.00,301.80,12.6943,12.5352,100,100,11864
16,294.00,298.62,12.7514,12.6344,100,100,12555
17,294.00,297.32,12.9429,12.7050,100,100,13298
18,294.00,296.69,13.0257,12.8450,100,100,13816
19,294.00,297.09,13.1686,12.9378,100,100,14340
20,294.00,297.17,13.2686,13.0511,100,100,14883
21,294.00,297.87,13.3514,13.1976,100,100,15322
22,294.00,298.86,13.4086,13.2517,100,100,15850
23,294.00,299.91,13.5943,13.3712,100,100,16346
24,294.00,301.50,13.5800,13.4407,100,100,16900
25,294.00,300.95,13.5829,13.4416,100,100,17426
26,294.00,302.73,13.6114,13.4821,100,100,17944
