generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,303.55,9.0057,8.5146,88,100,1130
2,294.00,303.48,8.9457,8.4478,82,100,2184
3,294.00,305.32,10.0229,9.4533,69,100,6949
4,294.00,299.17,10.6514,10.1086,66,100,8149
5,294.00,300.58,10.8171,10.5121,85,100,9074
6,294.00,300.30,11.3429,10.8961,100,100,10178
7,294.00,300.85,11.4514,11.1820,100,100,11020
8,294.00,302.38,11.6400,11.4000,100,100,11945
9,294.00,302.19,11.9000,11.5601,100,100,13589
10,294.00,303.73,12.3086,11.8046,100,100,14968
11,294.00,306.06,12.4943,11.9947,100,100,16451
12,294.00,305.01,12.5029,12.1377,100,100,17589
13,294.00,303.78,12.6200,12.2797,100,100,18794
14,294.00,304.07,12.7257,12.4060,100,100,20410
15,294.00,302.44,12.7600,12.5094,100,100,21622
16,294.00,303.28,12.8571,12.6509,100,100,22877
17,294.00,300.98,12.8857,12.7305,100,100,24035
18,294.00,301.55,13.1371,12.8742,100,100,25178
19,294.00,302.68,13.2114,12.9765,100,100,26253
20,294.00,301.93,13.2571,12.9908,100,100,27307
21,294.00,305.01,13.3371,13.0845,100,100,28408
22,294.00,303.92,13.3371,13.0913,100,100,29510
23,294.00,306.56,13.4057,13.1745,100,100,30625
24,294.00,304.35,13.4543,13.1201,100,100,31734
25,294.00,304.18,13.5114,13.1792,100,100,32845
26,294.00,306.71,13.5486,13.2119,100,100,34072
