generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,300.23,8.9229,8.5321,80,100,271
2,295.00,304.91,8.9543,8.4495,74,100,485
3,297.00,308.27,9.6400,9.0431,51,100,1404
4,308.00,324.27,10.0600,9.3636,45,100,2048
5,315.00,342.60,10.5114,9.6645,80,100,2763
6,323.00,343.71,10.6457,9.8337,86,100,3692
7,333.00,356.33,10.7629,10.0761,100,100,4834
8,335.00,361.32,11.0429,10.2875,100,100,6080
9,349.00,372.12,11.3457,10.3417,100,100,7354
10,358.00,379.64,11.4600,10.7978,100,100,8651
11,365.00,382.69,11.4029,10.7179,99,100,9949
12,370.00,388.74,11.3800,10.7640,100,100,11240
13,375.00,395.63,11.4257,10.7920,100,100,12556
14,380.00,401.14,11.7171,10.8077,100,100,13888
15,383.00,402.80,11.6943,11.0319,100,100,15190
16,386.00,409.92,11.8743,11.1580,100,100,16486
17,388.00,410.07,11.7514,11.2000,98,100,17773
18,390.00,411.66,11.7429,11.0554,100,100,19087
19,386.00,414.34,11.8543,11.1266,95,100,20454
20,386.00,406.70,11.6143,11.0677,90,100,21857
21,391.00,407.90,11.5600,11.0478,89,100,23272
22,393.00,414.53,11.6686,11.0949,100,100,24620
23,393.00,414.27,11.7686,11.2541,100,100,25986
24,391.00,408.20,12.0400,11.3252,100,100,27296
25,393.00,411.14,12.2371,11.2852,92,100,28607
26,394.00,423.24,12.1943,11.5647,98,100,29909
