generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,304.60,8.7714,8.4891,43,50,504
2,294.00,306.36,8.8971,8.4382,42,50,1158
3,294.00,296.44,9.3657,9.1638,50,50,2364
4,294.00,297.36,9.7657,9.5930,50,50,3554
5,294.00,297.04,10.0057,9.8138,50,50,4697
6,294.00,296.00,10.2400,9.9968,50,50,6009
7,294.00,295.62,10.4029,10.1565,50,50,7117
8,294.00,296.38,10.6971,10.3077,50,50,8356
9,294.00,297.90,10.8143,10.4784,50,50,9361
10,294.00,298.30,10.9400,10.6685,50,50,10320
11,294.00,299.32,11.3743,10.9295,50,50,11274
12,294.00,299.76,11.4143,10.9115,50,50,12322
13,294.00,303.52,11.4886,11.1807,50,50,13399
14,294.00,301.56,11.5429,11.1773,50,50,14436
15,294.00,302.14,11.8086,11.4022,50,50,15357
16,294.00,302.66,11.7914,11.5275,50,50,16265
17,294.00,302.94,11.8343,11.6245,50,50,17348
18,294.00,300.90,11.8600,11.6552,50,50,18225
19,294.00,299.16,11.9171,11.6961,50,50,19089
20,294.00,299.14,11.9343,11.6849,50,50,19955
21,294.00,297.94,11.9600,11.6573,50,50,20805
22,294.00,297.94,12.0343,11.6943,50,50,21650
23,294.00,297.62,12.0171,11.7065,50,50,22536
24,294.00,298.56,11.9943,11.8091,50,50,23381
25,294.00,297.94,12.1114,11.8446,50,50,24215
26,294.00,298.30,12.0200,11.8563,50,50,25087
27,294.00,298.36,12.0657,11.8809,50,50,25948
28,294.00,299.30,12.0200,11.8652,50,50,26783
29,294.00,299.72,12.1457,11.8903,50,50,27635
30,294.00,298.26,12.0543,11.8842,50,50,28483
31,294.00,297.14,12.1171,11.9660,50,50,29313
32,294.00,297.58,12.0914,11.9713,50,50,30150
33,294.00,297.04,12.1086,11.9724,50,50,30992
34,294.00,295.50,12.0771,11.9936,50,50,31822
35,294.00,295.04,12.1829,12.0544,50,50,32649
36,294.00,294.88,12.1600,12.0894,50,50,33460
37,294.00,294.78,12.1857,12.1199,50,50,34338
38,295.00,295.28,12.2086,12.1610,50,50,35129
39,295.00,295.50,12.2371,12.2121,50,50,35928
40,295.00,295.18,12.2400,12.2172,50,50,36705
41,295.00,295.42,12.2600,12.2321,50,50,37500
42,295.00,295.88,12.2629,12.2467,50,50,38284
43,295.00,295.58,12.2657,12.2467,50,50,39076
44,295.00,295.92,12.2800,12.2618,50,50,39843
45,295.00,295.80,12.3400,12.3017,50,50,40610
46,294.00,295.60,12.3714,12.2950,50,50,41415
47,294.00,295.84,12.4000,12.3463,50,50,42208
48,294.00,295.50,12.4171,12.3350,50,50,43017
49,294.00,295.54,12.4286,12.3584,50,50,43797
50,294.00,295.88,12.5000,12.4252,50,50,44587
51,294.00,295.14,12.4657,12.4399,50,50,45374
