INSTANCIA,TAM,POB,CRU,MUT,HV,PARETO_FILE
promedio_2024,286,50,0.70,0.001,0.401237,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.336514,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.397525,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.374559,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.343606,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.396930,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.413554,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.396885,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.358430,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.409966,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.396136,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.405463,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.348468,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.403560,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.407438,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.391186,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.399127,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.396943,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.397172,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.399912,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.379395,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.414731,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.390635,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.394009,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.370712,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.388165,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.381778,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.398948,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.405793,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.70,0.001,0.392383,output/promedio_2024_pareto_front.csv
