generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,300.51,8.7371,8.5371,39,50,386
2,294.00,301.98,9.2514,8.4877,41,50,751
3,294.00,296.41,9.3686,9.1353,27,50,1764
4,294.00,301.75,10.3114,9.6402,32,50,2331
5,294.00,301.22,10.7714,10.2465,50,50,2969
6,294.00,303.46,10.9429,10.5804,50,50,3552
7,294.00,302.16,11.2429,10.7636,50,50,4312
8,294.00,305.16,11.4514,11.0921,50,50,5106
9,294.00,302.18,11.4914,11.2355,50,50,5889
10,294.00,306.10,11.7257,11.5604,50,50,6756
11,294.00,305.04,11.7857,11.5906,50,50,7636
12,294.00,307.74,11.9257,11.6846,50,50,8497
13,294.00,308.88,12.0086,11.7631,50,50,9336
14,294.00,305.64,12.0057,11.6083,50,50,10164
15,294.00,305.48,12.0257,11.7630,50,50,10982
16,294.00,300.52,12.1657,11.9461,50,50,12046
17,294.00,302.46,12.2457,12.0643,50,50,12992
18,294.00,302.58,12.3257,12.0452,50,50,14072
19,294.00,302.08,12.3857,12.1079,50,50,15085
20,294.00,303.10,12.3629,12.1567,50,50,16221
21,294.00,305.46,12.3686,12.1499,50,50,17262
22,294.00,299.70,12.4829,12.1959,50,50,18197
23,294.00,296.46,12.6886,12.3941,50,50,19192
24,294.00,296.34,12.7629,12.6142,50,50,19956
25,294.00,298.56,12.9029,12.7735,50,50,20758
26,294.00,299.48,13.0257,12.8738,50,50,21531
27,294.00,298.58,13.0829,12.8390,50,50,22288
28,294.00,298.70,13.0857,12.8690,50,50,23025
29,294.00,299.06,13.0943,12.9085,50,50,23796
30,294.00,299.80,13.0943,12.9039,50,50,24541
31,294.00,300.84,13.0971,12.9479,50,50,25269
32,294.00,298.58,13.1000,12.9069,50,50,25993
33,294.00,299.30,13.1000,12.9430,50,50,26758
34,294.00,301.54,13.1657,13.0258,50,50,27474
35,294.00,301.28,13.1714,12.9950,50,50,28144
36,294.00,301.14,13.1914,13.0115,50,50,28814
37,294.00,301.00,13.1629,13.0149,50,50,29469
38,294.00,298.64,13.2486,13.0628,50,50,30097
39,294.00,297.78,13.3229,13.1294,50,50,30727
40,294.00,299.56,13.3286,13.1874,50,50,31479
41,294.00,299.40,13.3457,13.2590,50,50,32126
42,294.00,298.00,13.3486,13.2193,50,50,32764
43,294.00,300.40,13.4457,13.2674,50,50,33427
44,294.00,302.28,13.4029,13.2753,50,50,34066
45,294.00,303.74,13.5171,13.3379,50,50,34690
46,294.00,304.12,13.5257,13.3415,50,50,35327
47,294.00,301.86,13.5229,13.3240,50,50,35950
48,294.00,303.14,13.5257,13.3979,50,50,36592
49,294.00,299.90,13.5171,13.3360,50,50,37205
50,294.00,300.76,13.5057,13.3315,50,50,37813
51,294.00,298.62,13.5229,13.3641,50,50,38426
