generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.17,9.0171,8.5435,77,100,215
2,294.00,304.15,9.0171,8.4676,73,100,388
3,294.00,301.43,9.7543,9.3531,79,100,1154
4,294.00,309.56,10.5543,10.2140,80,100,1411
5,294.00,306.18,10.9686,10.6029,100,100,1603
6,294.00,310.22,11.3114,11.0016,100,100,1859
7,294.00,310.98,11.5857,11.2585,100,100,2129
8,294.00,303.92,11.7229,11.4795,100,100,2483
9,294.00,300.01,12.1343,11.6559,100,100,2824
10,294.00,298.90,12.3314,11.9457,100,100,3218
11,294.00,298.04,12.5343,12.1091,100,100,3706
12,294.00,300.61,12.6257,12.3559,100,100,4264
13,294.00,301.14,12.7486,12.4795,100,100,4869
14,294.00,301.17,12.8714,12.5214,100,100,5493
15,294.00,301.97,12.8800,12.5802,100,100,6141
16,294.00,300.31,12.9829,12.6571,100,100,6822
17,294.00,301.03,13.0657,12.8086,100,100,7531
18,294.00,301.10,13.1743,12.9690,100,100,8254
19,294.00,298.88,13.4686,13.0106,100,100,8992
20,294.00,298.74,13.4943,13.1909,100,100,9764
21,294.00,299.96,13.5314,13.3169,100,100,10547
22,294.00,298.76,13.5943,13.3867,100,100,11310
23,294.00,300.23,13.6771,13.5055,100,100,12060
24,294.00,302.45,13.7000,13.5669,100,100,12808
25,294.00,303.48,13.7057,13.5648,100,100,13576
26,294.00,305.11,13.7857,13.6035,100,100,14368
