generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,305.54,8.9543,8.4990,82,100,243
2,318.00,350.02,9.0829,8.3829,82,100,449
3,312.00,411.45,9.7057,8.9761,77,100,1582
4,413.00,464.33,9.6771,8.9609,86,100,2818
5,455.00,486.22,9.7543,9.1718,73,100,4014
6,482.00,503.26,9.7543,9.0482,53,100,5214
7,490.00,524.16,10.0429,9.2227,61,100,6393
8,503.00,532.05,10.1829,9.2821,42,100,7529
9,503.00,534.28,10.1771,9.3644,72,100,8666
10,498.00,529.36,10.0886,9.2970,80,100,9801
11,515.00,537.70,10.1829,9.4346,74,100,10944
12,507.00,535.83,10.3200,9.5237,63,100,12069
13,514.00,544.03,10.2286,9.5771,70,100,13187
14,506.00,535.51,10.1029,9.4957,69,100,14280
15,506.00,530.45,10.1229,9.4700,65,100,15377
16,511.00,530.60,10.1971,9.5707,47,100,16486
17,504.00,533.00,10.2600,9.6595,54,100,17585
18,510.00,535.87,10.2143,9.7356,45,100,18666
19,510.00,542.70,10.1829,9.8185,67,100,19748
20,512.00,530.68,10.4914,9.7132,56,100,20851
21,496.00,538.33,10.2486,9.8026,40,100,21933
22,513.00,532.12,10.5371,9.8377,25,100,23036
23,503.00,530.17,10.4029,9.7374,48,100,24150
24,510.00,528.00,10.2114,9.4289,39,100,25244
25,510.00,533.11,10.4486,9.5867,61,100,26338
26,510.00,533.67,10.5429,9.6766,55,100,27445
