INSTANCIA,TAM,POB,CRU,MUT,HV,PARETO_FILE
promedio_2024,286,100,0.60,0.100,0.226089,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.230846,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.233552,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.235904,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.217363,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.230662,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.232048,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.230656,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.226316,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.227757,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.228257,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.213710,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.219274,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.230282,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.225786,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.219671,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.232515,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.207624,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.227314,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.233123,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.236563,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.214579,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.214107,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.232521,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.215129,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.215389,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.221266,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.221547,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.232719,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.100,0.226138,output/promedio_2024_pareto_front.csv
