nombre_uc,202407,Duracion,semestre,carrera
GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.,6,4,,
GESTION DE MANTENIMIENTO,39,4,9,produccion;mecanica
HIDRAULICA FLUVIAL Y MARITIMA,6,4,,
HIDRAULICA Y NEUMATICA,1,4,,
HIDRODINAMICA NAVAL,1,4,7,naval
HIDROLOGIA AVANZADA II,1,4,,
HIDROLOGIA E HIDRAULICA APLICADAS,4,4,6,civil
HIGIENE Y SERV. DE PLANTAS PROC. DE ALIMENTOS,1,4,8,alimentos
HORMIGON ESTRUCTURAL 1,16,3.5,7,civil
HORMIGON ESTRUCTURAL 2,12,2,8,civil
HORMIGON ESTRUCTURAL 3,10,5.5,,
INGENIERIA AMBIENTAL PARA LA INDUSTRIA DE PROCESOS,1,4,,
INGENIERIA BIOQUIMICA,8,4,9,alimentos;quimica
INGENIERIA DE LAS REACCIONES QUIMICAS 1,39,4,7,alimentos; quimica
INGENIERIA DE LAS REACCIONES QUIMICAS 2,12,2,8,alimentos; quimica
INGENIERIA DE LOS PROCESOS ELECTROQUIMICOS,1,4,,
INGENIERIA DE SOFTWARE,1,4,,
INGENIERIA LEGAL,12,4,4,civil
INGLES CONVERSACIONAL (ACT.COMPL.2),1,4,,
INGLES TECNICO,3,4,,
INGLES TECNICO 1 (ACT.COMPL.1),1,4,,
INSTALACIONES ELECTRICAS,8,4,8,electronica;mecanica
INSTALACIONES GENERALES DE GASES COMBUSTIBLES,1,4,,
INSTRUMENTACION INDUSTRIAL,12,4,9,produccion;mecanica;naval
INSTRUMENTACION Y CONTROL,1,3,,
INT. A LA CIENCIA DE LOS MATERIALES,9,1.5,,
INT. A LA CIENCIA DE MATERIALES,52,1.5,5,produccion;mecanica;naval
INT. A LA COMBUSTION,1,4,,
INT. A LA CONSTRUCCION,6,4,6,civil
INT. A LA CORROSION DEL HORMIGON ARMADO,1,4,,
INT. A LA ELECTROTECNIA,7,3,,
INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.,1,4,,
