generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,301.71,9.0914,8.5247,152,200,779
2,294.00,301.79,9.1771,8.4685,154,200,1447
3,294.00,302.06,10.6114,9.7353,120,200,2960
4,294.00,309.05,11.3257,10.7025,199,200,3663
5,294.00,308.33,11.7657,11.0991,200,200,4407
6,294.00,308.37,12.0400,11.4402,200,200,5182
7,294.00,306.33,12.2514,11.6882,200,200,6105
8,294.00,307.69,12.4229,12.0128,200,200,7011
9,294.00,306.75,12.8600,12.2632,200,200,8032
10,294.00,305.78,13.0057,12.5868,200,200,9098
11,294.00,301.95,13.1000,12.7238,200,200,10323
12,294.00,302.43,13.2457,12.9415,200,200,11666
13,294.00,304.09,13.3486,13.1061,200,200,13076
14,294.00,302.31,13.4914,13.1656,200,200,14586
