generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.17,9.0171,8.5435,77,100,220
2,321.00,346.00,9.1086,8.4806,80,100,421
3,322.00,393.00,9.4829,8.9887,93,100,1462
4,360.00,433.01,9.9629,9.0746,84,100,2745
5,406.00,455.45,9.8514,9.1619,97,100,3966
6,417.00,469.87,10.0229,9.2466,83,100,5213
7,456.00,487.29,10.2514,9.2690,62,100,6441
8,478.00,507.86,10.1600,9.5314,56,100,7615
9,488.00,531.09,10.3143,9.7166,54,100,8792
10,486.00,515.32,10.1971,9.4499,57,100,9965
11,495.00,521.89,10.1743,9.5153,53,100,11140
12,502.00,528.95,10.4457,9.7861,41,100,12299
13,499.00,529.36,10.3457,9.7399,44,100,13471
14,500.00,528.04,10.6257,9.8333,47,100,14631
15,491.00,524.25,10.5971,10.0114,72,100,15782
16,490.00,524.18,10.3629,9.8968,62,100,16909
17,500.00,516.93,10.6543,10.0284,27,100,18044
18,501.00,522.21,10.5314,10.0660,19,100,19176
19,497.00,518.70,10.3286,9.8491,33,100,20318
20,507.00,522.56,10.4600,10.0697,27,100,21447
21,496.00,524.14,10.4657,9.8970,37,100,22575
22,495.00,521.61,10.8886,10.0352,36,100,23693
23,501.00,531.19,10.7543,10.1274,58,100,24804
24,494.00,522.11,10.9171,10.0548,47,100,25909
25,501.00,527.12,10.6343,10.1212,34,100,27018
26,493.00,520.13,10.6143,9.8518,38,100,28129
