generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,303.00,9.1057,8.5428,87,100,240
2,325.00,346.44,9.5886,8.4764,85,100,463
3,328.00,382.29,9.9143,8.9053,66,100,1524
4,368.00,426.81,9.9371,8.9547,73,100,2786
5,418.00,461.11,10.2143,9.2240,80,100,4015
6,452.00,488.13,10.0771,9.3660,80,100,5214
7,468.00,512.40,10.3114,9.5694,67,100,6375
8,471.00,511.11,10.2486,9.4009,73,100,7581
9,493.00,526.94,10.4686,9.6127,69,100,8753
10,495.00,522.06,10.4657,9.6709,53,100,9916
11,499.00,525.18,10.6000,9.8398,60,100,11053
12,498.00,531.74,10.6943,9.8490,42,100,12235
13,506.00,532.15,10.3114,9.8159,52,100,13376
14,487.00,524.51,10.5971,9.9768,77,100,14518
15,493.00,516.06,10.4486,9.9041,53,100,15674
16,495.00,515.50,10.6200,9.9864,70,100,16828
17,496.00,526.67,10.6057,9.9455,66,100,17969
18,490.00,519.12,10.4486,9.9439,69,100,19113
19,490.00,513.97,10.4829,9.7552,39,100,20261
20,491.00,518.86,10.5543,9.9096,63,100,21396
21,500.00,530.69,10.5257,9.8794,39,100,22527
22,491.00,515.34,10.3800,9.7131,47,100,23659
23,497.00,508.86,10.2600,9.5480,29,100,24799
24,502.00,523.71,10.7800,9.7685,35,100,25931
25,500.00,521.53,10.5086,9.7823,45,100,27086
26,490.00,521.11,10.5143,9.7735,55,100,28196
