generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,301.78,8.7029,8.5003,81,100,219
2,325.00,342.75,9.3000,8.4562,83,100,399
3,315.00,383.23,9.9857,8.9912,82,100,1423
4,374.00,428.14,9.8114,9.1464,86,100,2648
5,429.00,463.43,10.0429,9.2187,76,100,3861
6,452.00,485.44,9.9686,9.3321,80,100,5053
7,461.00,491.81,10.1743,9.2925,79,100,6252
8,470.00,506.26,10.2714,9.3376,68,100,7411
9,484.00,508.20,10.0143,9.4103,51,100,8611
10,493.00,512.62,10.3514,9.5395,69,100,9776
11,497.00,522.31,10.3343,9.6046,55,100,10923
12,497.00,523.27,10.2314,9.6904,33,100,12078
13,496.00,525.40,10.2086,9.6980,57,100,13249
14,485.00,529.24,10.5114,9.7668,72,100,14390
15,491.00,515.30,10.2886,9.6841,70,100,15562
16,491.00,513.84,10.3257,9.6931,49,100,16720
17,496.00,519.20,10.6200,9.9199,61,100,17842
18,490.00,513.46,10.5257,9.8972,54,100,18974
19,493.00,510.60,10.1914,9.6813,52,100,20090
20,501.00,512.03,10.4086,9.8674,29,100,21176
21,498.00,521.19,10.3886,9.8562,48,100,22260
22,498.00,528.42,10.4829,10.0601,43,100,23355
23,485.00,520.41,10.8086,10.0013,59,100,24486
24,501.00,532.17,10.7743,10.0947,46,100,25589
25,499.00,523.25,10.8343,9.9853,57,100,26687
26,494.00,523.76,10.7400,9.9512,75,100,27759
