generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,300.86,9.1257,8.5319,73,100,204
2,323.00,343.83,9.0857,8.4188,69,100,386
3,294.00,384.34,9.8971,9.0447,79,100,1376
4,371.00,440.58,10.2143,9.3339,97,100,2556
5,416.00,473.71,10.3171,9.4006,82,100,3720
6,436.00,486.30,10.1514,9.4681,92,100,4902
7,454.00,491.95,10.2771,9.4982,76,100,6099
8,478.00,499.48,9.9857,9.4791,46,100,7303
9,485.00,514.34,10.3543,9.6750,62,100,8466
10,495.00,515.48,10.2657,9.6265,64,100,9642
11,491.00,520.31,10.2114,9.6428,70,100,10825
12,495.00,519.15,10.4600,9.7509,52,100,12017
13,478.00,519.74,10.6800,9.8165,58,100,13186
14,505.00,527.09,10.3943,9.8546,69,100,14326
15,503.00,521.74,10.4600,9.7628,70,100,15460
16,502.00,521.16,10.6429,9.9730,82,100,16596
17,495.00,525.17,10.7971,10.1344,87,100,17711
18,501.00,528.47,10.7257,10.0403,64,100,18837
19,498.00,523.57,10.7343,10.0393,63,100,19955
20,500.00,523.66,10.8314,9.8293,71,100,21061
21,496.00,520.11,10.6257,9.8588,61,100,22156
22,489.00,516.18,10.7029,9.9208,56,100,23280
23,496.00,518.10,10.5629,9.9389,60,100,24395
24,496.00,519.07,10.5771,9.9205,75,100,25506
25,490.00,514.98,10.4114,9.7884,55,100,26627
26,486.00,507.11,10.7057,9.8393,54,100,27789
