generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.84,8.8971,8.5125,77,100,226
2,294.00,302.31,9.1686,8.5097,78,100,444
3,294.00,300.62,9.8629,9.4813,97,100,1336
4,294.00,296.39,10.4114,9.9478,100,100,2410
5,294.00,297.93,10.9571,10.5363,100,100,3469
6,294.00,297.13,11.1886,10.8879,100,100,4405
7,294.00,297.40,11.4514,11.1853,100,100,5298
8,294.00,297.04,11.6943,11.3735,100,100,6194
9,294.00,297.29,11.8829,11.6473,100,100,7080
10,294.00,297.43,12.0971,11.8197,100,100,7924
11,294.00,298.32,12.3000,12.0267,100,100,8761
12,294.00,299.12,12.3714,12.1643,100,100,9621
13,294.00,297.74,12.3971,12.1810,100,100,10485
14,294.00,298.86,12.4086,12.2421,100,100,11360
15,294.00,298.32,12.4657,12.2720,100,100,12236
16,294.00,298.78,12.5000,12.3319,100,100,13043
17,294.00,299.72,12.5857,12.3857,100,100,13921
18,294.00,299.22,12.6286,12.4737,100,100,14778
19,294.00,297.73,12.7600,12.5713,100,100,15619
20,294.00,296.77,12.9114,12.7192,100,100,16438
21,294.00,297.69,13.0857,12.9112,100,100,17256
22,294.00,296.97,13.1857,12.9609,100,100,18085
23,294.00,297.73,13.1714,13.0076,100,100,18919
24,294.00,298.37,13.1829,13.0632,100,100,19764
25,294.00,298.70,13.2800,13.1041,100,100,20626
26,294.00,297.87,13.2686,13.1141,100,100,21487
