generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,300.87,9.0886,8.5281,84,100,237
2,294.00,303.00,9.0886,8.4553,85,100,426
3,294.00,298.09,9.8543,9.4229,43,100,1060
4,294.00,299.90,10.6714,10.1871,72,100,1449
5,294.00,303.51,11.1343,10.7474,100,100,1791
6,294.00,301.77,11.3200,11.0341,100,100,2175
7,294.00,300.88,11.6114,11.2484,100,100,2605
8,294.00,301.14,11.6857,11.4049,100,100,3102
9,294.00,300.62,11.9914,11.6821,100,100,3559
10,294.00,303.84,12.1086,11.9198,100,100,3983
11,294.00,302.91,12.4257,12.1113,100,100,4399
12,294.00,303.08,12.4971,12.2460,100,100,4825
13,294.00,303.19,12.5971,12.3263,100,100,5286
14,294.00,300.31,12.8400,12.4554,100,100,5775
15,294.00,300.72,13.0057,12.6604,100,100,6290
16,294.00,301.79,13.1514,12.8650,100,100,6850
17,294.00,301.47,13.2114,12.9700,100,100,7456
18,294.00,300.24,13.2857,13.0822,100,100,8075
19,294.00,299.82,13.3514,13.1605,100,100,8711
20,294.00,299.24,13.4229,13.2284,100,100,9366
21,294.00,297.99,13.4886,13.2787,100,100,10030
22,294.00,298.92,13.5429,13.3365,100,100,10696
23,294.00,298.60,13.5486,13.3788,100,100,11355
24,294.00,300.94,13.6971,13.5185,100,100,12026
25,294.00,299.92,13.7543,13.5781,100,100,12708
26,294.00,299.82,13.8343,13.6408,100,100,13406
