materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
30,"COMPORTAMIENTO MECANICO DE MATERIALES 2",3,3.5,25,8.0,"310",16,OK
72,"FISICA 2",3,3.0,11,8.0,"C01",194,OK
84,"GEODESIA 3",3,4.0,5,8.0,"Piso",70,OK
108,"INGENIERIA DE SOFTWARE",3,4.0,18,8.0,"B11",50,OK
113,"INSTRUMENTACION INDUSTRIAL",3,4.0,3,8.0,"116",6,OK
114,"INSTRUMENTACION Y CONTROL",3,3.0,9,8.0,"307",180,OK
123,"INT. A LA EVALUACION Y GESTION AMBIENTAL",3,4.0,8,8.0,"307",180,OK
195,"REDES DE ACCESO",3,4.0,11,8.0,"A22",124,OK
208,"SEÑALES ALEATORIAS Y MODULACION",3,4.0,25,8.0,"A21",72,OK
216,"SUBESTACIONES EN MEDIA TENSION",3,4.0,5,8.0,"303",76,OK
234,"TIEMPOS Y METODOS",3,4.0,5,8.0,"116",6,OK
251,"TRATAMIENTO DE EFLUENTES",3,4.0,1,12.0,"116",6,OK
6,"AGRIMENSURA LEGAL 4",2,4.0,13,12.0,"116",6,OK
42,"DISEÑO HIDROLOGICO",2,4.0,14,8.0,"312",94,OK
58,"ELEMENTOS DE MAQUINAS",2,4.0,8,8.0,"303",76,OK
63,"ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS",2,4.0,7,8.0,"116",6,OK
65,"ESTRUCTURAS DE ACERO",2,2.0,8,8.0,"A12",119,OK
76,"FOTOGRAMETRIA",2,4.0,5,12.0,"116",6,OK
92,"GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.",2,4.0,7,12.0,"309",16,OK
102,"HORMIGON ESTRUCTURAL 3",2,5.5,19,8.0,"309",16,OK
105,"INGENIERIA DE LAS REACCIONES QUIMICAS 1",2,4.0,25,8.0,"705",20,OK
122,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.(ÁREA)",2,4.0,9,8.0,"B22",32,OK
130,"INT. A LA INGENIERIA SANITARIA",2,4.0,5,8.0,"309",16,OK
150,"MAQUINARIA NAVAL",2,4.0,5,12.0,"Piso",70,OK
166,"MEDIDAS ELECTRICAS",2,4.0,23,8.0,"A12",119,OK
187,"PROCEDIMIENTOS CONST.PARA ESTRUCTURAS",2,2.0,17,8.0,"A01",145,OK
198,"REDES DE DATOS 2",2,4.0,11,16.0,"116",6,OK
212,"SISTEMAS DE REFERENCIA EN GEODESIA",2,4.0,16,12.0,"116",6,OK
213,"SISTEMAS OLEOHIDRAULICOS Y NEUMATICOS",2,4.0,1,16.0,"116",6,OK
244,"TRANSPORTE AEREO",2,4.0,1,8.0,"309",16,OK
252,"TRATAMIENTO DE EFLUENTES Y RESIDUOS SOLIDOS",2,4.0,24,8.0,"310",16,OK
256,"QUIMICA DE ALIMENTOS",2,4.0,12,8.0,"116",6,OK
2,"ADMINISTRACION DE OPERACIONES",1,2.5,18,8.0,"C01",194,OK
3,"AGRIMENSURA LEGAL 1",1,4.0,25,8.0,"703;309",36,OK
5,"AGRIMENSURA LEGAL 3",1,4.0,4,8.0,"116",6,OK
7,"ALISTAMIENTO NAVAL",1,4.0,23,16.0,"116",6,OK
8,"ANTENAS Y PROPAGACION",1,4.0,9,12.0,"116",6,OK
9,"APLICACIONES DEL ALGEBRA LINEAL",1,3.0,16,8.0,"311",29,OK
12,"AUTOMATAS PROGRAMABLES",1,4.0,18,12.0,"116",6,OK
13,"AVALUACIONES 1",1,4.0,14,12.0,"116",6,OK
14,"AVALUACIONES 2",1,4.0,7,8.0,"703;309",36,OK
15,"AVALUACIONES 3",1,4.0,2,8.0,"102",25,OK
20,"CALIDAD DE AGUAS",1,4.0,7,12.0,"116",6,OK
22,"CAPTURA DE DATOS POR PERCEPCION REMOTA",1,4.0,20,8.0,"310",16,OK
24,"CARTOGRAFÍA TEMÁTICA",1,4.0,17,12.0,"116",6,OK
25,"CARTOGRAFÍA TEMÁTICA (ÁREA)",1,4.0,19,12.0,"116",6,OK
26,"CATASTRO",1,4.0,22,8.0,"116",6,OK
27,"COMERCIALIZACION",1,4.0,12,16.0,"116",6,OK
28,"COMPL.ARQUITECTURA DE COMPUTADORAS",1,4.0,5,16.0,"116",6,OK
31,"COMPORTAMIENTO MEC. DE MATERIALES",1,3.5,17,8.0,"307",180,OK
33,"COMUNICACIONES DIGITALES",1,4.0,22,12.0,"116",6,OK
37,"DINAMICA DE MAQUINAS Y VIBRACION",1,4.0,14,16.0,"116",6,OK
38,"DISEÑO ASISTIDO POR COMPUTADOR",1,4.0,21,8.0,"115",40,OK
39,"DISEÑO CATASTRAL",1,4.0,19,8.0,"116",6,OK
40,"DISEÑO DE PROCESOS QUIMICOS",1,4.0,8,8.0,"116",6,OK
41,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",1,4.0,9,8.0,"116",6,OK
44,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",1,4.0,7,8.0,"B22",32,OK
47,"EJERCICIOS DE INGENIERIA SANITARIA",1,4.0,17,16.0,"116",6,OK
56,"ELEMENTOS DE GESTION LOGISTICA",1,4.0,2,16.0,"116",6,OK
57,"ELEMENTOS DE INGENIERIA AMBIENTAL",1,4.0,23,12.0,"116",6,OK
60,"ELEMENTOS DE NAVEGACION",1,4.0,3,12.0,"116",6,OK
66,"ESTRUCTURAS DE BUQUES",1,4.0,2,12.0,"116",6,OK
67,"ESTRUCTURAS DE DATOS Y ALGORITMOS",1,4.0,2,8.0,"501",62,OK
69,"ESTUDIO DEL TRABAJO",1,4.0,14,8.0,"116",6,OK
78,"FUNDAMENTOS DE BASES DE DATOS",1,3.0,14,8.0,"307",180,OK
79,"FUNDAMENTOS DE ROBOTICA INDUSTRIAL",1,4.0,2,8.0,"116",6,OK
80,"FUND. DE LA PROD. DE CELULOSA Y PAPEL",1,3.0,12,8.0,"A01",145,OK
81,"GENERADORES DE VAPOR",1,4.0,20,8.0,"A22",124,OK
82,"GEODESIA 1",1,4.0,20,8.0,"B01",223,OK
83,"GEODESIA 2",1,4.0,4,12.0,"116",6,OK
85,"GEOESTADISTICA APLICADA",1,4.0,8,12.0,"116",6,OK
95,"HIDRAULICA Y NEUMATICA",1,4.0,21,8.0,"502",20,OK
96,"HIDRODINAMICA NAVAL",1,4.0,4,16.0,"116",6,OK
97,"HIDROLOGIA AVANZADA II",1,4.0,10,16.0,"116",6,OK
99,"HIGIENE Y SERV. DE PLANTAS PROC. DE ALIMENTOS",1,4.0,6,8.0,"601",60,OK
103,"INGENIERIA AMBIENTAL PARA LA INDUSTRIA DE PROCESOS",1,4.0,10,12.0,"116",6,OK
107,"INGENIERIA DE LOS PROCESOS ELECTROQUIMICOS",1,4.0,15,8.0,"725",20,OK
112,"INSTALACIONES GENERALES DE GASES COMBUSTIBLES",1,4.0,9,8.0,"B01",223,OK
117,"INT. A LA COMBUSTION",1,4.0,22,16.0,"116",6,OK
119,"INT. A LA CORROSION DEL HORMIGON ARMADO",1,4.0,18,16.0,"116",6,OK
121,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.",1,4.0,15,8.0,"C21",25,OK
124,"INT. A LA FISICA MODERNA",1,4.0,8,8.0,"722",10,OK
125,"INT. A LA GEODESIA Y SIST. DE POS. GLOBAL",1,4.0,13,8.0,"31",35,OK
129,"INT. A LA INGENIERIA NAVAL",1,4.0,25,8.0,"B21",39,OK
134,"INT. AL ANALISIS RURAL",1,4.0,24,16.0,"116",6,OK
138,"INT. AL CONTROL INDUSTRIAL",1,4.0,6,8.0,"A11",25,OK
