generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.26,8.8343,8.5405,43,50,408
2,323.00,349.93,9.2686,8.3741,46,50,855
3,294.00,371.86,9.4686,8.9411,49,50,2416
4,294.00,402.72,10.1800,9.0292,39,50,3675
5,397.00,431.58,10.0171,9.3722,40,50,4847
6,437.00,463.50,10.0714,9.4036,40,50,5939
7,464.00,494.89,10.0429,9.6358,27,50,6956
8,474.00,502.63,10.2543,9.6431,30,50,7959
9,491.00,505.07,10.1029,9.5434,30,50,8916
10,500.00,519.96,10.1829,9.6792,28,50,9838
11,493.00,525.84,10.1114,9.6868,32,50,10730
12,503.00,520.74,10.6943,9.6595,31,50,11620
13,502.00,520.80,10.3057,9.7271,30,50,12503
14,496.00,522.78,10.4829,9.6038,27,50,13344
15,499.00,529.70,10.4571,9.7808,33,50,14209
16,488.00,530.29,10.3543,9.8041,45,50,15140
17,498.00,524.94,10.1914,9.6355,31,50,16141
18,503.00,524.68,10.7743,9.7862,41,50,17244
19,505.00,521.50,10.4314,9.9462,38,50,18254
20,508.00,527.77,10.7114,9.8905,39,50,19183
21,514.00,539.42,10.4286,10.0258,36,50,20119
22,508.00,522.13,10.4000,9.7995,16,50,21013
23,503.00,530.40,10.9371,10.1523,20,50,21882
24,498.00,531.86,10.6029,10.1988,28,50,22766
25,497.00,523.40,10.1714,9.7934,10,50,23717
26,497.00,507.58,9.9371,9.5748,12,50,24800
27,524.00,535.00,10.4914,10.2329,2,50,25675
28,506.00,535.43,10.6943,10.0747,7,50,26556
29,499.00,518.00,10.4371,10.0381,18,50,27413
30,502.00,530.12,10.6343,10.0710,25,50,28252
31,506.00,532.17,10.6086,9.9624,12,50,29116
32,499.00,525.38,10.4057,9.9641,21,50,29969
33,503.00,522.47,10.3343,9.7532,19,50,30805
34,500.00,534.59,10.4229,10.1679,17,50,31761
35,498.00,518.12,10.3314,9.9221,26,50,32581
36,507.00,521.33,10.1486,9.7990,15,50,33450
37,508.00,533.00,10.4029,9.8712,21,50,34226
38,501.00,515.69,10.1543,9.7211,16,50,35062
39,496.00,519.31,10.4914,9.8913,26,50,35872
40,497.00,511.48,10.1971,9.7169,25,50,36690
41,494.00,517.95,10.6200,9.9503,37,50,37489
42,498.00,518.59,10.5800,9.9304,41,50,38287
43,488.00,516.22,10.4571,9.9966,27,50,39080
44,490.00,513.96,10.4800,9.8954,26,50,39859
45,499.00,510.36,10.3143,9.7449,22,50,40617
46,504.00,525.07,10.5829,10.1514,15,50,41390
47,499.00,526.35,10.6457,10.1202,17,50,42171
48,496.00,513.25,10.5800,9.7037,32,50,42939
49,492.00,521.05,10.6743,9.6921,41,50,43697
50,488.00,513.57,10.4143,9.5450,30,50,44487
51,494.00,515.58,10.6571,9.6409,33,50,45258
