materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
31,"CATASTRO",1,4.0,5,8.0,"727;C21;C11",70,OK
32,"COMERCIALIZACION",1,4.0,15,8.0,"307",180,OK
33,"COMPL.ARQUITECTURA DE COMPUTADORAS",1,4.0,6,8.0,"B01",223,OK
40,"CONTABILIDAD (ACT.COMPL.4)",1,4.0,16,8.0,"722;116;502",36,OK
44,"DINAMICA DE MAQUINAS Y VIBRACION",1,4.0,4,8.0,"307",180,OK
47,"DISEÑO DE PROCESOS QUIMICOS",1,4.0,20,8.0,"A01",145,OK
51,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",1,4.0,5,8.0,"116;115;309",62,OK
54,"EJERCICIOS DE INGENIERIA SANITARIA",1,4.0,14,14.5,"310;725",36,OK
63,"ELEMENTOS DE GESTION LOGISTICA",1,4.0,6,8.0,"C01",194,OK
64,"ELEMENTOS DE INGENIERIA AMBIENTAL",1,4.0,1,12.0,"B11;31;705",105,OK
67,"ELEMENTOS DE NAVEGACION",1,4.0,16,8.0,"C01",194,OK
73,"ESTRUCTURAS DE BUQUES",1,4.0,22,11.0,"116;722",16,OK
74,"ESTRUCTURAS DE DATOS Y ALGORITMOS",1,4.0,13,8.0,"727;116;310",42,OK
76,"ESTUDIO DEL TRABAJO",1,4.0,9,8.0,"116;A12;31",160,OK
86,"FUNDAMENTOS DE ROBOTICA INDUSTRIAL",1,4.0,25,8.0,"725;C21;310",61,OK
90,"GEODESIA 2",1,4.0,2,8.0,"725",20,OK
92,"GEOESTADISTICA APLICADA",1,4.0,23,8.0,"309",16,OK
93,"GEOFISICA",1,4.0,6,8.0,"A01",145,OK
104,"HIDRAULICA Y NEUMATICA",1,4.0,11,8.0,"A01",145,OK
105,"HIDRODINAMICA NAVAL",1,4.0,12,8.0,"Actos",128,OK
106,"HIDROLOGIA AVANZADA II",1,4.0,21,8.0,"722",10,OK
108,"HIGIENE Y SERV. DE PLANTAS PROC. DE ALIMENTOS",1,4.0,22,8.0,"Actos",128,OK
112,"INGENIERIA AMBIENTAL PARA LA INDUSTRIA DE PROCESOS",1,4.0,25,16.0,"309;310",32,OK
116,"INGENIERIA DE LOS PROCESOS ELECTROQUIMICOS",1,4.0,4,8.0,"C01",194,OK
119,"INGLES CONVERSACIONAL (ACT.COMPL.2)",1,4.0,17,8.0,"115;C11",65,OK
121,"INGLES TECNICO 1 (ACT.COMPL.1)",1,4.0,10,16.0,"703;309",36,OK
123,"INSTALACIONES GENERALES DE GASES COMBUSTIBLES",1,4.0,8,15.0,"116;722",16,OK
128,"INT. A LA COMBUSTION",1,4.0,12,8.0,"C12",131,OK
130,"INT. A LA CORROSION DEL HORMIGON ARMADO",1,4.0,1,8.0,"Hall",100,OK
132,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.",1,4.0,2,12.0,"502;501;310;B01",321,OK
136,"INT. A LA GEODESIA Y SIST. DE POS. GLOBAL",1,4.0,15,8.0,"C01",194,OK
145,"INT. AL ANALISIS RURAL",1,4.0,24,12.0,"102;A11",50,OK
150,"INT. AL CONTROL INDUSTRIAL",1,4.0,17,12.0,"B22;31;310",83,OK
154,"INT. AL SISTEMA CLIMATICO",1,4.0,20,8.0,"Actos",128,OK
155,"INT. AL TRANSPORTE",1,4.0,9,8.0,"305;601;A21;A11",192,OK
157,"LEGISLACION TERRITORIAL",1,4.0,9,12.0,"116;722;C21",41,OK
161,"MANTENIMIENTO DE BUQUES",1,4.0,13,8.0,"307",180,OK
167,"MAQUINAS Y EQUIPOS PARA TRANSPORTE",1,4.0,5,8.0,"312",94,OK
168,"MATEMATICA",1,4.0,19,11.5,"B12;116;C11;B01",395,OK
174,"MATEMATICA DISCRETA Y LOGICA 1",1,4.0,3,12.0,"727;B11;725;B01",313,OK
175,"MATEMATICA DISCRETA Y LOGICA 2",1,4.0,11,8.0,"B12",141,OK
