dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
19,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,305,35
19,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,B01,223
19,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,310,16
1,1,"PROGRAMACION 2",12.0,15.0,116,6
1,1,"PROGRAMACION 2",12.0,15.0,722,10
1,1,"PROGRAMACION 2",12.0,15.0,Piso,70
1,1,"PROGRAMACION 2",12.0,15.0,B11,50
15,2,"ADMINISTRACION DE INFRAESTRUCTURAS",8.0,12.0,B23,101
15,2,"ADMINISTRACION DE INFRAESTRUCTURAS",8.0,12.0,A01,145
15,2,"ADMINISTRACION DE INFRAESTRUCTURAS",8.0,12.0,311,29
1,3,"ADMINISTRACION DE OPERACIONES",8.0,10.5,C11,25
22,4,"AGRIMENSURA LEGAL 1",16.0,20.0,116,6
9,5,"AGRIMENSURA LEGAL 2",12.0,16.0,116,6
11,6,"AGRIMENSURA LEGAL 3",16.0,20.0,116,6
15,7,"AGRIMENSURA LEGAL 4",12.0,16.0,116,6
25,8,"ALISTAMIENTO NAVAL",16.0,20.0,B01,223
25,8,"ALISTAMIENTO NAVAL",16.0,20.0,A11,25
1,9,"ANALISIS DE ALIMENTOS",12.0,16.0,B01,223
9,10,"ANTENAS Y PROPAGACION",16.0,20.0,116,6
21,11,"APLICACIONES DEL ALGEBRA LINEAL",8.0,11.0,C01,194
24,12,"ARQUITECTURA DE COMPUTADORAS",12.0,15.0,601,60
17,13,"ASPECTOS BASICOS DE REDES DE COMPUT",8.0,11.0,31,35
17,13,"ASPECTOS BASICOS DE REDES DE COMPUT",8.0,11.0,Actos,128
17,13,"ASPECTOS BASICOS DE REDES DE COMPUT",8.0,11.0,C01,194
20,14,"ASTRONOMIA GEODESICA",8.0,12.0,A22,124
20,14,"ASTRONOMIA GEODESICA",8.0,12.0,311,29
20,14,"ASTRONOMIA GEODESICA",8.0,12.0,705,20
20,14,"ASTRONOMIA GEODESICA",8.0,12.0,703,20
9,15,"AUTOMATAS PROGRAMABLES",8.0,12.0,307,180
18,16,"AVALUACIONES 1",11.0,15.0,C01,194
18,16,"AVALUACIONES 1",11.0,15.0,722,10
18,16,"AVALUACIONES 1",11.0,15.0,102,25
16,17,"AVALUACIONES 2",8.0,12.0,A01,145
25,18,"AVALUACIONES 3",12.0,16.0,116,6
25,18,"AVALUACIONES 3",12.0,16.0,727,20
9,19,"BASES DE DATOS I",8.0,12.0,A01,145
16,20,"BASES DE DATOS II",8.0,12.0,B12,141
8,21,"BASES DE DATOS PARA INGENIERIA",12.0,15.0,310,16
8,21,"BASES DE DATOS PARA INGENIERIA",12.0,15.0,722,10
8,21,"BASES DE DATOS PARA INGENIERIA",12.0,15.0,502,20
18,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
18,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
18,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
18,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,A11,25
1,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,B01,223
1,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,C01,194
1,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,310,16
1,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,116,6
24,24,"CALCULO VECTORIAL",12.0,15.0,C22,102
24,24,"CALCULO VECTORIAL",12.0,15.0,502,20
24,24,"CALCULO VECTORIAL",12.0,15.0,102,25
9,25,"CALIDAD DE AGUAS",8.0,12.0,B12,141
23,26,"CAMINOS Y CALLES 1",8.0,12.0,B12,141
23,26,"CAMINOS Y CALLES 1",8.0,12.0,B01,223
23,26,"CAMINOS Y CALLES 1",8.0,12.0,705,20
23,26,"CAMINOS Y CALLES 1",8.0,12.0,703,20
24,27,"CAPTURA DE DATOS POR PERCEPCION REMOTA",12.0,16.0,312,94
24,28,"CARTOGRAFIA MATEMATICA",15.0,19.0,B01,223
24,28,"CARTOGRAFIA MATEMATICA",15.0,19.0,502,20
11,29,"CARTOGRAFÍA TEMÁTICA",8.0,12.0,B12,141
14,30,"CARTOGRAFÍA TEMÁTICA (ÁREA)",8.0,12.0,A01,145
11,31,"CATASTRO",8.0,12.0,B01,223
23,32,"COMERCIALIZACION",8.0,12.0,307,180
1,33,"COMPL.ARQUITECTURA DE COMPUTADORAS",8.0,12.0,B21,39
1,33,"COMPL.ARQUITECTURA DE COMPUTADORAS",8.0,12.0,102,25
