generacion,mejor_asignaciones,promedio_asignaciones,desv_std_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,desv_std_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,desv_std_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,303.55,11.294517,9.0057,8.5146,294.000000,303.545455,11.294517,-9.005714,-8.514578,0.169806,88,100,313
2,294.00,303.19,10.667598,9.0657,8.5338,294.000000,303.188889,10.667598,-9.065714,-8.533778,0.163460,90,100,775
3,294.00,299.73,8.673628,10.4114,9.5675,294.000000,299.732143,8.673628,-10.411429,-9.567500,0.236729,56,100,1672
4,294.00,301.38,4.886745,10.8543,10.4380,294.000000,301.383562,4.886745,-10.854286,-10.438004,0.227931,73,100,2050
5,294.00,299.78,4.851389,11.2029,10.8381,294.000000,299.784810,4.851389,-11.202857,-10.838119,0.264971,79,100,2262
6,294.00,301.17,6.596266,11.5429,11.1645,294.000000,301.173469,6.596266,-11.542857,-11.164490,0.246028,98,100,2507
7,294.00,304.75,8.426595,12.1257,11.6074,294.000000,304.750000,8.426595,-12.125714,-11.607371,0.274143,100,100,2783
8,294.00,304.94,8.117660,12.2086,11.9148,294.000000,304.940000,8.117660,-12.208571,-11.914771,0.236904,100,100,3158
9,294.00,302.37,6.506389,12.3429,12.0811,294.000000,302.370000,6.506389,-12.342857,-12.081114,0.190332,100,100,3704
10,294.00,300.10,4.809366,12.5657,12.1396,294.000000,300.100000,4.809366,-12.565714,-12.139629,0.203630,100,100,4258
11,294.00,301.78,5.672001,12.7200,12.3224,294.000000,301.780000,5.672001,-12.720000,-12.322400,0.193987,100,100,4818
12,294.00,304.63,5.852615,12.8486,12.6032,294.000000,304.630000,5.852615,-12.848571,-12.603229,0.159880,100,100,5423
13,294.00,305.39,6.482122,12.9686,12.7679,294.000000,305.390000,6.482122,-12.968571,-12.767857,0.125780,100,100,6074
14,294.00,303.39,7.536438,13.0400,12.8636,294.000000,303.390000,7.536438,-13.040000,-12.863600,0.135691,100,100,6733
15,294.00,298.24,3.181572,13.2714,12.9741,294.000000,298.240000,3.181572,-13.271429,-12.974114,0.151976,100,100,7375
16,294.00,297.78,2.451856,13.4486,13.1361,294.000000,297.780000,2.451856,-13.448571,-13.136143,0.188608,100,100,7986
17,294.00,298.50,2.598076,13.5771,13.3414,294.000000,298.500000,2.598076,-13.577143,-13.341371,0.137870,100,100,8592
18,294.00,298.56,3.115510,13.6429,13.4233,294.000000,298.560000,3.115510,-13.642857,-13.423286,0.142716,100,100,9223
19,294.00,299.64,4.624976,13.6886,13.4622,294.000000,299.640000,4.624976,-13.688571,-13.462171,0.158231,100,100,9864
20,294.00,297.81,2.921284,13.6886,13.4496,294.000000,297.810000,2.921284,-13.688571,-13.449600,0.174485,100,100,10537
21,294.00,297.80,2.592296,13.7257,13.5233,294.000000,297.800000,2.592296,-13.725714,-13.523257,0.162381,100,100,11250
22,294.00,298.05,2.303801,13.7486,13.5736,294.000000,298.050000,2.303801,-13.748571,-13.573629,0.142839,100,100,11977
23,294.00,299.03,2.861660,13.7629,13.6223,294.000000,299.030000,2.861660,-13.762857,-13.622286,0.140684,100,100,12705
24,294.00,299.06,3.062091,13.7800,13.6281,294.000000,299.060000,3.062091,-13.780000,-13.628086,0.140855,100,100,13453
25,294.00,298.85,3.377499,13.8314,13.6381,294.000000,298.850000,3.377499,-13.831429,-13.638057,0.152884,100,100,14189
26,294.00,299.42,3.053457,13.8400,13.7011,294.000000,299.420000,3.053457,-13.840000,-13.701114,0.123073,100,100,14933
27,294.00,299.57,4.171942,13.9657,13.7359,294.000000,299.570000,4.171942,-13.965714,-13.735886,0.145189,100,100,15678
28,294.00,297.67,3.265134,13.9629,13.7684,294.000000,297.670000,3.265134,-13.962857,-13.768400,0.192598,100,100,16383
29,294.00,298.55,3.499643,13.9914,13.8456,294.000000,298.550000,3.499643,-13.991429,-13.845629,0.158612,100,100,17090
30,294.00,298.87,3.463106,13.9914,13.8691,294.000000,298.870000,3.463106,-13.991429,-13.869143,0.149938,100,100,17825
31,294.00,299.22,3.211168,14.0057,13.9106,294.000000,299.220000,3.211168,-14.005714,-13.910629,0.116767,100,100,18556
32,294.00,298.62,3.700757,14.0543,13.9099,294.000000,298.620000,3.700757,-14.054286,-13.909943,0.136112,100,100,19282
33,294.00,297.73,2.965991,14.0829,13.9485,294.000000,297.730000,2.965991,-14.082857,-13.948543,0.132277,100,100,19996
34,294.00,299.38,3.836092,14.0914,14.0175,294.000000,299.380000,3.836092,-14.091429,-14.017543,0.092079,100,100,20707
35,294.00,296.69,3.632341,14.1257,14.0252,294.000000,296.690000,3.632341,-14.125714,-14.025200,0.125335,100,100,21425
36,294.00,296.71,1.796079,14.1686,14.1151,294.000000,296.710000,1.796079,-14.168571,-14.115057,0.070210,100,100,22121
37,294.00,296.77,2.038897,14.2057,14.1372,294.000000,296.770000,2.038897,-14.205714,-14.137171,0.066104,100,100,22813
38,294.00,297.37,2.460305,14.2543,14.1803,294.000000,297.370000,2.460305,-14.254286,-14.180257,0.060282,100,100,23506
39,294.00,297.01,2.463717,14.3200,14.2029,294.000000,297.010000,2.463717,-14.320000,-14.202886,0.068577,100,100,24190
40,294.00,297.10,2.184033,14.3257,14.2613,294.000000,297.100000,2.184033,-14.325714,-14.261257,0.045652,100,100,24887
41,294.00,296.57,1.845291,14.3629,14.2778,294.000000,296.570000,1.845291,-14.362857,-14.277829,0.043556,100,100,25585
42,294.00,297.38,1.853537,14.3714,14.3284,294.000000,297.380000,1.853537,-14.371429,-14.328371,0.043986,100,100,26287
43,294.00,296.25,1.589811,14.4000,14.3225,294.000000,296.250000,1.589811,-14.400000,-14.322514,0.040699,100,100,26996
44,294.00,296.85,1.976740,14.4371,14.3533,294.000000,296.850000,1.976740,-14.437143,-14.353286,0.053090,100,100,27721
45,294.00,296.88,2.329292,14.4400,14.3651,294.000000,296.880000,2.329292,-14.440000,-14.365057,0.053284,100,100,28458
46,294.00,298.67,3.200172,14.4829,14.4028,294.000000,298.670000,3.200172,-14.482857,-14.402800,0.052100,100,100,29204
47,294.00,300.04,4.277663,14.5000,14.4356,294.000000,300.040000,4.277663,-14.500000,-14.435600,0.049361,100,100,29941
48,294.00,300.68,4.183013,14.5057,14.4502,294.000000,300.680000,4.183013,-14.505714,-14.450200,0.053543,100,100,30685
49,294.00,298.00,3.616628,14.5000,14.4169,294.000000,298.000000,3.616628,-14.500000,-14.416914,0.056875,100,100,31442
50,294.00,299.87,4.279381,14.5314,14.4549,294.000000,299.870000,4.279381,-14.531429,-14.454857,0.053845,100,100,32204
51,294.00,298.17,3.146601,14.5686,14.4599,294.000000,298.170000,3.146601,-14.568571,-14.459914,0.058711,100,100,32968
52,294.00,298.86,2.980000,14.5714,14.4808,294.000000,298.860000,2.980000,-14.571429,-14.480771,0.043108,100,100,33743
53,294.00,298.62,3.629821,14.5714,14.4883,294.000000,298.620000,3.629821,-14.571429,-14.488257,0.058427,100,100,34520
54,294.00,299.26,3.503199,14.5829,14.5186,294.000000,299.260000,3.503199,-14.582857,-14.518629,0.040407,100,100,35319
55,294.00,298.73,3.662936,14.5914,14.5239,294.000000,298.730000,3.662936,-14.591429,-14.523886,0.043862,100,100,36106
56,294.00,300.85,4.831925,14.6000,14.5373,294.000000,300.850000,4.831925,-14.600000,-14.537286,0.056033,100,100,36878
57,294.00,301.79,4.611497,14.6000,14.5397,294.000000,301.790000,4.611497,-14.600000,-14.539714,0.061839,100,100,37657
58,294.00,301.75,4.784088,14.6000,14.5379,294.000000,301.750000,4.784088,-14.600000,-14.537886,0.063424,100,100,38438
59,294.00,301.11,4.383823,14.6229,14.5440,294.000000,301.110000,4.383823,-14.622857,-14.543971,0.051857,100,100,39216
60,294.00,300.84,5.561870,14.6114,14.5462,294.000000,300.840000,5.561870,-14.611429,-14.546229,0.054631,100,100,39991
61,294.00,302.36,5.889856,14.6114,14.5582,294.000000,302.360000,5.889856,-14.611429,-14.558229,0.051231,100,100,40767
62,294.00,300.63,5.390093,14.6229,14.5481,294.000000,300.630000,5.390093,-14.622857,-14.548086,0.079943,100,100,41552
63,294.00,300.51,5.618710,14.6629,14.5647,294.000000,300.510000,5.618710,-14.662857,-14.564686,0.061776,100,100,42335
64,294.00,302.93,5.568222,14.6686,14.5959,294.000000,302.930000,5.568222,-14.668571,-14.595943,0.069112,100,100,43099
65,294.00,301.19,6.060850,14.6657,14.5823,294.000000,301.190000,6.060850,-14.665714,-14.582314,0.089067,100,100,43872
66,294.00,300.83,6.193634,14.6686,14.5836,294.000000,300.830000,6.193634,-14.668571,-14.583629,0.091754,100,100,44650
67,294.00,301.04,6.307012,14.6743,14.5906,294.000000,301.040000,6.307012,-14.674286,-14.590571,0.073194,100,100,45426
