generacion,mejor_asignaciones,promedio_asignaciones,desv_std_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,desv_std_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,desv_std_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,301.89,11.914395,8.9543,8.5594,294.000000,301.892857,11.914395,-8.954286,-8.559388,0.118583,84,100,278
2,294.00,301.31,10.181903,8.9886,8.4615,294.000000,301.305882,10.181903,-8.988571,-8.461513,0.185664,85,100,615
3,294.00,303.26,9.981595,9.9057,9.5680,294.000000,303.255814,9.981595,-9.905714,-9.567973,0.142375,43,100,1527
4,294.00,303.90,9.494797,10.7514,10.3049,294.000000,303.897059,9.494797,-10.751429,-10.304874,0.189241,68,100,1915
5,294.00,303.52,8.638843,11.2657,10.9781,294.000000,303.520000,8.638843,-11.265714,-10.978143,0.226896,100,100,2231
6,294.00,298.90,3.395585,11.8257,11.4521,294.000000,298.900000,3.395585,-11.825714,-11.452114,0.233091,100,100,2564
7,294.00,299.54,4.329942,12.0114,11.6898,294.000000,299.540000,4.329942,-12.011429,-11.689771,0.199686,100,100,2935
8,294.00,298.89,3.171419,12.1371,11.9075,294.000000,298.890000,3.171419,-12.137143,-11.907543,0.214130,100,100,3322
9,294.00,299.13,3.055012,12.3571,12.0961,294.000000,299.130000,3.055012,-12.357143,-12.096143,0.205789,100,100,3668
10,294.00,300.80,4.967897,12.5657,12.3049,294.000000,300.800000,4.967897,-12.565714,-12.304914,0.190702,100,100,4017
11,294.00,301.50,6.541407,12.7371,12.4774,294.000000,301.500000,6.541407,-12.737143,-12.477371,0.202506,100,100,4444
12,294.00,303.66,7.805408,12.8914,12.6321,294.000000,303.660000,7.805408,-12.891429,-12.632143,0.184929,100,100,4901
13,294.00,304.65,9.739995,12.8800,12.6842,294.000000,304.650000,9.739995,-12.880000,-12.684229,0.181861,100,100,5354
14,294.00,303.19,8.413911,12.9886,12.7517,294.000000,303.190000,8.413911,-12.988571,-12.751657,0.213799,100,100,5857
15,294.00,303.80,8.927486,13.0943,12.8344,294.000000,303.800000,8.927486,-13.094286,-12.834429,0.244201,100,100,6373
16,294.00,303.96,9.050878,13.1200,12.9140,294.000000,303.960000,9.050878,-13.120000,-12.914000,0.206198,100,100,6906
17,294.00,301.52,4.189224,13.1714,13.0109,294.000000,301.520000,4.189224,-13.171429,-13.010914,0.164049,100,100,7466
18,294.00,299.01,4.013714,13.2171,12.9828,294.000000,299.010000,4.013714,-13.217143,-12.982829,0.176305,100,100,8037
19,294.00,300.70,4.792703,13.2600,13.0782,294.000000,300.700000,4.792703,-13.260000,-13.078200,0.168074,100,100,8621
20,294.00,300.90,4.208325,13.3029,13.1527,294.000000,300.900000,4.208325,-13.302857,-13.152714,0.127140,100,100,9212
21,294.00,298.28,3.939746,13.3286,13.0899,294.000000,298.280000,3.939746,-13.328571,-13.089943,0.160397,100,100,9792
22,294.00,298.22,3.508789,13.3457,13.1587,294.000000,298.220000,3.508789,-13.345714,-13.158714,0.113115,100,100,10373
23,294.00,297.20,2.660827,13.3829,13.1867,294.000000,297.200000,2.660827,-13.382857,-13.186743,0.126831,100,100,10949
24,294.00,298.37,3.551493,13.4800,13.2770,294.000000,298.370000,3.551493,-13.480000,-13.276971,0.122539,100,100,11550
25,294.00,298.53,3.182625,13.5629,13.3580,294.000000,298.530000,3.182625,-13.562857,-13.357971,0.121117,100,100,12118
26,294.00,298.65,2.875326,13.5943,13.4405,294.000000,298.650000,2.875326,-13.594286,-13.440457,0.116199,100,100,12709
27,294.00,297.71,2.620286,13.6886,13.4933,294.000000,297.710000,2.620286,-13.688571,-13.493343,0.147350,100,100,13293
28,294.00,298.08,2.583331,13.7971,13.6010,294.000000,298.080000,2.583331,-13.797143,-13.601000,0.138740,100,100,13881
29,294.00,298.49,2.747708,13.8314,13.6665,294.000000,298.490000,2.747708,-13.831429,-13.666457,0.125070,100,100,14487
30,294.00,298.41,3.234486,13.8257,13.6919,294.000000,298.410000,3.234486,-13.825714,-13.691857,0.126279,100,100,15066
31,294.00,298.06,2.693771,13.9743,13.7417,294.000000,298.060000,2.693771,-13.974286,-13.741657,0.132445,100,100,15659
32,294.00,299.31,3.624072,13.9714,13.8718,294.000000,299.310000,3.624072,-13.971429,-13.871800,0.100129,100,100,16248
33,294.00,300.17,4.591416,13.9971,13.8906,294.000000,300.170000,4.591416,-13.997143,-13.890571,0.101053,100,100,16860
34,294.00,298.85,4.188974,14.0657,13.8787,294.000000,298.850000,4.188974,-14.065714,-13.878657,0.119950,100,100,17473
