generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,303.03,8.9286,8.5332,37,50,519
2,295.00,310.97,8.8400,8.4444,38,50,876
3,301.00,319.58,10.0857,9.3109,31,50,1985
4,314.00,328.09,10.2971,9.7305,22,50,2792
5,323.00,339.56,10.5657,9.8420,32,50,3736
6,334.00,355.03,10.6400,9.8743,32,50,4617
7,346.00,365.04,10.9571,9.9264,26,50,5582
8,349.00,385.55,11.1771,10.4024,49,50,6612
9,358.00,386.50,11.0143,10.3582,48,50,7682
10,358.00,397.28,11.0200,10.2954,50,50,8765
11,375.00,416.76,11.2571,10.5686,50,50,9848
12,380.00,416.78,11.2771,10.5923,50,50,10932
13,383.00,411.62,11.4457,10.6682,50,50,11981
14,386.00,410.98,11.3943,10.8698,50,50,12994
15,385.00,409.86,11.6286,10.9081,50,50,13939
16,383.00,410.96,11.5857,10.9471,50,50,14867
17,387.00,407.26,11.4429,10.8761,50,50,15757
18,391.00,410.36,11.3943,11.1725,50,50,16634
19,396.00,412.30,11.6857,11.2373,50,50,17496
20,395.00,409.04,11.7657,11.3314,50,50,18357
21,398.00,417.70,11.6629,11.2592,44,50,19255
22,400.00,431.14,11.6686,11.3808,49,50,20107
23,397.00,415.60,11.6429,11.2867,50,50,20937
24,400.00,413.10,11.9086,11.4435,50,50,21785
25,397.00,423.78,12.0971,11.6047,50,50,22603
26,399.00,426.40,12.0543,11.6464,50,50,23408
27,391.00,415.02,12.2057,11.5610,50,50,24245
28,395.00,419.42,12.2257,11.6380,50,50,25074
29,399.00,429.50,12.1514,11.6727,50,50,25902
30,395.00,424.42,12.0514,11.6408,50,50,26734
31,397.00,422.14,12.0029,11.4735,50,50,27537
32,396.00,416.76,11.8600,11.4851,50,50,28381
33,399.00,410.76,11.9457,11.4283,50,50,29220
34,394.00,420.73,12.0600,11.6269,49,50,30062
35,395.00,421.30,11.9543,11.6131,50,50,30870
36,393.00,406.56,11.9000,11.4594,50,50,31685
37,396.00,411.43,11.9171,11.5261,49,50,32491
38,399.00,414.36,12.1543,11.3790,50,50,33292
39,398.00,417.51,12.1429,11.3994,37,50,34123
40,396.00,424.57,12.3171,11.5599,49,50,34948
41,400.00,433.79,12.4086,11.7734,47,50,35783
42,404.00,433.10,12.2829,11.7150,50,50,36591
43,405.00,428.22,12.1886,11.6700,50,50,37391
44,403.00,440.76,12.2200,11.8078,50,50,38201
45,398.00,431.16,12.1457,11.7434,45,50,39035
46,399.00,426.20,12.1343,11.8220,49,50,39893
47,405.00,415.72,12.2800,11.6882,50,50,40739
48,404.00,420.81,12.1657,11.5762,47,50,41568
49,398.00,413.25,12.4486,11.4039,44,50,42416
50,400.00,419.10,12.2029,11.4880,48,50,43278
51,402.00,424.50,12.1400,11.7645,50,50,44129
