generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,301.57,8.9286,8.5267,77,100,234
2,324.00,340.89,9.2057,8.4456,79,100,421
3,294.00,358.16,9.7543,8.9872,79,100,1671
4,335.00,398.70,9.9800,9.1539,87,100,3092
5,369.00,422.98,9.9371,9.3145,85,100,4424
6,400.00,458.78,10.3714,9.4098,78,100,5760
7,423.00,475.33,10.3543,9.5602,82,100,7079
8,443.00,475.73,10.3171,9.5589,83,100,8328
9,454.00,483.99,10.4086,9.6771,86,100,9573
10,456.00,486.83,10.3114,9.7228,84,100,10838
11,459.00,487.91,10.5171,9.7398,76,100,12119
12,470.00,498.29,10.3829,9.7482,69,100,13374
13,472.00,501.63,10.5143,9.7868,75,100,14624
14,474.00,504.49,10.4314,9.9140,68,100,15884
15,480.00,508.43,10.4743,9.9347,56,100,17130
16,483.00,501.64,10.3343,9.8446,47,100,18376
17,486.00,506.68,10.5057,9.8751,57,100,19635
18,484.00,512.25,10.7286,9.9108,71,100,20863
19,489.00,510.92,10.7286,9.9528,72,100,22098
20,489.00,516.76,10.7486,10.0558,67,100,23320
21,476.00,510.88,10.8571,9.9995,65,100,24527
22,476.00,503.90,10.6086,9.9515,62,100,25763
23,487.00,513.46,10.6229,10.0346,71,100,27000
24,489.00,513.40,11.0057,10.0335,87,100,28241
25,489.00,518.99,10.8543,10.1221,73,100,29453
26,492.00,511.32,10.8743,10.1370,69,100,30665
